step,train_loss,validation_qlike,validation_qlike_h22,validation_mse,best_so_far,is_best,bad_checks,learning_rate,stopped_early,model,window_id,test_year,seed
20,0.18230260908603668,0.19872177966156646,0.37485469149845907,0.00036885145622678683,0.19872177966156646,True,0,0.001,False,lstm,2,2012,42
40,0.11960824579000473,0.1827639500716249,0.4478759053810383,0.00030641237342344304,0.1827639500716249,True,0,0.001,False,lstm,2,2012,42
60,0.055798836052417755,0.15686012119202916,0.34600946436200736,0.0002700306739342015,0.15686012119202916,True,0,0.001,False,lstm,2,2012,42
80,0.06926055252552032,0.14281669226431937,0.3382286471315574,0.00024992200423316685,0.14281669226431937,True,0,0.001,False,lstm,2,2012,42
100,0.04179457947611809,0.15200364687442475,0.3669451027532721,0.00025421235797933267,0.14281669226431937,False,1,0.001,False,lstm,2,2012,42
120,0.05522124469280243,0.14794292214077123,0.35513851765261717,0.00025671135560948746,0.14281669226431937,False,2,0.001,False,lstm,2,2012,42
140,0.04575034976005554,0.17454897859154606,0.39482951725719534,0.000283249094915408,0.14281669226431937,False,3,0.001,False,lstm,2,2012,42
160,0.043895918875932693,0.1623418518398432,0.37155814378718305,0.0002798633500981558,0.14281669226431937,False,4,0.001,False,lstm,2,2012,42
180,0.03721609711647034,0.1572364182396728,0.3697195282509191,0.0002833634622788044,0.14281669226431937,False,5,0.001,False,lstm,2,2012,42
200,0.054606229066848755,0.18178683830502942,0.4108356383220772,0.0002962565961939662,0.14281669226431937,False,6,0.001,False,lstm,2,2012,42
220,0.04291708767414093,0.17925112806870103,0.4112198896212494,0.00027995528406974567,0.14281669226431937,False,7,0.001,False,lstm,2,2012,42
240,0.028759609907865524,0.17883099245897152,0.4254072939468906,0.0002898770758127538,0.14281669226431937,False,8,0.001,False,lstm,2,2012,42
260,0.03796087205410004,0.17987695481239727,0.4042109805171743,0.00030704571250926696,0.14281669226431937,False,9,0.001,False,lstm,2,2012,42
280,0.02703019604086876,0.19023970267505466,0.4411855944706549,0.0003120037215983247,0.14281669226431937,False,10,0.001,True,lstm,2,2012,42
