step,train_loss,validation_qlike,validation_qlike_h22,validation_mse,best_so_far,is_best,bad_checks,learning_rate,stopped_early,model,window_id,test_year,seed
20,0.39199528098106384,0.07148663774589642,0.09888681997930156,1.934473738893034e-05,0.07148663774589642,True,0,0.001,False,tsmixerx,4,2014,42
40,0.39959466457366943,0.06749999262113193,0.10263587534054926,1.303635669940684e-05,0.06749999262113193,True,0,0.001,False,tsmixerx,4,2014,42
60,0.28097453713417053,0.07124878727570379,0.13500781376272813,1.6735173965917397e-05,0.06749999262113193,False,1,0.001,False,tsmixerx,4,2014,42
80,0.25270432233810425,0.08333956792561446,0.14660377404635375,2.345601083217242e-05,0.06749999262113193,False,2,0.001,False,tsmixerx,4,2014,42
100,0.21846069395542145,0.08264476060995428,0.14638927034350263,2.4639557764528976e-05,0.06749999262113193,False,3,0.001,False,tsmixerx,4,2014,42
120,0.22141636908054352,0.0819494649744904,0.16195134079120804,2.5440817660685697e-05,0.06749999262113193,False,4,0.001,False,tsmixerx,4,2014,42
140,0.2348584085702896,0.09231855698451889,0.1936290017912417,3.1778556433927085e-05,0.06749999262113193,False,5,0.001,False,tsmixerx,4,2014,42
160,0.19510070979595184,0.09655486812688285,0.2093085270507056,3.166342382511943e-05,0.06749999262113193,False,6,0.001,False,tsmixerx,4,2014,42
180,0.17950499057769775,0.10347314104906656,0.26896980735780657,3.7835945603826e-05,0.06749999262113193,False,7,0.001,False,tsmixerx,4,2014,42
200,0.16421082615852356,0.08348700149838138,0.17284209394730868,2.1885256565512824e-05,0.06749999262113193,False,8,0.001,False,tsmixerx,4,2014,42
220,0.1761925220489502,0.062413187696730474,0.14355062871406288,1.4206723494670015e-05,0.062413187696730474,True,0,0.001,False,tsmixerx,4,2014,42
240,0.166243776679039,0.0760495541722135,0.1746082433419747,1.995267053359356e-05,0.062413187696730474,False,1,0.001,False,tsmixerx,4,2014,42
260,0.1793064922094345,0.09871980983882284,0.21307216063953804,2.6933155440104762e-05,0.062413187696730474,False,2,0.001,False,tsmixerx,4,2014,42
280,0.16130465269088745,0.0876174600258533,0.20230119830625365,2.337511833111843e-05,0.062413187696730474,False,3,0.001,False,tsmixerx,4,2014,42
300,0.16920821368694305,0.0897271237528206,0.18312716748907307,2.1853730037442332e-05,0.062413187696730474,False,4,0.001,False,tsmixerx,4,2014,42
320,0.15010246634483337,0.07798618278050307,0.18042072614695387,1.601346567360234e-05,0.062413187696730474,False,5,0.001,False,tsmixerx,4,2014,42
340,0.1403060257434845,0.1010047185837316,0.20334726376866982,2.701447491526702e-05,0.062413187696730474,False,6,0.001,False,tsmixerx,4,2014,42
360,0.13302211463451385,0.08823604536935392,0.17342999754769126,1.8711361074795057e-05,0.062413187696730474,False,7,0.001,False,tsmixerx,4,2014,42
380,0.13622568547725677,0.08166499101255455,0.1839791713783397,1.8993187796404766e-05,0.062413187696730474,False,8,0.001,False,tsmixerx,4,2014,42
400,0.14333327114582062,0.08450632569888407,0.17593735519100492,1.852586866510285e-05,0.062413187696730474,False,9,0.001,False,tsmixerx,4,2014,42
