step,train_loss,validation_qlike,validation_qlike_h22,validation_mse,best_so_far,is_best,bad_checks,learning_rate,stopped_early,model,window_id,test_year,seed
20,0.3061477243900299,1.8601614486788463,1.8591290096578854,0.008815894432392836,1.8601614486788463,True,0,0.001,False,lstm,12,2022,42
40,0.16153757274150848,1.5080501501304988,1.9558658830776208,0.008627510694518531,1.5080501501304988,True,0,0.001,False,lstm,12,2022,42
60,0.1671939641237259,1.3220009137128899,2.0215801674184064,0.0084495293560016,1.3220009137128899,True,0,0.001,False,lstm,12,2022,42
80,0.122409887611866,1.1885604928792215,2.0463860941406393,0.008271224075363454,1.1885604928792215,True,0,0.001,False,lstm,12,2022,42
100,0.09198129177093506,1.1544565053926865,2.1444924710227617,0.008184752263770276,1.1544565053926865,True,0,0.001,False,lstm,12,2022,42
120,0.11625359952449799,1.1420219693490874,2.2198664908650976,0.00812082540042127,1.1420219693490874,True,0,0.001,False,lstm,12,2022,42
140,0.09711488336324692,1.0792996767594667,2.183435959587664,0.008079584850590536,1.0792996767594667,True,0,0.001,False,lstm,12,2022,42
160,0.10771443694829941,1.048629981170851,2.009733778219818,0.00808413026770137,1.048629981170851,True,0,0.001,False,lstm,12,2022,42
180,0.08434123545885086,0.9304457981038524,1.8160775171640253,0.007958768414801828,0.9304457981038524,True,0,0.001,False,lstm,12,2022,42
200,0.06197034567594528,0.9282288630976825,1.9067353075803888,0.007948290438472626,0.9282288630976825,True,0,0.001,False,lstm,12,2022,42
220,0.08132555335760117,0.9616260539386066,2.0198885543625713,0.00794500303352666,0.9282288630976825,False,1,0.001,False,lstm,12,2022,42
240,0.07375257462263107,0.8431248037820869,1.6750838375554529,0.007902628344216248,0.8431248037820869,True,0,0.001,False,lstm,12,2022,42
260,0.05414314940571785,0.8411837769755309,1.6183478277260508,0.007897414056365338,0.8411837769755309,True,0,0.001,False,lstm,12,2022,42
280,0.055035289376974106,0.8160812386202743,1.5536339366404108,0.007887860991485819,0.8160812386202743,True,0,0.001,False,lstm,12,2022,42
300,0.05403752252459526,0.7801965557581557,1.42191357948489,0.007890021072152071,0.7801965557581557,True,0,0.001,False,lstm,12,2022,42
320,0.055927667766809464,0.7394545197277895,1.3806995776711077,0.0077878984546486795,0.7394545197277895,True,0,0.001,False,lstm,12,2022,42
340,0.04838410019874573,0.7946811098124473,1.5031112395443254,0.007863892716290058,0.7394545197277895,False,1,0.001,False,lstm,12,2022,42
360,0.050619348883628845,0.7801379834485872,1.5017484672462744,0.0078098594869266055,0.7394545197277895,False,2,0.001,False,lstm,12,2022,42
380,0.044784657657146454,0.7912339094205776,1.537187157450665,0.007875249565470826,0.7394545197277895,False,3,0.001,False,lstm,12,2022,42
400,0.03643438220024109,0.7717666205419764,1.5423371675933437,0.0078237619114817,0.7394545197277895,False,4,0.001,False,lstm,12,2022,42
