step,train_loss,validation_qlike,validation_qlike_h22,validation_mse,best_so_far,is_best,bad_checks,learning_rate,stopped_early,model,window_id,test_year,seed
20,0.19071778655052185,0.31469189704547385,0.46986794621334066,0.00017881894379031862,0.31469189704547385,True,0,0.001,False,lstm,9,2019,42
40,0.11836043745279312,0.2559598144501592,0.5044458386018252,0.0001478666212277259,0.2559598144501592,True,0,0.001,False,lstm,9,2019,42
60,0.11877040565013885,0.27602779777386016,0.5408333113486647,0.00016038521288663568,0.2559598144501592,False,1,0.001,False,lstm,9,2019,42
80,0.09082018584012985,0.22082586935048704,0.4529982795271456,0.00013904399485423083,0.22082586935048704,True,0,0.001,False,lstm,9,2019,42
100,0.08708564192056656,0.22587944256594505,0.4728319963591786,0.0001395047721237244,0.22082586935048704,False,1,0.001,False,lstm,9,2019,42
120,0.06830336898565292,0.22391077711353288,0.49356337033078196,0.00013646772168739437,0.22082586935048704,False,2,0.001,False,lstm,9,2019,42
140,0.09269044548273087,0.1961214022649334,0.4169565158255422,0.0001258724213349995,0.1961214022649334,True,0,0.001,False,lstm,9,2019,42
160,0.09062537550926208,0.21603193533915804,0.49078322552770653,0.0001365490621426464,0.1961214022649334,False,1,0.001,False,lstm,9,2019,42
180,0.07320457696914673,0.24464914912511046,0.5538477190290312,0.00015208094945695348,0.1961214022649334,False,2,0.001,False,lstm,9,2019,42
200,0.08522292971611023,0.2631807514802569,0.6064386197892454,0.00014304131363878118,0.1961214022649334,False,3,0.001,False,lstm,9,2019,42
220,0.06058280169963837,0.22226302898373645,0.5061587765321541,0.00013438827180538868,0.1961214022649334,False,4,0.001,False,lstm,9,2019,42
240,0.08970606327056885,0.23870471219910067,0.559425434448513,0.0001459647601231325,0.1961214022649334,False,5,0.001,False,lstm,9,2019,42
260,0.06632937490940094,0.29180093794010803,0.7401118889972302,0.00015558216402618427,0.1961214022649334,False,6,0.001,False,lstm,9,2019,42
280,0.05550019070506096,0.27834433337193887,0.6779134558786489,0.00015189481185622327,0.1961214022649334,False,7,0.001,False,lstm,9,2019,42
300,0.0534549318253994,0.2577689922736361,0.6146593534145491,0.00013970747100874585,0.1961214022649334,False,8,0.001,False,lstm,9,2019,42
320,0.05044569447636604,0.24883552191116448,0.6019685419733246,0.00013500052374506205,0.1961214022649334,False,9,0.001,False,lstm,9,2019,42
340,0.058084290474653244,0.30023567714971855,0.7449108324996905,0.0001576979808383614,0.1961214022649334,False,10,0.001,True,lstm,9,2019,42
