step,train_loss,validation_qlike,validation_qlike_h22,validation_mse,best_so_far,is_best,bad_checks,learning_rate,stopped_early,model,window_id,test_year,seed
20,0.22223837673664093,0.11003609870932952,0.1841291582452556,0.00019873405019556951,0.11003609870932952,True,0,0.001,False,lstm,3,2013,42
40,0.0998542457818985,0.10466098566902492,0.23742867875008028,0.00017263633250636762,0.10466098566902492,True,0,0.001,False,lstm,3,2013,42
60,0.05704481154680252,0.07923339728925714,0.18563476011018076,0.00013251191301578402,0.07923339728925714,True,0,0.001,False,lstm,3,2013,42
80,0.08779662102460861,0.07390068193984542,0.19917696320359518,0.00011773171159105628,0.07390068193984542,True,0,0.001,False,lstm,3,2013,42
100,0.06037888303399086,0.07501425501028099,0.2115092532169583,0.00011689421468105568,0.07390068193984542,False,1,0.001,False,lstm,3,2013,42
120,0.06405085325241089,0.07044011824265116,0.19930862488355436,0.00010579290485809406,0.07044011824265116,True,0,0.001,False,lstm,3,2013,42
140,0.058523401618003845,0.07996459786056312,0.24077977108823687,0.00011257730907270771,0.07044011824265116,False,1,0.001,False,lstm,3,2013,42
160,0.07611513137817383,0.08181412498993781,0.22851120178483939,0.00011917804817435786,0.07044011824265116,False,2,0.001,False,lstm,3,2013,42
180,0.07055225223302841,0.10807603010365124,0.2649774262225759,0.00015055061002566206,0.07044011824265116,False,3,0.001,False,lstm,3,2013,42
200,0.044386014342308044,0.09349109564466924,0.25896563471499945,0.0001447250541581783,0.07044011824265116,False,4,0.001,False,lstm,3,2013,42
220,0.036796685308218,0.09660940637479844,0.2821852853039337,0.00014142324071176037,0.07044011824265116,False,5,0.001,False,lstm,3,2013,42
240,0.028601115569472313,0.09125377959950218,0.2746153693612607,0.0001408352367141118,0.07044011824265116,False,6,0.001,False,lstm,3,2013,42
260,0.02524353750050068,0.07752514970487034,0.21738515228963914,0.000156435426662623,0.07044011824265116,False,7,0.001,False,lstm,3,2013,42
280,0.03920101746916771,0.07705326918204673,0.2022808746722814,0.00012498970159781022,0.07044011824265116,False,8,0.001,False,lstm,3,2013,42
300,0.026810836046934128,0.11025170471642341,0.24597339734368556,0.00019390054626857174,0.07044011824265116,False,9,0.001,False,lstm,3,2013,42
320,0.029672687873244286,0.11935646557233287,0.2861210586348734,0.00020246179002362537,0.07044011824265116,False,10,0.001,True,lstm,3,2013,42
