step,train_loss,validation_qlike,validation_qlike_h22,validation_mse,best_so_far,is_best,bad_checks,learning_rate,stopped_early,model,window_id,test_year,seed
20,0.11810829490423203,0.09118196763956253,0.12697715954606784,2.561343968681414e-05,0.09118196763956253,True,0,0.001,False,lstm,4,2014,42
40,0.1972099095582962,0.0639923034423327,0.13103752944280472,1.4398034323941787e-05,0.0639923034423327,True,0,0.001,False,lstm,4,2014,42
60,0.09200777113437653,0.05931437789978389,0.14446280315552235,1.2899762173438367e-05,0.05931437789978389,True,0,0.001,False,lstm,4,2014,42
80,0.08714085817337036,0.05730443128523354,0.12665453470343976,1.2214019022894498e-05,0.05730443128523354,True,0,0.001,False,lstm,4,2014,42
100,0.06756717711687088,0.06970904452707541,0.09809670800080875,1.192844718146671e-05,0.05730443128523354,False,1,0.001,False,lstm,4,2014,42
120,0.06579283624887466,0.06165111468129006,0.12009062366099281,1.3394907476952286e-05,0.05730443128523354,False,2,0.001,False,lstm,4,2014,42
140,0.06714507937431335,0.06381809610041184,0.09665732857090088,1.2111624501672775e-05,0.05730443128523354,False,3,0.001,False,lstm,4,2014,42
160,0.05307949706912041,0.06551536179755506,0.11897091308014861,1.4897420850091687e-05,0.05730443128523354,False,4,0.001,False,lstm,4,2014,42
180,0.05674808472394943,0.07183633503313584,0.14096230312555041,2.0274749314522878e-05,0.05730443128523354,False,5,0.001,False,lstm,4,2014,42
200,0.04013153910636902,0.07291025733396078,0.12674085043191827,1.7415354768095352e-05,0.05730443128523354,False,6,0.001,False,lstm,4,2014,42
220,0.036243412643671036,0.08860728004755852,0.11832042193032953,1.8969479760729154e-05,0.05730443128523354,False,7,0.001,False,lstm,4,2014,42
240,0.034642137587070465,0.09601067046856614,0.12830098936190543,1.8830876523929286e-05,0.05730443128523354,False,8,0.001,False,lstm,4,2014,42
260,0.06148781627416611,0.11423819742978947,0.15583378547275786,2.8893830981635966e-05,0.05730443128523354,False,9,0.001,False,lstm,4,2014,42
280,0.04683391749858856,0.12861697388401863,0.17975155822113398,3.828178708787403e-05,0.05730443128523354,False,10,0.001,True,lstm,4,2014,42
