step,train_loss,validation_qlike,validation_qlike_h22,validation_mse,best_so_far,is_best,bad_checks,learning_rate,stopped_early,model,window_id,test_year,seed
20,0.35540586709976196,0.998072657814945,1.3742194154351832,0.00935464515419498,0.998072657814945,True,0,0.001,False,tsmixerx,0,2010,42
40,0.3285917043685913,0.5284913453458482,0.7822229227477171,0.008023203933717542,0.5284913453458482,True,0,0.001,False,tsmixerx,0,2010,42
60,0.23643334209918976,0.41109174371375307,0.717582294393747,0.00740974533548741,0.41109174371375307,True,0,0.001,False,tsmixerx,0,2010,42
80,0.2190963178873062,0.44368244919151767,0.7333976152243966,0.007259259273898922,0.41109174371375307,False,1,0.001,False,tsmixerx,0,2010,42
100,0.2539709508419037,0.34746644808916677,0.5968967662802994,0.006641068531202955,0.34746644808916677,True,0,0.001,False,tsmixerx,0,2010,42
120,0.19729642570018768,0.38895567353939864,0.6578396826590649,0.006634461774685023,0.34746644808916677,False,1,0.001,False,tsmixerx,0,2010,42
140,0.22585773468017578,0.3402198836234326,0.6125360458920646,0.006520157425755038,0.3402198836234326,True,0,0.001,False,tsmixerx,0,2010,42
160,0.1953555941581726,0.3088049785254418,0.5591847582914284,0.0062499557125709594,0.3088049785254418,True,0,0.001,False,tsmixerx,0,2010,42
180,0.20044054090976715,0.3012554189460312,0.6273213426886641,0.006224242721204777,0.3012554189460312,True,0,0.001,False,tsmixerx,0,2010,42
200,0.18764150142669678,0.25698821926910925,0.43616243265173327,0.005945548521701963,0.25698821926910925,True,0,0.001,False,tsmixerx,0,2010,42
220,0.17671418190002441,0.31294393041978075,0.6685728381087129,0.006175585445749061,0.25698821926910925,False,1,0.001,False,tsmixerx,0,2010,42
240,0.20052246749401093,0.30937644356396854,0.5656505910308604,0.006145592606301493,0.25698821926910925,False,2,0.001,False,tsmixerx,0,2010,42
260,0.18967337906360626,0.4000605140053116,0.8212093120597015,0.006683771942389341,0.25698821926910925,False,3,0.001,False,tsmixerx,0,2010,42
280,0.17271046340465546,0.32749024438539825,0.6590589642192634,0.0062717597608257635,0.25698821926910925,False,4,0.001,False,tsmixerx,0,2010,42
300,0.18809249997138977,0.32600028777680934,0.6528190273904836,0.006163224147452331,0.25698821926910925,False,5,0.001,False,tsmixerx,0,2010,42
320,0.16149060428142548,0.3643883463457044,0.8381606538587808,0.0062838142501527,0.25698821926910925,False,6,0.001,False,tsmixerx,0,2010,42
340,0.201514333486557,0.3508975929129734,0.8134310750822743,0.006289630091232413,0.25698821926910925,False,7,0.001,False,tsmixerx,0,2010,42
360,0.17703691124916077,0.4227814120968992,0.850704993273055,0.006599928726446454,0.25698821926910925,False,8,0.001,False,tsmixerx,0,2010,42
380,0.16691848635673523,0.34522620666324705,0.7119132501004224,0.0063593008019841414,0.25698821926910925,False,9,0.001,False,tsmixerx,0,2010,42
400,0.1451154202222824,0.4439547072501766,0.8507065663804899,0.006809772390888079,0.25698821926910925,False,10,0.001,True,tsmixerx,0,2010,42
