step,train_loss,validation_qlike,validation_qlike_h22,validation_mse,best_so_far,is_best,bad_checks,learning_rate,stopped_early,model,window_id,test_year,seed
20,0.33754220604896545,0.3185914137149137,0.5423845676342096,0.0005539391383390646,0.3185914137149137,True,0,0.001,False,tsmixerx,1,2011,42
40,0.27679479122161865,0.29417705216557893,0.4905897747130754,0.00038598139463146366,0.29417705216557893,True,0,0.001,False,tsmixerx,1,2011,42
60,0.28062039613723755,0.24078410555342067,0.31614957192429244,0.0003412170446570496,0.24078410555342067,True,0,0.001,False,tsmixerx,1,2011,42
80,0.20002993941307068,0.18868488305048575,0.32120779386928844,0.000314325406333148,0.18868488305048575,True,0,0.001,False,tsmixerx,1,2011,42
100,0.21978072822093964,0.16270611756069708,0.33251987006233114,0.0003033186649535447,0.16270611756069708,True,0,0.001,False,tsmixerx,1,2011,42
120,0.21786774694919586,0.13654578855917096,0.27991548341726735,0.0002837577908931017,0.13654578855917096,True,0,0.001,False,tsmixerx,1,2011,42
140,0.1996932029724121,0.17514932112926587,0.33828031616553483,0.00029389519004616144,0.13654578855917096,False,1,0.001,False,tsmixerx,1,2011,42
160,0.1577027142047882,0.1507050514011635,0.3150101925324333,0.00028858225612683985,0.13654578855917096,False,2,0.001,False,tsmixerx,1,2011,42
180,0.19481468200683594,0.16979009762915181,0.32359476376174034,0.0002880090759952367,0.13654578855917096,False,3,0.001,False,tsmixerx,1,2011,42
200,0.19565825164318085,0.17069588954815637,0.33441556690944463,0.00029658203275275964,0.13654578855917096,False,4,0.001,False,tsmixerx,1,2011,42
220,0.1755741983652115,0.14195768685683102,0.3172951580601948,0.00026962179782239685,0.13654578855917096,False,5,0.001,False,tsmixerx,1,2011,42
240,0.16803939640522003,0.1300966278705202,0.25836030955606193,0.00026488003762197785,0.1300966278705202,True,0,0.001,False,tsmixerx,1,2011,42
260,0.17367343604564667,0.13839981879381255,0.27128037564980445,0.0002894927413168073,0.1300966278705202,False,1,0.001,False,tsmixerx,1,2011,42
280,0.19036702811717987,0.1142882120854698,0.2165910637869962,0.00027390062475560786,0.1142882120854698,True,0,0.001,False,tsmixerx,1,2011,42
300,0.1946716606616974,0.14029760148720805,0.29432897812648845,0.0002846024387715782,0.1142882120854698,False,1,0.001,False,tsmixerx,1,2011,42
320,0.1772208958864212,0.12714742961704914,0.2670414353818455,0.00026068534383063435,0.1142882120854698,False,2,0.001,False,tsmixerx,1,2011,42
340,0.15274634957313538,0.1502227095500248,0.308223343129683,0.00027475932375832296,0.1142882120854698,False,3,0.001,False,tsmixerx,1,2011,42
360,0.1323401927947998,0.15786155867634177,0.2873453977774428,0.00027292245558852035,0.1142882120854698,False,4,0.001,False,tsmixerx,1,2011,42
380,0.1674354523420334,0.13081056512467487,0.2506131636984047,0.00032266128109667715,0.1142882120854698,False,5,0.001,False,tsmixerx,1,2011,42
400,0.16395051777362823,0.14933876755212014,0.2875717801912826,0.00029973978390543626,0.1142882120854698,False,6,0.001,False,tsmixerx,1,2011,42
