feature,f_score_h22,pvalue_h22,abs_corr_h22,missing_rate_train,variance_train,rank,selected
volume_medio_22d,1083.5961300669685,1.8037894288313737e-190,0.5917410985205124,0.0,3682594604249418.0,1,True
vix,1069.8453444844638,1.5947945493466995e-188,0.5892852242586196,0.0,35.234085587644486,2,True
spy_volume,967.760045032581,8.550441061794208e-174,0.569988487499477,0.0,5997532732780618.0,3,True
ukx_close,622.6267747081243,5.97322844358961e-120,0.48622443676881194,0.0,420560.8335877069,4,True
bollinger_width_20,437.2138422448224,5.201007405445882e-88,0.42259297873967216,0.0,0.0009543013183908043,5,True
parkinson,430.5921450068754,7.970718432780752e-87,0.4199489424995842,0.0,1.4263758962769544e-08,6,True
indu_close,429.7103382601246,1.147105409972862e-86,0.4195944941509339,0.0,12209983.350230819,7,True
industrial_production,399.4102311841859,3.371405520520103e-81,0.4070653270551433,0.0,13.237404580463386,8,True
baa,398.2490677005931,5.479599986320605e-81,0.4065711274663257,0.0,0.3264428478674016,9,True
cpi,394.26041702875943,2.9115021528347494e-80,0.40486528163513896,0.0,67.78348333051733,10,True
obv,379.0502765316508,1.74365074581232e-77,0.39824001032565987,0.0,4.4957381288035487e+18,11,True
unemployment,346.79520950924973,1.5528406917674533e-71,0.3835160152286631,0.0,3.432580862249356,12,True
ndx_close,328.0039084773393,4.962064817761942e-68,0.37447604004414636,0.0,1553114.8096846652,13,True
vix_term_spread,314.4058207455753,1.7768614865240558e-65,0.36770193157143,0.0,1.8192137418750336,14,True
garman_klass,297.0202916870105,3.446310963053018e-62,0.35873458537865704,0.0,1.3112932206605005e-08,15,True
ret_spx_abs,290.10820687178153,7.104403235026264e-61,0.35506796141986463,0.0,4.5964330056617144e-05,16,True
rv_diaria,280.2181773043894,5.482211413723224e-59,0.3497155382096494,0.0,5.0350918020104935e-08,17,True
macd,263.93099938132167,7.337927472721189e-56,0.34061289596107125,0.0,167.056735748762,18,True
atr_14,259.3224973060732,5.681318942215504e-55,0.3379685755367742,0.0,34.48316204769991,19,True
true_range,224.17123979272765,3.948735575646924e-48,0.3166901432724693,0.0,111.02768903755012,20,True
nky_close,214.82435442788903,2.7204082368244918e-46,0.3106678505670084,0.0,18018943.50784563,21,False
stress_index,206.45648478475456,1.2222063540660374e-44,0.3051312662416425,0.0,0.20432505590265868,22,False
aaa,200.8906193414219,1.5485979030660747e-43,0.3013686033623652,0.0,0.2879633916551864,23,False
rsi_14,192.8064649681367,6.264903041565282e-42,0.2957835858350691,0.0,120.03047032084022,24,False
yield_slope,191.37670528667027,1.2071781705717267e-41,0.29478048859646966,0.0,0.43373562591664466,25,False
rogers_satchell,169.41136643963787,3.0401281348858795e-37,0.27874177036590575,0.0,2.0171024015081802e-08,26,False
baa_aaa_spread,159.7562416222521,2.7070716676238987e-35,0.27128350519696665,0.0,0.0671908640039447,27,False
roc_10,135.07688763480903,2.877848984547658e-30,0.2508810646231022,0.0,0.0006493824520213293,28,False
ust_3m,119.0749782952978,5.658108233395596e-27,0.2364355681273913,0.0,0.0938557878583446,29,False
dxy,118.9821196590215,5.913786833527551e-27,0.23634851173232818,0.0,69.48256388142228,30,False
fed_funds,118.8507072956098,6.29551112165359e-27,0.23622524281603505,0.007451564828614009,0.09267321124928736,31,False
ust_10y,99.25164490556311,7.455261804336831e-23,0.21687112523748384,0.0,0.31492528680545195,32,False
adx_14,55.37804321641735,1.4655860198280045e-13,0.16370574240741606,0.0,53.14153501014332,33,False
gold_close,33.29924824374168,9.129261110367411e-09,0.12762771095003153,0.0,37554.21813305605,34,False
epu,33.01476469809825,1.0542485159489814e-08,0.12709020753466854,0.0,3960.506548596029,35,False
ret_spx_log,27.9139863291847,1.4055799963524562e-07,0.11700690134706264,0.0,8.631234886332456e-05,36,False
ret_indu_log,26.241516639899107,3.3006211424442684e-07,0.11349407949701867,0.0,7.469766779909802e-05,37,False
ret_ukx_log,23.835422252749215,1.132050007595798e-06,0.10822978118564312,0.0,9.291620147496614e-05,38,False
ret_ndx_log,21.928512180956492,3.0190701003009067e-06,0.10385885484350384,0.0,0.00011015949570371011,39,False
ret_nky_log,17.995389303556934,2.3149146127965578e-05,0.0941759680611177,0.0,0.00018138383909905713,40,False
ret_wti_simple,9.181038617181631,0.002476509010588052,0.06741410324132774,0.0,0.0004291239842264463,41,False
wti_close,8.35276637688934,0.0038922828614189084,0.06431452558701173,0.0,546.9852614545438,42,False
ret_gold_log,5.205276739295868,0.022622526315202778,0.05081062515971778,0.0,0.00010584528914511054,43,False
ret_dxy_simple,3.376183702905656,0.06629251061684317,0.0409395199183015,0.0,2.2339505263766818e-05,44,False
ret_nky_simple,1.2521874826909358,0.26326873221279684,0.0249455724732069,0.057625434674615006,0.04732317801254999,45,False
ret_ukx_simple,0.5158866458836999,0.47268505041277464,0.016014574698655623,0.01838052657724789,0.017009357250553445,46,False
