feature,windows_available,selected_windows,selection_rate
atr_14,16,16,1.0
bollinger_width_20,16,16,1.0
garman_klass,16,16,1.0
parkinson,16,16,1.0
ret_spx_abs,16,16,1.0
rv_diaria,16,16,1.0
vix,16,16,1.0
vix_term_spread,16,16,1.0
macd,16,15,0.9375
spy_volume,16,15,0.9375
true_range,16,15,0.9375
rogers_satchell,16,14,0.875
baa,16,13,0.8125
stress_index,16,13,0.8125
volume_medio_22d,16,13,0.8125
roc_10,16,11,0.6875
spx_low,6,4,0.6666666666666666
baa_aaa_spread,16,10,0.625
rsi_14,16,9,0.5625
cpi,16,7,0.4375
ukx_close,16,7,0.4375
aaa,16,6,0.375
indu_close,16,6,0.375
obv,16,5,0.3125
adx_14,16,4,0.25
industrial_production,16,4,0.25
ust_10y,16,4,0.25
spx_high,4,1,0.25
ndx_close,14,3,0.21428571428571427
gold_close,16,3,0.1875
ust_3m,16,3,0.1875
yield_slope,16,3,0.1875
dxy,16,1,0.0625
epu,16,1,0.0625
unemployment,16,1,0.0625
wti_close,16,1,0.0625
fed_funds,12,0,0.0
nky_close,16,0,0.0
ret_dxy_log,6,0,0.0
ret_dxy_simple,10,0,0.0
ret_gold_log,14,0,0.0
ret_gold_simple,2,0,0.0
ret_indu_log,8,0,0.0
ret_indu_simple,8,0,0.0
ret_ndx_log,11,0,0.0
ret_ndx_simple,5,0,0.0
ret_nky_log,16,0,0.0
ret_nky_simple,16,0,0.0
ret_spx_log,15,0,0.0
ret_spx_simple,1,0,0.0
ret_ukx_log,16,0,0.0
ret_ukx_simple,16,0,0.0
ret_wti_simple,16,0,0.0
