feature,f_score_h22,pvalue_h22,abs_corr_h22,missing_rate_train,variance_train,rank,selected
vix_term_spread,2030.0939807812035,3.6360729928594184e-307,0.7086000089773351,0.0,5.968497757488815,1,True
stress_index,1683.665137604602,5.474771938512463e-268,0.674874166013435,0.0,2.5948521714077426,2,True
vix,1594.37895267884,2.705443925059148e-257,0.6648135963563021,0.0,107.04236771814375,3,True
atr_14,1477.2234933473208,7.470512871109399e-243,0.6505736724927229,0.0,68.23730529287651,4,True
volume_medio_22d,1411.6985059669373,1.4570267290106102e-234,0.6420366283599127,0.0,7673588230921381.0,5,True
parkinson,1288.237856021868,1.6769185928582934e-218,0.6246829035692195,0.0,1.0801166094122433e-07,6,True
spy_volume,1246.107920623217,6.970503827917543e-213,0.6183415886156612,0.0,1.1316579581590686e+16,7,True
bollinger_width_20,1030.5091235476327,6.122405806069334e-183,0.5818869489441942,0.0,0.0026748548991414904,8,True
baa,988.2308429736626,8.084611966228084e-177,0.5738250479385445,0.0,1.2265691521036366,9,True
garman_klass,984.0190133768087,3.327721491486209e-176,0.5730031321711948,0.0,8.757120846709441e-08,10,True
true_range,835.8715674076577,5.084266348397417e-154,0.5416682011985943,0.0,160.18099694869085,11,True
macd,818.928240960047,2.0741236212825967e-151,0.5377517121877184,0.0,246.9704116015596,12,True
ret_spx_abs,686.3839758416857,1.984069117503083e-130,0.5042561867096761,0.0,0.00011546937113455201,13,True
baa_aaa_spread,654.6307692004148,3.0032593950745283e-125,0.49537644040009415,0.0,0.34698715750974435,14,True
rv_diaria,651.4273305643476,1.0083796955955666e-124,0.4944598670907465,0.0,4.411785126622966e-07,15,True
rogers_satchell,642.576742440005,2.885884822530865e-123,0.49190707962538033,0.0,1.0358840063706373e-07,16,True
ukx_close,561.5259993670777,1.07597899537527e-109,0.46702087557893757,0.0,602624.2710804269,17,True
aaa,541.8078329523712,2.503891198066044e-106,0.4605147237417844,0.0,0.5230493028342031,18,True
obv,475.7950545417094,7.312007580234557e-95,0.4372354781848871,0.0,1.177766119093129e+19,19,True
indu_close,328.5893288792039,3.813219377077205e-68,0.3746030961463336,0.0,8858496.080252698,20,True
gold_close,328.4773427692915,4.001847599143429e-68,0.37454821316426234,0.0,75567.6496585086,21,False
ndx_close,325.55302112828304,1.4131422660744886e-67,0.3731103139659206,0.0,998207.4886887604,22,False
roc_10,310.86756316693624,8.173518222759348e-65,0.3657480483596888,0.0,0.0013254873417296064,23,False
rsi_14,233.82073792942376,5.065376647154808e-50,0.32259475465175885,0.0,122.84988445197625,24,False
cpi,211.49162572886837,1.2299557299461347e-45,0.3083409458136305,0.0,79.82711878298528,25,False
ust_10y,199.32492854510141,3.153452517804868e-43,0.3001624434358025,0.0,0.49910828395142076,26,False
adx_14,154.01131536964982,3.943014398206532e-34,0.26659114841616927,0.0,56.057666077308376,27,False
fed_funds,143.03194310247994,6.774900167757257e-32,0.2575662315397998,0.00794044665012407,0.49455910021044136,28,False
nky_close,97.78996953939235,1.5050669196687473e-22,0.21524082329531127,0.0,12788704.11829247,29,False
ust_3m,89.06626974848805,1.0158821685145654e-20,0.20584173324676402,0.0,0.2679024155612775,30,False
epu,63.03391053511759,3.345468793387578e-15,0.1742488433339585,0.0,5064.177407652915,31,False
yield_slope,59.92535500642584,1.5480745502645046e-14,0.17002527108236948,0.0,0.38512718175297134,32,False
ret_ndx_log,39.28737129099813,4.462502788073436e-10,0.1383589951565596,0.0,0.00021614556182781035,33,False
ret_spx_log,36.33208421059512,1.9740125711219786e-09,0.1331493302855267,0.0,0.00019639674756354196,34,False
unemployment,33.725834060292875,7.3567257362770955e-09,0.1283664449428715,0.0,2.6563009340615813,35,False
wti_close,31.158655368177264,2.6995569673648076e-08,0.12346164346430016,0.0,485.5110491657483,36,False
ret_indu_simple,25.675524793376027,4.408195198509736e-07,0.11222396532744855,0.0,0.00016498001980134013,37,False
ret_nky_log,25.15934060119014,5.741336105630804e-07,0.11110422145947035,0.0,0.0002829850129857351,38,False
ret_ukx_log,23.560599724777354,1.3035477522578765e-06,0.10755844175660552,0.0,0.00017110035730437805,39,False
industrial_production,17.23455987687205,3.44149483065141e-05,0.09213549860575823,0.0,26.460582892657044,40,False
ret_wti_simple,11.59471418627386,0.0006743735095173522,0.07567648893714955,0.0,0.0006283712340358548,41,False
ret_dxy_simple,7.2814367270795985,0.007025278224418273,0.060034735743142484,0.0,3.0465590041111684e-05,42,False
ret_nky_simple,2.5975568225727703,0.10718535752642994,0.03589885663778482,0.06054590570719603,0.048890116235580226,43,False
dxy,1.1671699211225697,0.2801129267112286,0.024072394222208575,0.0,42.211072274505476,44,False
ret_gold_log,0.7807180898318683,0.37702712355842893,0.01968978763748483,0.0,0.00015722817316481447,45,False
ret_ukx_simple,0.11605557318327593,0.7333881000711833,0.007592741147846282,0.01836228287841191,0.017064374914870225,46,False
