feature,f_score_h22,pvalue_h22,abs_corr_h22,missing_rate_train,variance_train,rank,selected
parkinson,732.2623753228289,8.509816259441925e-138,0.5165597275652718,0.0,2.5613328205393943e-08,1,True
vix_term_spread,706.7898429072939,1.0229507204810409e-133,0.5098675005347694,0.0,3.8526651962824348,2,True
vix,645.3676036106715,1.018879751294279e-123,0.4928080147129273,0.0,62.21662361730054,3,True
true_range,620.6072511197316,1.2720818610615334e-119,0.4855292362702812,0.0,1130.5403236835946,4,True
garman_klass,603.2960355877408,9.808774030938656e-117,0.4802913974281601,0.0,2.5203911468395396e-08,5,True
bollinger_width_20,553.3988580955852,2.644038072129874e-108,0.4644529020008091,0.0,0.002301831099487952,6,True
ret_spx_abs,519.764345198594,1.5811566636019345e-102,0.4530974338412008,0.0,8.42667205111034e-05,7,True
rv_diaria,495.27890005587403,2.839614373583969e-98,0.44445069566417317,0.0,3.503883679780892e-07,8,True
rogers_satchell,475.97509449491605,6.869666978019373e-95,0.4373902522765354,0.0,2.9465289861889203e-08,9,True
atr_14,351.01837019059934,2.539552382526454e-72,0.38541745006836503,0.0,634.4537527720527,10,True
spy_volume,334.2707388719389,3.3210444242370777e-69,0.37745059860240404,0.0,2271724056703713.0,11,True
roc_10,255.44640773715133,3.176870604988613e-54,0.33564592919932684,0.0,0.0010883339570882024,12,True
macd,232.36273535873846,9.790944351296046e-50,0.32176345422327685,0.0,1289.004521769508,13,True
rsi_14,162.84657645479524,6.40943451074613e-36,0.2736371155096517,0.0,128.8076781280549,14,True
volume_medio_22d,126.25702230343406,1.864580559361214e-28,0.24299526877602376,0.0,1156342084736645.2,15,True
adx_14,100.50913626449689,4.069218448093359e-23,0.21812400965385584,0.0,62.194555175869255,16,True
cpi,85.78526154177925,4.98283167610117e-20,0.20222080035242457,0.0,271.0536866858437,17,True
gold_close,83.67613159330416,1.3868411224348871e-19,0.1998198890900178,0.0,74646.16324373482,18,True
yield_slope,80.72047220309535,5.8340726386394685e-19,0.19639762673324784,0.0,0.49932716346858264,19,True
stress_index,58.10544965914529,3.802858507685138e-14,0.16753756491307026,0.0,0.4278183222664786,20,True
dxy,56.92344404921593,6.820905091176408e-14,0.16587211174774674,0.0,18.972128143678702,21,False
ret_ukx_log,53.88772074022548,3.0659250776837235e-13,0.16150707442196796,0.0,0.00011217717882329086,22,False
ret_indu_log,42.86802034754227,7.41164249182563e-11,0.14443576547554984,0.0,0.00014077134074421159,23,False
ukx_close,41.68939243384219,1.3373806690889836e-10,0.14247721027808824,0.0,289987.5936785064,24,False
baa_aaa_spread,39.78463949665365,3.4766905838592045e-10,0.1392489170972956,0.0,0.05976771046073729,25,False
ret_spx_log,39.305835717846335,4.4217351930580883e-10,0.13842461030470984,0.0,0.00014213785576638557,26,False
ndx_close,36.1197942477426,2.197137037322332e-09,0.13279904638825415,0.0,13194876.659815691,27,False
spx_high,35.093396870498,3.687242085796364e-09,0.13093141916268586,0.0,669406.307672474,28,False
indu_close,31.71603552974885,2.0350270145117205e-08,0.12457450540579744,0.0,35161044.71674757,29,False
ret_nky_log,30.92492208111587,3.03963728876918e-08,0.1230348385700112,0.0,0.00016040026544517482,30,False
ust_10y,23.62325802446191,1.2623077572077563e-06,0.1077261638091298,0.0,0.5499563467220931,31,False
aaa,23.509900687766777,1.3379930335443252e-06,0.10747038079952126,0.0,0.4163379778491972,32,False
ret_ndx_log,23.27072023034249,1.5129720255755369e-06,0.10692858506904523,0.0,0.00020926841091572213,33,False
unemployment,13.309710923211806,0.00027075579143585985,0.08106597099641297,0.0,3.4910343706270974,34,False
epu,12.780167914062682,0.00035857172778681006,0.07944733628813778,0.0,8969.356750400817,35,False
nky_close,10.54816654597203,0.0011821737408561385,0.07221693504730015,0.0,15360578.329283223,36,False
fed_funds,8.449964121086744,0.003690447982627082,0.06467007767769177,0.007447864945382324,0.9243158981191438,37,False
ust_3m,6.469156204520182,0.011050526010931247,0.05661255559270367,0.0,1.0821465572965687,38,False
baa,5.117346805759521,0.023794074290872873,0.05036824781037431,0.0,0.521486852730983,39,False
ret_wti_simple,4.457189635662103,0.03487767410064733,0.047014958047080745,0.0,0.006426255170801029,40,False
obv,4.284500660702038,0.03858872283620073,0.046097163339899425,0.0,1.0229134438756253e+18,41,False
industrial_production,2.2646728342858107,0.132511118907375,0.03353084262517591,0.0,9.611203564633932,42,False
ret_nky_simple,1.3937187015420933,0.2379176469584421,0.026310143034675066,0.06256206554121152,0.04797482912876218,43,False
wti_close,0.40080408279023044,0.5267462358590174,0.014112658330228829,0.0,334.56224844630265,44,False
ret_ukx_simple,0.32847295795328557,0.5666236982043351,0.012776160959986477,0.018371400198609732,0.017506456967581872,45,False
ret_dxy_log,0.06024603956149735,0.8061325197462302,0.005471970672899453,0.0,1.9992692618841354e-05,46,False
ret_gold_log,0.0012179421246303248,0.9721637178406981,0.0007780351288413382,0.0,7.75150774764557e-05,47,False
