model,horizon,GW_stat_vs_RW,GW_pvalue_vs_RW,n,GW_pvalue_FDR_all_horizons
"GARCH(1,1)",1,27.383759510163486,4.891575751688606e-06,4002,6.43848432273543e-06
"GARCH(1,1)",2,299.45756826187403,1.4184416195350268e-63,4002,1.0922000470419705e-62
"GARCH(1,1)",3,258.90332214239527,7.857918805543497e-55,4002,4.6543057540526863e-54
"GARCH(1,1)",4,213.87653934884628,3.8947091229500415e-45,4002,1.9347909836590529e-44
"GARCH(1,1)",5,165.3497405479179,1.0407707917760437e-34,4002,4.109710305987455e-34
"GARCH(1,1)",6,122.07787584362251,1.9221639755146083e-25,4002,6.4350707006358625e-25
"GARCH(1,1)",7,94.72805784945922,1.3019253086756689e-19,4002,3.2868278284598854e-19
"GARCH(1,1)",8,74.29652157180736,2.806661719292522e-15,4002,6.356263305456594e-15
"GARCH(1,1)",9,59.40914993498681,3.860735902679113e-12,4002,7.927377720167778e-12
"GARCH(1,1)",10,51.859425959509885,1.4760479305758351e-10,4002,2.9142484783163925e-10
"GARCH(1,1)",11,49.024324710543695,5.770991300258269e-10,4002,1.0838203173655775e-09
"GARCH(1,1)",12,47.75548486758032,1.0613025014158514e-09,4002,1.9457212525957277e-09
"GARCH(1,1)",13,46.26113367777351,2.1731513920777547e-09,4002,3.937238992705579e-09
"GARCH(1,1)",14,45.74856035513786,2.7781559927659468e-09,4002,4.917655435470757e-09
"GARCH(1,1)",15,44.586919837868,4.845151668635508e-09,4002,8.383745583931104e-09
"GARCH(1,1)",16,44.73124902119725,4.521786823261096e-09,4002,7.913126940706918e-09
"GARCH(1,1)",17,42.70133238008421,1.1934767447472872e-08,4002,2.0421713187898027e-08
"GARCH(1,1)",18,38.599679068567944,8.427112536422913e-08,4002,1.3379127119681738e-07
"GARCH(1,1)",19,35.20800712569131,4.210026284332378e-07,4002,6.234077382569098e-07
"GARCH(1,1)",20,34.25173841618562,6.616500460071622e-07,4002,9.612651611802168e-07
"GARCH(1,1)",21,36.172689637837124,2.6663859546397447e-07,4002,4.025719970730595e-07
"GARCH(1,1)",22,38.85081822213212,7.478642588175972e-08,4002,1.199698915186562e-07
HAR,1,9.271373322164107,0.025892170723479564,4002,0.026761035512858074
HAR,2,39.41485509531956,5.718723698898424e-08,4002,9.368972868408057e-08
HAR,3,30.511720807764974,3.850117387449102e-06,4002,5.155809371018798e-06
HAR,4,25.60310501374015,3.80438384201457e-05,4002,4.802255013690523e-05
HAR,5,22.984243238201387,0.00012754727931202543,4002,0.0001534553204222806
HAR,6,21.22439145551551,0.0002858224265703357,4002,0.00033600499001398246
HAR,7,19.385647854166276,0.0006600129699950438,4002,0.0007642255442047875
HAR,8,17.76095310577058,0.0013741556514012478,4002,0.0015560291934984718
