model,horizons,n_mean,QLIKE_macro,MSE_macro,MAE_macro,R2_oos_macro
"GARCH(1,1)",22,4002.0,0.1734508288503038,0.0012949621012126734,0.01317897500380944,-5.54189600546506
HAR,22,4002.0,0.1531976519715776,0.000608209073876621,0.007357256509624743,0.2970038794466539
LSTM,22,4002.0,0.29310817832446034,0.0012201226330894486,0.010130088357706644,-6.333707613377862
RW,22,4002.0,0.17441952614814313,0.0008423004895667419,0.008794838847079878,0.0
TSMixerX,22,4002.0,0.3953901810380252,0.0012042477957995641,0.010695571125202495,-5.643817759635228
VIX,22,4002.0,0.3402857772550915,0.001000128626203376,0.021355744598314155,-4.627343704549347
VIX_calibrated,22,4002.0,1947765.8140778982,0.0007296465473989763,0.00977270101378943,-3.166324692154777
XGBoost,22,4002.0,0.3580391590279629,0.0012714231172659498,0.01415969849014998,-4.690749442146754
