model,horizon,n,QLIKE,MSE,MAE,R2_oos,mean_y,mean_y_hat,bias
"GARCH(1,1)",1,4002,0.06934434934945789,0.0009622644236437319,0.010013362078645794,-69.49226219948719,0.021367795637523168,0.030276364590843503,0.00890856895332033
"GARCH(1,1)",2,4002,0.07201689516917788,0.0009719288744807036,0.010063562799185858,-21.43341159308344,0.02137206144474627,0.030233998456798996,0.008861937012052734
"GARCH(1,1)",3,4002,0.07628173165174879,0.0009891610179349117,0.01015072283716896,-10.291393847193067,0.021376386769383093,0.03018476861705769,0.008808381847674601
"GARCH(1,1)",4,4002,0.08170024400208661,0.0010091082201632733,0.010272033944512798,-6.05699723246827,0.02138102588577273,0.030129089905438174,0.008748064019665446
"GARCH(1,1)",5,4002,0.08827252071064116,0.0010322232973967024,0.010482471577538866,-3.959777811566356,0.021385375378922766,0.030066990307748395,0.008681614928825632
"GARCH(1,1)",6,4002,0.09591005900202876,0.0010582092084656122,0.01075151522459052,-2.7692581984564684,0.021389760099417697,0.0299995734699823,0.008609813370564602
"GARCH(1,1)",7,4002,0.10471641533068275,0.0010883997807782022,0.011069773068369752,-2.0157167308529185,0.021394006228729424,0.029926677631454658,0.008532671402725229
"GARCH(1,1)",8,4002,0.11454577074291782,0.0011244952813890122,0.01138598259538573,-1.5121616319867428,0.021397853994668672,0.029849118672520363,0.008451264677851691
"GARCH(1,1)",9,4002,0.12511259077507395,0.0011650747849808382,0.011735870816000912,-1.159502209078068,0.02140159636943254,0.02976654903474289,0.008364952665310359
"GARCH(1,1)",10,4002,0.13653997807090346,0.0012082360757894916,0.012148523530142605,-0.8994448607654781,0.02140530456806093,0.02968007509700351,0.008274770528942575
"GARCH(1,1)",11,4002,0.14901639773109385,0.0012494893800154676,0.012580305411872477,-0.6955312708980828,0.021409069319902004,0.029589987874794693,0.008180918554892691
"GARCH(1,1)",12,4002,0.16219786908474937,0.0012910234596371134,0.013017025988834583,-0.5354335725595045,0.0214125109150016,0.029495713996708216,0.00808320308170661
"GARCH(1,1)",13,4002,0.17618733525458513,0.001331985258639537,0.013475066425123404,-0.40705903286662126,0.0214150405467521,0.029398739757355328,0.007983699210603228
"GARCH(1,1)",14,4002,0.19095184105090757,0.0013683327572820959,0.013926151341082394,-0.29795715949814094,0.021417275035361102,0.029298786770370757,0.007881511735009656
"GARCH(1,1)",15,4002,0.2073096926878696,0.0014096467102058972,0.014403612346268652,-0.212708850056333,0.021419195189878032,0.0291963702806017,0.00777717509072367
"GARCH(1,1)",16,4002,0.22495962416162713,0.0014528278015233291,0.01485770386938341,-0.14368101977978442,0.021420750635893614,0.029091608368097082,0.007670857732203469
"GARCH(1,1)",17,4002,0.24328163686120313,0.0014985854718163802,0.015342817812755349,-0.08818293473193473,0.0214206983223828,0.02898403842226259,0.007563340099879791
"GARCH(1,1)",18,4002,0.2620449221113127,0.0015500384413939384,0.015834401044554077,-0.04546023789875364,0.02141978192504687,0.028874364074557627,0.007454582149510759
"GARCH(1,1)",19,4002,0.28105620675781867,0.0015981009540477834,0.016327506870039997,-0.00858129185292933,0.021418202295659876,0.02876230556770703,0.007344103272047154
"GARCH(1,1)",20,4002,0.29964553509239844,0.0016480614720221457,0.016862213348405417,0.020275835754307137,0.021416303175825987,0.028648489765416205,0.00723218658959022
"GARCH(1,1)",21,4002,0.31832357519044235,0.0017087174921412722,0.017366923669790407,0.03665000702676835,0.021414174476880977,0.028533180662757614,0.007119006185876639
"GARCH(1,1)",22,4002,0.3365030439179565,0.0017732560629313762,0.01786990348415569,0.04588372206768698,0.02141204946525192,0.0284168855458202,0.00700483608056828
HAR,1,4002,0.003270102493786352,8.620024687367507e-06,0.0009628162396712022,0.3685259212566119,0.021367795637523168,0.021245985718175413,-0.00012180991934775717
HAR,2,4002,0.00855483527276958,2.617266835729824e-05,0.0017166349733886478,0.3958999910747075,0.02137206144474627,0.021080109036113837,-0.00029195240863242445
HAR,3,4002,0.015816432453698778,5.44956307274882e-05,0.002474933680353045,0.3779257185246705,0.021376386769383093,0.020879444711049716,-0.0004969420583333713
HAR,4,4002,0.024491808144070634,9.145599958212826e-05,0.0032113827672716165,0.36042069319455927,0.02138102588577273,0.020654172085914205,-0.0007268537998585239
HAR,5,4002,0.034846258589592935,0.00013686122041339365,0.003927497293268496,0.34238914585419744,0.021385375378922766,0.020399166811100405,-0.0009862085678223596
HAR,6,4002,0.04674026885989981,0.00018919759046896612,0.004636865608353917,0.32609302272336627,0.021389760099417697,0.020123432946707705,-0.0012663271527099914
HAR,7,4002,0.059810043398591174,0.0002499048358959473,0.005322757125177455,0.30756859010610094,0.021394006228729424,0.01983770107135398,-0.0015563051573754447
HAR,8,4002,0.07370872319064252,0.0003180417786437404,0.005982495866104724,0.2894835870803216,0.021397853994668672,0.019549784884718813,-0.0018480691099498625
HAR,9,4002,0.08899924871550183,0.00039146864154456266,0.006593227059817007,0.2744007448292882,0.02140159636943254,0.019251470672894462,-0.0021501256965380734
HAR,10,4002,0.10528444009420787,0.0004682900932410895,0.007163732213594331,0.26381008746741963,0.02140530456806093,0.018952657678236246,-0.0024526468898246863
HAR,11,4002,0.12258959398844027,0.0005483135222719809,0.007716452426639976,0.25594987989661233,0.021409069319902004,0.018650909913112,-0.002758159406790004
