model,horizon,DM_stat_vs_RW,DM_pvalue_vs_RW,n,DM_pvalue_FDR_all_horizons
"GARCH(1,1)",1,-14.878981941547405,4.513147261968955e-50,4002,9.928923976331701e-49
"GARCH(1,1)",2,-13.315438899654914,1.882628448360856e-40,4002,3.2213864560841315e-39
"GARCH(1,1)",3,-11.271634339180265,1.811753063286314e-29,4002,2.5364542886008395e-28
"GARCH(1,1)",4,-9.07245929748945,1.1636045424800247e-19,4002,1.3784238426301832e-18
"GARCH(1,1)",5,-6.947914011968691,3.707268383928018e-12,4002,3.5682458195307175e-11
"GARCH(1,1)",6,-5.110339022632234,3.215812189514874e-07,4002,1.9809403087411624e-06
"GARCH(1,1)",7,-3.6480799125083085,0.00026420746764561475,4002,0.0007792465947661719
"GARCH(1,1)",8,-2.5544569049924086,0.010635359418173725,4002,0.019733076510828357
"GARCH(1,1)",9,-1.6451890530825766,0.09993083030678156,4002,0.12932225098524672
"GARCH(1,1)",10,-0.9307985911878688,0.3519577585932604,4002,0.38715353445258643
"GARCH(1,1)",11,-0.3824819738190329,0.7021038971703963,4002,0.7160529812201394
"GARCH(1,1)",12,0.060202824365978125,0.9519940962784114,4002,0.9519940962784114
"GARCH(1,1)",13,0.4010361128366963,0.6883935361941158,4002,0.7152653660719022
"GARCH(1,1)",14,0.6832680290797417,0.49443749245177504,4002,0.5215299577915983
"GARCH(1,1)",15,0.8936882594638345,0.3714887087926104,4002,0.4057394408089504
"GARCH(1,1)",16,1.0583440850565229,0.2898986012553648,4002,0.3235100332849723
"GARCH(1,1)",17,1.1933303340808223,0.23274002696952134,4002,0.26747734442765886
"GARCH(1,1)",18,1.3041108985681724,0.19219577348039496,4002,0.22422840239379413
"GARCH(1,1)",19,1.3898212786874793,0.1645831548965231,4002,0.19801410823487933
"GARCH(1,1)",20,1.4685905078503636,0.14194389099466415,4002,0.17212093868644315
"GARCH(1,1)",21,1.5269429737753908,0.12677519231313714,4002,0.15744660980825095
"GARCH(1,1)",22,1.5799850642136866,0.11411028695432437,4002,0.14286979017045492
HAR,1,6.2929209047551655,3.1154710854335844e-10,4002,2.822250277392776e-09
HAR,2,5.616967257165912,1.94338231698987e-08,4002,1.5751625095602105e-07
HAR,3,4.985511093638444,6.179823314053201e-07,4002,3.524788112459974e-06
HAR,4,4.522504823810106,6.111209348086843e-06,4002,3.035891095501206e-05
HAR,5,4.194481009556457,2.73497062482544e-05,4002,0.00010799627595464558
HAR,6,3.9061648063180265,9.377256818667322e-05,4002,0.0003304274711177999
HAR,7,3.644240781304536,0.0002681822696273189,4002,0.0007792465947661719
HAR,8,3.4515932933307663,0.0005572870584454326,4002,0.001505652754396432
HAR,9,3.2798927377393583,0.001038465602225369,4002,0.002665395045711781
HAR,10,3.1277180934539017,0.0017616906382974223,4002,0.004306354893615921
HAR,11,2.989484921579042,0.0027944823990353486,4002,0.006423138648529011
HAR,12,2.846297476096687,0.004423085422767174,4002,0.009204799393326281
HAR,13,2.7542623334739122,0.005882459660913207,4002,0.011764919321826413
HAR,14,2.6427491093546664,0.008223594654236926,4002,0.01583041970940608
HAR,15,2.5186849072387005,0.011779401608866305,4002,0.02159556961625489
HAR,16,2.380731077098847,0.01727832047556417,4002,0.030237060832237303
HAR,17,2.2187378503806126,0.026504564378352833,4002,0.04342237142836528
HAR,18,2.0424461365879054,0.04110729721629992,4002,0.06157914642629663
HAR,19,1.8086029684914635,0.07051270699307853,4002,0.09442571197333995
HAR,20,1.5180825011507202,0.12899360192442103,4002,0.1589201175708867
HAR,21,1.2215672456052307,0.22187132140546217,4002,0.2569036353115878
HAR,22,0.9432798846765467,0.34553776197146824,4002,0.382826009666231
LSTM,1,-1.813338939330614,0.0697795609669751,4002,0.09426361744661549
LSTM,2,-2.292694678672997,0.0218655891209426,4002,0.03741445249583512
LSTM,3,-2.041652108612535,0.04118605247992567,4002,0.06157914642629663
LSTM,4,-2.346480206293147,0.018951672796807123,4002,0.032792782142789856
LSTM,5,-1.8333340126709172,0.06675291420496474,4002,0.09178525703182651
LSTM,6,-2.0679232889450456,0.03864723708500493,4002,0.0589274704068392
LSTM,7,-1.9336988388137675,0.05315016670330728,4002,0.07555973468920842
LSTM,8,-1.6990890578557105,0.0893024047720661,4002,0.11754333619571093
LSTM,9,-1.6054993842222918,0.1083839485901459,4002,0.13681252526952842
LSTM,10,-1.6359123610787183,0.10185793057056426,4002,0.13071767756555747
LSTM,11,-1.3227349878067263,0.1859235238976492,4002,0.22195521457548822
LSTM,12,-1.9246288563185137,0.054275806672176095,4002,0.07598612934104654
LSTM,13,-1.6058854174439603,0.1082990881483132,4002,0.13681252526952842
LSTM,14,-1.4901566178537036,0.1361830601315783,4002,0.16644596238304016
LSTM,15,-1.0617217722000336,0.2883620122942493,4002,0.3235100332849723
LSTM,16,-1.3143103368795879,0.18874179008346914,4002,0.22358642825272498
LSTM,17,-1.309828769354312,0.19025376830562846,4002,0.22365710167226552
LSTM,18,-0.8055374342050539,0.42050961349100935,4002,0.45253993724641567
LSTM,19,-0.6032591649904632,0.5463362937751045,4002,0.5723523077643953
LSTM,20,-1.1546875895718538,0.24821838347735614,4002,0.2810708165846533
LSTM,21,-0.817237030148723,0.41379298453646485,4002,0.44876140576489854
LSTM,22,-0.8009609948639985,0.42315422703560945,4002,0.45253993724641567
TSMixerX,1,-5.2813932404037285,1.2820518127298416e-07,4002,9.87179895801978e-07
TSMixerX,2,-4.259035430159081,2.0531092956358035e-05,4002,8.782745320219826e-05
TSMixerX,3,-3.826169828514223,0.00013015251555934258,4002,0.0004357279868725817
TSMixerX,4,-4.4623737444902964,8.105668842877804e-06,4002,3.900853130634943e-05
TSMixerX,5,-3.6580264926798014,0.00025416478017924735,4002,0.0007674779636785117
TSMixerX,6,-3.337599681508964,0.000845054039327187,4002,0.0022057342721421495
TSMixerX,7,-4.010040906971166,6.070822938700282e-05,4002,0.000222596841085677
TSMixerX,8,-3.5237793139016125,0.00042543842945059893,4002,0.0011912276024616771
TSMixerX,9,-2.997245523182956,0.0027243120332399173,4002,0.006356728077559807
TSMixerX,10,-2.50809623754839,0.012138360263432112,4002,0.02199185271257112
TSMixerX,11,-2.9132207211973515,0.0035772165605666294,4002,0.007869876433246584
TSMixerX,12,-2.782074370977492,0.005401266118885686,4002,0.011090599764111942
TSMixerX,13,-2.210428427270644,0.027075442708451813,4002,0.04389071765370084
TSMixerX,14,-2.406181347205506,0.016120260357619366,4002,0.028534713736475658
TSMixerX,15,-1.9310199006237871,0.05348059143586829,4002,0.07555973468920842
TSMixerX,16,-2.6242336390895655,0.008684418984756005,4002,0.01651111757595586
TSMixerX,17,-2.0055919199013257,0.04489980469263087,4002,0.06590462801819652
TSMixerX,18,-1.8764719131890042,0.06059050791980391,4002,0.08406250648333155
TSMixerX,19,-1.8286930353708355,0.06744560640461549,4002,0.09191702111779455
TSMixerX,20,-1.9954914971149889,0.045989300609887415,4002,0.06681464428228925
TSMixerX,21,-2.0895179109414435,0.036661127366333916,4002,0.05645813614415423
TSMixerX,22,-1.7801396097253728,0.07505311562911746,4002,0.09963948109382834
VIX,1,-23.69372075341537,4.1852863337310445e-124,4002,6.445340953945809e-122
VIX,2,-23.01556132664131,3.25627334154157e-117,4002,2.5073304729870087e-115
VIX,3,-21.856671076475592,6.716751202836578e-106,4002,3.447932284122777e-104
VIX,4,-20.26031531868162,2.881117193345942e-91,4002,1.1092301194381877e-89
VIX,5,-18.34468016415802,3.640627536542266e-75,4002,1.121313281255018e-73
VIX,6,-16.205063068012425,4.644104016411117e-59,4002,1.19198669754552e-57
VIX,7,-14.04360180848701,8.431606821421025e-45,4002,1.6230843131235473e-43
VIX,8,-12.0338032883435,2.360317517679921e-33,4002,3.634888977227078e-32
VIX,9,-10.186433309131468,2.279752486955275e-24,4002,2.92568235825927e-23
VIX,10,-8.550389086800358,1.226742659492614e-17,4002,1.3494169254418752e-16
VIX,11,-7.081768929631286,1.4232583857219268e-12,4002,1.4612119426745115e-11
VIX,12,-5.806676989203795,6.372490544595021e-09,4002,5.452019688153518e-08
VIX,13,-4.717521327959056,2.387353800632242e-06,4002,1.2677671906805697e-05
VIX,14,-3.766955240090203,0.00016525061397280034,4002,0.000508971891036225
VIX,15,-2.949417887317761,0.003183731631038992,4002,0.007105719872173982
VIX,16,-2.2580156411067467,0.023944684308660986,4002,0.040081319386236866
VIX,17,-1.6688489261028068,0.09514732364268431,4002,0.12417532068621512
VIX,18,-1.1695125378142857,0.2421971927718929,4002,0.2762842050879371
VIX,19,-0.7473819148776909,0.45483305890575576,4002,0.48306407635507853
VIX,20,-0.39269762653530105,0.6945428238801356,4002,0.7152653660719022
VIX,21,-0.09885620439016815,0.9212524423441851,4002,0.9272737001372844
VIX,22,0.14077330549108216,0.8880490321607946,4002,0.8997338878471208
VIX_calibrated,1,-4.996829496488953,5.828055462889056e-07,4002,3.452002081865056e-06
VIX_calibrated,2,-5.226602986341122,1.7265267064730334e-07,4002,1.1560222295515094e-06
VIX_calibrated,3,-5.235283224830239,1.6473206174089043e-07,4002,1.153124432186233e-06
VIX_calibrated,4,-5.267099350187419,1.385962087555366e-07,4002,1.0163721975406018e-06
VIX_calibrated,5,-5.146932281244121,2.6478085806667505e-07,4002,1.6990105059278317e-06
VIX_calibrated,6,-4.906954896369768,9.250129425426306e-07,4002,5.087571183984469e-06
VIX_calibrated,7,-4.681288385682051,2.8507757192379286e-06,4002,1.4633982025421366e-05
VIX_calibrated,8,-4.2988849024987665,1.7165958297098093e-05,4002,7.553021650723162e-05
VIX_calibrated,9,-4.119700630711634,3.793649724962431e-05,4002,0.0001460555144110536
VIX_calibrated,10,-3.8083425775177813,0.00013990136637814,4002,0.00043969000861701147
VIX_calibrated,11,-3.528917318089545,0.00041726347622265866,4002,0.0011899736173757304
VIX_calibrated,12,-3.235145680554012,0.0012158068037315859,4002,0.003069413897945315
VIX_calibrated,13,-3.0160026838876677,0.0025613099281396683,4002,0.006068334291284753
VIX_calibrated,14,-2.8571945409514377,0.004274037923748816,4002,0.009016463565168735
VIX_calibrated,15,-2.6597247403648767,0.007820453586033654,4002,0.015244934838597249
VIX_calibrated,16,-2.1132647266761975,0.03457811601246253,4002,0.053788180463830604
VIX_calibrated,17,-0.38979648267882533,0.6966870448752294,4002,0.7152653660719022
VIX_calibrated,18,2.1403055227711074,0.032330083958932866,4002,0.05132817453273878
VIX_calibrated,19,2.9660815746569598,0.0030162047577223638,4002,0.006830816657194766
VIX_calibrated,20,3.1460497757836583,0.0016549183811322178,4002,0.004110603720876799
VIX_calibrated,21,3.0923147445379553,0.001986021520498374,4002,0.004778864283699212
VIX_calibrated,22,2.9004589665148477,0.0037261662095457804,4002,0.008082106989719015
XGBoost,1,-2.1780225924458003,0.029404354796205016,4002,0.047169485818912206
XGBoost,2,-2.225679503150857,0.026035656639942367,4002,0.04311280776936693
XGBoost,3,-2.878210281479065,0.003999384506812848,4002,0.008554239084016368
XGBoost,4,-3.3772315470495484,0.0007321938572398449,4002,0.0019441009312920019
XGBoost,5,-3.812685673515666,0.00013746488958360042,4002,0.00043969000861701147
XGBoost,6,-3.888934071412984,0.00010068546214685268,4002,0.0003445680260136736
XGBoost,7,-4.2425699816495905,2.2097460182668673e-05,4002,9.197321265218852e-05
XGBoost,8,-3.8164219811349023,0.0001354008619956831,4002,0.00043969000861701147
XGBoost,9,-4.321943395292688,1.5466087189744134e-05,4002,7.005227727119401e-05
XGBoost,10,-4.211770099500971,2.5337735048922308e-05,4002,0.00010268450519826409
XGBoost,11,-4.034816029572585,5.464509584561358e-05,4002,0.00020525231122498757
XGBoost,12,-4.414578550865714,1.0120696317623725e-05,4002,4.722991614891072e-05
XGBoost,13,-3.904532131766876,9.440784889079997e-05,4002,0.0003304274711177999
XGBoost,14,-3.478688406369912,0.0005038740980509691,4002,0.0013856537696401651
XGBoost,15,-2.7056193298772784,0.006817714861761926,4002,0.013460616521940211
XGBoost,16,-2.7743856851645368,0.005530606727821119,4002,0.011206755737953319
XGBoost,17,-2.5658610282882477,0.010292005399177536,4002,0.019328888188699274
XGBoost,18,-2.460036804613503,0.013892276841179312,4002,0.024876867831879233
XGBoost,19,-2.2845537054665512,0.022339010101033226,4002,0.03780447863251777
XGBoost,20,-2.0052626675704825,0.04493497364877035,4002,0.06590462801819652
XGBoost,21,-2.1149488188963703,0.034434309707475026,4002,0.053788180463830604
XGBoost,22,-1.9888236611642445,0.04672067016392204,4002,0.06724283369386912
