model,window_id,horizon,n,MSE,MAE,QLIKE
"GARCH(1,1)",8,16,251,0.00033693779066449686,0.013204775046510023,0.22173891090039596
"GARCH(1,1)",8,17,251,0.0003690820394096415,0.013936570328989253,0.23840557768143766
"GARCH(1,1)",8,18,251,0.0003975076605963126,0.01462375752936219,0.255459809793467
"GARCH(1,1)",8,19,251,0.00041937812049856017,0.015224020728441331,0.27168797226890595
"GARCH(1,1)",8,20,251,0.0004423225286682025,0.015799479398081087,0.28830465802566707
"GARCH(1,1)",8,21,251,0.00046070007377785517,0.016344092033149224,0.3034761446755796
"GARCH(1,1)",8,22,251,0.00048079787212349065,0.016832528678232733,0.3173540365973735
"GARCH(1,1)",9,1,252,6.901549331404025e-05,0.005041952330227808,0.03893042972819362
"GARCH(1,1)",9,2,252,7.448299596651564e-05,0.005301162372188753,0.04448339554008482
"GARCH(1,1)",9,3,252,8.208499080922267e-05,0.005561915877551157,0.05147076621412933
"GARCH(1,1)",9,4,252,8.994456216678618e-05,0.0058563994374655065,0.06054522815332832
"GARCH(1,1)",9,5,252,9.946040478458752e-05,0.006225400421933582,0.07061708501120884
"GARCH(1,1)",9,6,252,0.00010954615118953383,0.006558062500016194,0.0808103036646796
"GARCH(1,1)",9,7,252,0.00011934384919585186,0.006930336051695534,0.09134331924507456
"GARCH(1,1)",9,8,252,0.00012925441650567018,0.0073044396183336606,0.10242011521549958
"GARCH(1,1)",9,9,252,0.0001386960873791901,0.007667846839552803,0.11368274096561132
"GARCH(1,1)",9,10,252,0.00014793087582873528,0.008046564633390482,0.12556832369488732
"GARCH(1,1)",9,11,252,0.0001564419496189667,0.008428994970826628,0.1378142896072038
"GARCH(1,1)",9,12,252,0.00016555350083818953,0.008811927800127281,0.15016078663935917
"GARCH(1,1)",9,13,252,0.00017362045470446544,0.009179997685339733,0.16328726177682817
"GARCH(1,1)",9,14,252,0.00017949622553705089,0.009534458369588952,0.17727352777015312
"GARCH(1,1)",9,15,252,0.0001825972843885386,0.009900362530196567,0.19213466666213888
"GARCH(1,1)",9,16,252,0.0001869804952779485,0.010246366152334615,0.2068703956802348
"GARCH(1,1)",9,17,252,0.00019522808887184097,0.010578156702232172,0.22164133207252482
"GARCH(1,1)",9,18,252,0.00020409418961296147,0.010905705192682684,0.23598282604817591
"GARCH(1,1)",9,19,252,0.00021670676947644878,0.011311804071857083,0.2512129724131502
"GARCH(1,1)",9,20,252,0.00022699647529888503,0.011700643980282277,0.26593436257931263
"GARCH(1,1)",9,21,252,0.00023422769098400587,0.012066251095135237,0.2803343048860585
"GARCH(1,1)",9,22,252,0.00023916174679922865,0.01239093463029072,0.29395235695755356
"GARCH(1,1)",10,1,253,0.011928664054125942,0.0443563706324838,0.04365490417133355
"GARCH(1,1)",10,2,253,0.01196451520558823,0.04361929517508377,0.04486184013541944
"GARCH(1,1)",10,3,253,0.012098023385593326,0.042870235285247964,0.04880368187680383
"GARCH(1,1)",10,4,253,0.012232666560877325,0.04229194934187247,0.05532213892338287
"GARCH(1,1)",10,5,253,0.01238718221379703,0.04244030208421722,0.06492074218323526
"GARCH(1,1)",10,6,253,0.01256914420562714,0.04325603897106968,0.07734265972969626
"GARCH(1,1)",10,7,253,0.01280355610704351,0.04434366887009596,0.09285084280842718
"GARCH(1,1)",10,8,253,0.01313014853032267,0.04540206042488524,0.11336738821052561
"GARCH(1,1)",10,9,253,0.013516293294835583,0.046730505279020514,0.1362811530987798
"GARCH(1,1)",10,10,253,0.013913364634108352,0.04838636954969724,0.16536220169733756
"GARCH(1,1)",10,11,253,0.014283861840247826,0.049976631621109796,0.2033589757648468
"GARCH(1,1)",10,12,253,0.01466123021525423,0.05159248490612622,0.24758938505074182
"GARCH(1,1)",10,13,253,0.015021659023343605,0.053204905397084015,0.29448961656374
"GARCH(1,1)",10,14,253,0.01532441341829938,0.05479415909900683,0.3447221795844451
"GARCH(1,1)",10,15,253,0.015671798635590515,0.0563133208216251,0.4037601467308019
"GARCH(1,1)",10,16,253,0.016072064992426464,0.05769025781541122,0.47795306113509
"GARCH(1,1)",10,17,253,0.016540780411050428,0.05905030364582179,0.5566833163106681
"GARCH(1,1)",10,18,253,0.017111666550998595,0.06081548765990419,0.6386510923411717
"GARCH(1,1)",10,19,253,0.017603258998787993,0.06261723115357419,0.7194950333552103
"GARCH(1,1)",10,20,253,0.018052100314144906,0.0649265301999137,0.7993575805012713
"GARCH(1,1)",10,21,253,0.018826499045412875,0.06725000625853392,0.8815619259839377
"GARCH(1,1)",10,22,253,0.019785179383862685,0.06964675017403169,0.9716915087158947
"GARCH(1,1)",11,1,252,2.617697266301082e-05,0.004118675368934917,0.04980689999125108
"GARCH(1,1)",11,2,252,2.8369952728684277e-05,0.004258842336194864,0.053731265950379754
"GARCH(1,1)",11,3,252,3.147231796096325e-05,0.004472443298476842,0.05983361081827132
"GARCH(1,1)",11,4,252,3.55092858533133e-05,0.004733093290849257,0.06799632388268828
"GARCH(1,1)",11,5,252,3.996318513265935e-05,0.00504818098765592,0.07614411939354501
"GARCH(1,1)",11,6,252,4.508501345888804e-05,0.005388029524304618,0.08518957289484715
"GARCH(1,1)",11,7,252,5.1126095860123324e-05,0.005706938784949078,0.09699335538342206
"GARCH(1,1)",11,8,252,5.7849707092588496e-05,0.006032187312906262,0.10926085036335012
"GARCH(1,1)",11,9,252,6.392725388455177e-05,0.006316699430881074,0.11997747043230883
"GARCH(1,1)",11,10,252,7.078203027070568e-05,0.006692962367162195,0.13133037287758487
"GARCH(1,1)",11,11,252,7.732106806934974e-05,0.006996407234934808,0.14095469704864733
"GARCH(1,1)",11,12,252,8.328541323482503e-05,0.007268514403213238,0.14977170086177696
"GARCH(1,1)",11,13,252,8.853764029637722e-05,0.007505134072653204,0.15669078254234792
"GARCH(1,1)",11,14,252,9.313789919248127e-05,0.00774717880968586,0.16352129629731837
"GARCH(1,1)",11,15,252,9.826214588345342e-05,0.008041943023669378,0.17075748425154233
"GARCH(1,1)",11,16,252,0.00010342798149635523,0.008345682485555804,0.1779512684428902
"GARCH(1,1)",11,17,252,0.00010943942074961362,0.008637006787534207,0.18508410451207216
"GARCH(1,1)",11,18,252,0.00011498751944811159,0.008904868451144075,0.19277194171201725
"GARCH(1,1)",11,19,252,0.00012040966288003494,0.009138925771247424,0.20010077478025404
"GARCH(1,1)",11,20,252,0.00012488657928012143,0.009345966696551165,0.20677181571817735
"GARCH(1,1)",11,21,252,0.0001288739828150083,0.009481117473836783,0.2124967341897227
"GARCH(1,1)",11,22,252,0.0001299069930912052,0.009551398641151919,0.21674322580518035
"GARCH(1,1)",12,1,251,0.00048135427291516966,0.018491693543754822,0.07703819363270663
"GARCH(1,1)",12,2,251,0.0004695941473654249,0.01800744247303485,0.07502423442255615
"GARCH(1,1)",12,3,251,0.00045426619711662493,0.017430086994521622,0.0726075212171971
"GARCH(1,1)",12,4,251,0.000437671727390475,0.016818167398115667,0.07017967847400113
"GARCH(1,1)",12,5,251,0.0004236950045979366,0.016235513749074088,0.0692827965477695
"GARCH(1,1)",12,6,251,0.00041183188801545504,0.015559230600654192,0.06920741037482768
"GARCH(1,1)",12,7,251,0.0004029619076519367,0.014984603163363114,0.071457510385238
"GARCH(1,1)",12,8,251,0.00039135275953303735,0.014638325974590019,0.07431961052908549
"GARCH(1,1)",12,9,251,0.0003768002280204006,0.014207211119833916,0.07769833524436907
"GARCH(1,1)",12,10,251,0.00037171281074708444,0.014080707992575006,0.08263124332440937
"GARCH(1,1)",12,11,251,0.00036409450572384575,0.014037032540839307,0.08811783403942383
"GARCH(1,1)",12,12,251,0.00035861793406104264,0.01402266994610068,0.09494228368259533
"GARCH(1,1)",12,13,251,0.00035763869689435984,0.014146256729621692,0.10345323857422735
"GARCH(1,1)",12,14,251,0.00036720360981051515,0.0142083866055278,0.11221948697720302
"GARCH(1,1)",12,15,251,0.00037919849350513495,0.014552293421900309,0.12394386907384876
"GARCH(1,1)",12,16,251,0.0003915522194318487,0.014845815642513308,0.13569584623803885
"GARCH(1,1)",12,17,251,0.00040584838065701377,0.015354480572417674,0.1476065082919873
"GARCH(1,1)",12,18,251,0.0004175637554497743,0.01551485004451824,0.15946128114643307
"GARCH(1,1)",12,19,251,0.00042530333018848384,0.015660562858741723,0.17057073972369305
"GARCH(1,1)",12,20,251,0.00043237243177068663,0.016039832757827527,0.18126572868566704
"GARCH(1,1)",12,21,251,0.0004324897740572721,0.0159427871151636,0.19176558868077254
"GARCH(1,1)",12,22,251,0.0004143637713514848,0.01578206122746798,0.19596258409825587
"GARCH(1,1)",13,1,250,1.7612023408463075e-05,0.003175369369315594,0.03559313940062353
"GARCH(1,1)",13,2,250,1.8887280794905018e-05,0.003282380568935759,0.037601209962390185
"GARCH(1,1)",13,3,250,2.0604331943785228e-05,0.003497163152826446,0.040194914783554095
"GARCH(1,1)",13,4,250,2.263972606312123e-05,0.0036201610736209078,0.043182819532135305
"GARCH(1,1)",13,5,250,2.503339300975362e-05,0.0037669516924784983,0.046504583308505675
"GARCH(1,1)",13,6,250,2.8324513300610416e-05,0.004024641270396527,0.05050470336613385
"GARCH(1,1)",13,7,250,3.1496398252459024e-05,0.004342192557364197,0.05613011392284885
"GARCH(1,1)",13,8,250,3.4680531283460287e-05,0.004604209075174973,0.061556644038040204
"GARCH(1,1)",13,9,250,3.8254627529169785e-05,0.004787014635811749,0.06658426733093045
"GARCH(1,1)",13,10,250,4.21884858515313e-05,0.005002249476360897,0.07156854534808392
"GARCH(1,1)",13,11,250,4.6021769822263165e-05,0.005235894477405571,0.07695519844618674
"GARCH(1,1)",13,12,250,4.912663595590629e-05,0.005486607928581721,0.0819116979726758
"GARCH(1,1)",13,13,250,5.254862237445405e-05,0.0056866739760204075,0.08727989985868924
"GARCH(1,1)",13,14,250,5.588482372833774e-05,0.005899253336779557,0.0926662637632947
"GARCH(1,1)",13,15,250,6.081277474460944e-05,0.006170560149739153,0.10051702566295669
"GARCH(1,1)",13,16,250,6.580659535254963e-05,0.006450613952113777,0.10841001463560472
"GARCH(1,1)",13,17,250,7.092972054455997e-05,0.006748966686709283,0.11590066223126885
"GARCH(1,1)",13,18,250,7.637250809782174e-05,0.007055110745982925,0.1232375303202549
"GARCH(1,1)",13,19,250,8.046655709350544e-05,0.007343048157196381,0.12979049735713866
"GARCH(1,1)",13,20,250,8.423039312131496e-05,0.0076255865127116285,0.13686744224899272
