model,window_id,horizon,n,MSE,MAE,QLIKE
"GARCH(1,1)",0,1,252,0.0001956943529146168,0.010410727476249606,0.07919778916202913
"GARCH(1,1)",0,2,252,0.00021168262612676945,0.010691507470027558,0.08215394263642066
"GARCH(1,1)",0,3,252,0.00022561786500063498,0.01098181265593266,0.08677734247323644
"GARCH(1,1)",0,4,252,0.00024138074720356917,0.011311885844336655,0.0914341104441279
"GARCH(1,1)",0,5,252,0.0002603607516546861,0.01166718064648725,0.09722295083287079
"GARCH(1,1)",0,6,252,0.0002828397849375222,0.012094027473954603,0.1045239253361732
"GARCH(1,1)",0,7,252,0.00030730176074383203,0.01255088860322097,0.1123964561939029
"GARCH(1,1)",0,8,252,0.00033192788026018444,0.012925441929624146,0.12693517245576458
"GARCH(1,1)",0,9,252,0.00035847092735886196,0.013320984536387645,0.14164196830017273
"GARCH(1,1)",0,10,252,0.0003890291033173215,0.013797800734692682,0.1572301944521607
"GARCH(1,1)",0,11,252,0.00042176472049858477,0.014348492111875066,0.1737249586453247
"GARCH(1,1)",0,12,252,0.0004538747215536913,0.014986241584328265,0.18955796357050167
"GARCH(1,1)",0,13,252,0.000480285995463382,0.015464267158847909,0.20599149231516212
"GARCH(1,1)",0,14,252,0.0005099779157348323,0.016003801508399026,0.22382148938536722
"GARCH(1,1)",0,15,252,0.0005450224004383605,0.016585666835438058,0.24747401276842604
"GARCH(1,1)",0,16,252,0.0005838245325398621,0.017173795910861787,0.2747940137201244
"GARCH(1,1)",0,17,252,0.0006224953960130625,0.01780708984031521,0.3044089609144767
"GARCH(1,1)",0,18,252,0.0006667076005267114,0.01846485255644286,0.3344227980404778
"GARCH(1,1)",0,19,252,0.0007138869649424589,0.019155536110688643,0.362000547984742
"GARCH(1,1)",0,20,252,0.0007619904825709999,0.019915421248774424,0.38870879980551865
"GARCH(1,1)",0,21,252,0.0007955194636407666,0.020432895255831054,0.41693516088810484
"GARCH(1,1)",0,22,252,0.0008218843443160246,0.020939273968563432,0.4430765106911159
"GARCH(1,1)",1,1,252,0.001681839677554608,0.024494021988762753,0.12183980695045646
"GARCH(1,1)",1,2,252,0.0017059546392859672,0.02440847429159372,0.12115831635433022
"GARCH(1,1)",1,3,252,0.001729485847507206,0.024353211164881705,0.12132439080490723
"GARCH(1,1)",1,4,252,0.0017607163347706548,0.024482172257366683,0.12303777990066829
"GARCH(1,1)",1,5,252,0.0017855174257106691,0.024586159331758495,0.12544148877041883
"GARCH(1,1)",1,6,252,0.0018098971506078786,0.024764032333343088,0.12882429541929533
"GARCH(1,1)",1,7,252,0.0018290101303851728,0.024957539740043694,0.1326003961990939
"GARCH(1,1)",1,8,252,0.0018436977088251156,0.025126928805322718,0.1368593070868144
"GARCH(1,1)",1,9,252,0.0018550368729391348,0.025310748408402115,0.1415534771361141
"GARCH(1,1)",1,10,252,0.0018664909219196796,0.025524087328983567,0.1474691289028535
"GARCH(1,1)",1,11,252,0.0018712242457229634,0.025831402614497227,0.15443020269609334
"GARCH(1,1)",1,12,252,0.001875369615097042,0.02605599143633455,0.1621603903784286
"GARCH(1,1)",1,13,252,0.0018803245898003811,0.026387610572926146,0.1709120166698922
"GARCH(1,1)",1,14,252,0.0018734001073859527,0.026695126812148876,0.17967831724705394
"GARCH(1,1)",1,15,252,0.0018751133436956185,0.0270439936022915,0.18868967587281604
"GARCH(1,1)",1,16,252,0.0018646376293227846,0.027326282939826706,0.19851792988753145
"GARCH(1,1)",1,17,252,0.0018483217076364956,0.02766034887269941,0.21056266484018532
"GARCH(1,1)",1,18,252,0.0018248745411821594,0.027976547582806474,0.22196968743435785
"GARCH(1,1)",1,19,252,0.001793564314145348,0.02837523218698796,0.23547779753962247
"GARCH(1,1)",1,20,252,0.001761192627991407,0.028696942282846423,0.24673387023227983
"GARCH(1,1)",1,21,252,0.0017593169135399504,0.02927559484456776,0.25881835524657926
"GARCH(1,1)",1,22,252,0.0017516608703592124,0.02969962206738219,0.26882522659549035
"GARCH(1,1)",2,1,250,5.252903814471204e-05,0.005757982618716888,0.07752310096239047
"GARCH(1,1)",2,2,250,5.449841633743105e-05,0.005814354155510338,0.07876143585282155
"GARCH(1,1)",2,3,250,5.641358267626413e-05,0.005843110414732323,0.0799759009120875
"GARCH(1,1)",2,4,250,5.860201966033599e-05,0.005904953167937766,0.08157762592165216
"GARCH(1,1)",2,5,250,6.0766759833675736e-05,0.0059764374016133765,0.08363086860588777
"GARCH(1,1)",2,6,250,6.265623172491567e-05,0.00604049884065297,0.0861302262452989
"GARCH(1,1)",2,7,250,6.53412200323836e-05,0.006140008375739938,0.08955570504046767
"GARCH(1,1)",2,8,250,6.838491792622678e-05,0.006277893499999431,0.09350205240530926
"GARCH(1,1)",2,9,250,7.173835232478051e-05,0.006433437179012868,0.09761530325472344
"GARCH(1,1)",2,10,250,7.483367700559299e-05,0.006584070205540644,0.10195168185932486
"GARCH(1,1)",2,11,250,7.76012163416785e-05,0.006735665848222011,0.10691998970579557
"GARCH(1,1)",2,12,250,8.042464975370459e-05,0.0069246632889722725,0.11229532013568698
"GARCH(1,1)",2,13,250,8.255596327308062e-05,0.007081532900929429,0.11778927759747004
"GARCH(1,1)",2,14,250,8.439849101930222e-05,0.007250192754847456,0.1237319251226723
"GARCH(1,1)",2,15,250,8.84495471219879e-05,0.007498969154667792,0.130564401795625
"GARCH(1,1)",2,16,250,9.180114123874522e-05,0.007734311375688129,0.13745565163368265
"GARCH(1,1)",2,17,250,9.572563545081871e-05,0.00798900631752201,0.14488899432832977
"GARCH(1,1)",2,18,250,0.0001004455278735308,0.008230109998723558,0.15279862682792766
"GARCH(1,1)",2,19,250,0.00010485523239444291,0.008469310532535045,0.16089116409644186
"GARCH(1,1)",2,20,250,0.00011032169779632273,0.008714115464570373,0.17007266463682064
"GARCH(1,1)",2,21,250,0.00011617332437575644,0.008906885356582446,0.17972555961643374
"GARCH(1,1)",2,22,250,0.00012090454213114672,0.009130614486641896,0.1896405720245991
"GARCH(1,1)",3,1,252,4.2400134352858083e-05,0.005157725512153465,0.1175126883808075
"GARCH(1,1)",3,2,252,4.522358346571758e-05,0.005275243965053259,0.12211495914427174
"GARCH(1,1)",3,3,252,4.823290470433294e-05,0.005409682541731854,0.12717157877362362
"GARCH(1,1)",3,4,252,5.133165527679312e-05,0.0055469818863140554,0.13295887570853018
"GARCH(1,1)",3,5,252,5.440477540905782e-05,0.00568384112172675,0.13910445786601217
"GARCH(1,1)",3,6,252,5.755452232206281e-05,0.005834753825034326,0.14572684378671089
"GARCH(1,1)",3,7,252,6.072289125659468e-05,0.0059806997330519324,0.1523250593461481
"GARCH(1,1)",3,8,252,6.393299456065375e-05,0.006125225859987976,0.15942052836097112
"GARCH(1,1)",3,9,252,6.728956184121762e-05,0.006283371596884721,0.16669143768288713
"GARCH(1,1)",3,10,252,7.054157836035544e-05,0.0064405606086706405,0.17410420144619806
"GARCH(1,1)",3,11,252,7.358033703772344e-05,0.0065998405682840605,0.18179431080515013
"GARCH(1,1)",3,12,252,7.652333673506075e-05,0.006763628657790182,0.18960310849652973
"GARCH(1,1)",3,13,252,7.942984995459806e-05,0.006935984993809136,0.19758700761376405
"GARCH(1,1)",3,14,252,8.24480034936325e-05,0.007110821685803466,0.20647082524951416
"GARCH(1,1)",3,15,252,8.539369921052433e-05,0.007282666554577515,0.21552092713510795
"GARCH(1,1)",3,16,252,8.812701040014665e-05,0.007444977956243777,0.2252650745369262
"GARCH(1,1)",3,17,252,9.035632979206574e-05,0.007614014773623955,0.23455320334036964
"GARCH(1,1)",3,18,252,9.240286118629105e-05,0.007794838064231746,0.24387830245750244
"GARCH(1,1)",3,19,252,9.436962293727989e-05,0.007967562555435619,0.2532510555097597
"GARCH(1,1)",3,20,252,9.574449285703479e-05,0.008136892561537023,0.2619057192139827
"GARCH(1,1)",3,21,252,9.729488711380655e-05,0.008303832428957563,0.27023515411923005
"GARCH(1,1)",3,22,252,9.911361083934013e-05,0.008472791129170916,0.2779344381946932
"GARCH(1,1)",4,1,252,3.554144950374511e-05,0.004362166186430332,0.08804755439247405
"GARCH(1,1)",4,2,252,3.743210588097702e-05,0.004483052372194828,0.09153292009871138
"GARCH(1,1)",4,3,252,3.9626601974764134e-05,0.004626894580661496,0.09564317988788663
"GARCH(1,1)",4,4,252,4.201946646627496e-05,0.004772298270365928,0.10024643174475
"GARCH(1,1)",4,5,252,4.4873473302574225e-05,0.004928236421724677,0.1062981494762974
"GARCH(1,1)",4,6,252,4.832112403149737e-05,0.005116972051146287,0.11373708410663683
"GARCH(1,1)",4,7,252,5.2260439059069705e-05,0.005352229531965601,0.12220746198671437
"GARCH(1,1)",4,8,252,5.575242237059031e-05,0.005574770991499236,0.1310489625806195
"GARCH(1,1)",4,9,252,5.947089345691365e-05,0.005803317359471648,0.14017502409646954
"GARCH(1,1)",4,10,252,6.297999615657258e-05,0.006019792577913556,0.14971337891180533
"GARCH(1,1)",4,11,252,6.674301224938368e-05,0.006254099950535823,0.15966479245772652
"GARCH(1,1)",4,12,252,7.076616293386541e-05,0.006504185790961716,0.1708933811515379
"GARCH(1,1)",4,13,252,7.489275949364748e-05,0.006751053505531885,0.18245484422681285
"GARCH(1,1)",4,14,252,7.88926088038035e-05,0.0069959975650437005,0.19395614993289748
"GARCH(1,1)",4,15,252,8.373668906275126e-05,0.007269559989167508,0.20717065185160316
"GARCH(1,1)",4,16,252,8.852919753842285e-05,0.007546670662240084,0.22136136910130097
"GARCH(1,1)",4,17,252,9.439074283202302e-05,0.00782250957970246,0.23598187524285613
"GARCH(1,1)",4,18,252,0.00010001127999756923,0.008103157678952233,0.2509170020739181
"GARCH(1,1)",4,19,252,0.00010572931701469412,0.008369588036579969,0.2657865949614399
"GARCH(1,1)",4,20,252,0.00011134090827049536,0.008646194907203298,0.27997486610040545
"GARCH(1,1)",4,21,252,0.00011693455590396483,0.008935685220488864,0.2943728905145982
"GARCH(1,1)",4,22,252,0.00012260406703369832,0.009234093825187943,0.30827777141033214
"GARCH(1,1)",5,1,252,0.0002303527079061161,0.010240772254975744,0.1248560205198847
"GARCH(1,1)",5,2,252,0.00023956953896352504,0.010370162715542067,0.1276725027949002
"GARCH(1,1)",5,3,252,0.0002508215128525109,0.01062687923000918,0.13324026375872042
"GARCH(1,1)",5,4,252,0.0002629991348113114,0.010879427706558567,0.14084197562287712
"GARCH(1,1)",5,5,252,0.0002766252501738876,0.01113444111292037,0.14957315626137146
"GARCH(1,1)",5,6,252,0.00028964142583277463,0.011382621301783755,0.15954336771497857
"GARCH(1,1)",5,7,252,0.00030318194830421973,0.01164780463943271,0.16959996198212016
"GARCH(1,1)",5,8,252,0.0003158362100869859,0.011924372252518951,0.179346510460726
"GARCH(1,1)",5,9,252,0.00032713346465649016,0.012185156283547008,0.18894799709241208
"GARCH(1,1)",5,10,252,0.0003380063101330641,0.0124576653840758,0.19804382061330922
"GARCH(1,1)",5,11,252,0.0003485848642518115,0.012729032028969946,0.20745752415013113
"GARCH(1,1)",5,12,252,0.000359759194488425,0.013026743605216882,0.21775892322124762
"GARCH(1,1)",5,13,252,0.0003702672360824047,0.013385464052179333,0.22919335750819328
"GARCH(1,1)",5,14,252,0.0003787531805079642,0.01375728227080026,0.24178331631932806
"GARCH(1,1)",5,15,252,0.0003867460379717956,0.014130836259347678,0.25486554358249286
"GARCH(1,1)",5,16,252,0.00039308418517660645,0.0144396636628225,0.2670982816233549
"GARCH(1,1)",5,17,252,0.00039662375123176964,0.014707878339869146,0.27817595759142955
"GARCH(1,1)",5,18,252,0.000396412183692394,0.014949990703385941,0.28808626356241046
"GARCH(1,1)",5,19,252,0.00039934015249043075,0.015210292318293617,0.2979263907384641
"GARCH(1,1)",5,20,252,0.00040563553278892176,0.015479855004281465,0.30808577100975687
"GARCH(1,1)",5,21,252,0.0004132220162481177,0.015747228125437218,0.31867449054124647
"GARCH(1,1)",5,22,252,0.0004221600403837074,0.01612855608859568,0.3307179411659254
"GARCH(1,1)",6,1,252,7.973604660336853e-05,0.005917924263211099,0.09300769260867592
"GARCH(1,1)",6,2,252,8.31372674169482e-05,0.00606208685186248,0.09882218342578833
"GARCH(1,1)",6,3,252,8.740403925183634e-05,0.006245943284289475,0.10684743346239883
"GARCH(1,1)",6,4,252,9.268918306029146e-05,0.006450841946262691,0.1164895200617632
"GARCH(1,1)",6,5,252,9.821609991667603e-05,0.006694561446596166,0.12596984268477043
"GARCH(1,1)",6,6,252,0.00010395142138809038,0.006954609785371724,0.1352464663281145
"GARCH(1,1)",6,7,252,0.00011033879520313752,0.007228341841844156,0.14462489631588332
"GARCH(1,1)",6,8,252,0.00011756894736410838,0.007477593264714796,0.1542946388671622
"GARCH(1,1)",6,9,252,0.00012610274772740596,0.0077748761506486325,0.16485681345291547
"GARCH(1,1)",6,10,252,0.0001347909743966882,0.008124585744483624,0.17624643993233471
"GARCH(1,1)",6,11,252,0.00014262887810287143,0.00846291242631934,0.1885313272110607
"GARCH(1,1)",6,12,252,0.00015136409708205772,0.008800996195620338,0.20193161213019992
"GARCH(1,1)",6,13,252,0.00016142011128061104,0.009137532562200871,0.2162366901298989
"GARCH(1,1)",6,14,252,0.0001714997953890838,0.009426652966746262,0.23086956965115868
"GARCH(1,1)",6,15,252,0.00018141644773674937,0.009731083346753412,0.24621955614955968
"GARCH(1,1)",6,16,252,0.0001896751787228771,0.010030004886588792,0.2618670205817969
"GARCH(1,1)",6,17,252,0.00019771018237495677,0.010397987296812626,0.27804877233211817
"GARCH(1,1)",6,18,252,0.0002070774869086729,0.010793669556899775,0.2952103457015389
"GARCH(1,1)",6,19,252,0.00021656459639089883,0.011222142271171727,0.3127695163694933
"GARCH(1,1)",6,20,252,0.000225092995194152,0.011691135611930248,0.3305304180358061
"GARCH(1,1)",6,21,252,0.0002331995897380843,0.01219056266457797,0.3482267461386642
"GARCH(1,1)",6,22,252,0.0002425096768880817,0.012718087039309852,0.3662803836341962
"GARCH(1,1)",7,1,251,2.9148339103121477e-06,0.0012948513006605913,0.047762071579965135
"GARCH(1,1)",7,2,251,3.3796636812636427e-06,0.001365268457661238,0.051428542195670224
"GARCH(1,1)",7,3,251,3.9760802535110906e-06,0.0014821259085268591,0.05687141314698115
"GARCH(1,1)",7,4,251,4.773150934324599e-06,0.001640925720620915,0.06540984887957897
"GARCH(1,1)",7,5,251,5.807703891490933e-06,0.0018295386510503015,0.07726304124692032
"GARCH(1,1)",7,6,251,7.172546780563902e-06,0.0020754537035874996,0.09237832356796126
"GARCH(1,1)",7,7,251,8.901878164413317e-06,0.0023646626441869837,0.11016264262345742
"GARCH(1,1)",7,8,251,1.0941378762708552e-05,0.0026882755422620885,0.12977378231878645
"GARCH(1,1)",7,9,251,1.33367050726899e-05,0.0030298931967989375,0.15116279713352027
"GARCH(1,1)",7,10,251,1.6173410965599546e-05,0.0033920837230413804,0.17413094697717882
"GARCH(1,1)",7,11,251,1.9456357542781638e-05,0.0037835660059688195,0.198544611805746
"GARCH(1,1)",7,12,251,2.3202550462309126e-05,0.0042004654953652345,0.2245505745538586
"GARCH(1,1)",7,13,251,2.7383887200482373e-05,0.004640962332842797,0.25108219580310936
"GARCH(1,1)",7,14,251,3.207658121988526e-05,0.005108356226727288,0.27872787601912125
"GARCH(1,1)",7,15,251,3.733445520113355e-05,0.005597676189142439,0.30741157569074207
"GARCH(1,1)",7,16,251,4.317903487185626e-05,0.006104005730181645,0.33697458083688786
"GARCH(1,1)",7,17,251,4.9724178558398475e-05,0.006626732929287564,0.36722990146667267
"GARCH(1,1)",7,18,251,5.7129879893288264e-05,0.007166169781420133,0.3981277685557518
"GARCH(1,1)",7,19,251,6.529069434645065e-05,0.007723992780419395,0.429589994651452
"GARCH(1,1)",7,20,251,7.436747801497651e-05,0.008297516788070157,0.46115774736727705
"GARCH(1,1)",7,21,251,8.43311694173715e-05,0.00888606043594159,0.49284920227962803
"GARCH(1,1)",7,22,251,9.510880726237194e-05,0.00948809271845617,0.5243923452246401
"GARCH(1,1)",8,1,251,6.430075763886509e-05,0.0053482825818779185,0.03975638077294639
"GARCH(1,1)",8,2,251,6.826657801755907e-05,0.005451917107830479,0.04285693478401772
"GARCH(1,1)",8,3,251,7.528687877299624e-05,0.005675622298963825,0.04980699228917252
"GARCH(1,1)",8,4,251,8.370615183412614e-05,0.005929652317898149,0.05618053217108899
"GARCH(1,1)",8,5,251,9.58074415674092e-05,0.006373028477253467,0.0640353367352663
"GARCH(1,1)",8,6,251,0.00011019347497866742,0.006858331296317045,0.07463798281649578
"GARCH(1,1)",8,7,251,0.00012518386255681328,0.007364419955427802,0.08732088240192641
"GARCH(1,1)",8,8,251,0.00014082753340524014,0.007863626269490368,0.09947026271120463
"GARCH(1,1)",8,9,251,0.00016295475932201568,0.00848667176802901,0.1122675832524556
"GARCH(1,1)",8,10,251,0.00018436881219918242,0.009098346517067878,0.1265056805121134
"GARCH(1,1)",8,11,251,0.00020941628950905136,0.009738526304621842,0.14180801556027248
"GARCH(1,1)",8,12,251,0.00023215694030720492,0.010359961648771033,0.15582476592475478
"GARCH(1,1)",8,13,251,0.00025832417797847797,0.01113330846636596,0.17144454758232974
"GARCH(1,1)",8,14,251,0.0002838465172071156,0.011894339002844898,0.18947177372586485
"GARCH(1,1)",8,15,251,0.00031025517961695434,0.012536996600912807,0.20583289670626856
