,"GARCH(1,1)",HAR,LSTM,RW,TSMixerX,VIX,VIX3M,XGBoost
"GARCH(1,1)",,0.3448592379464723,4.2850622872871547e-14,2.8663481722855816e-23,0.8993977475418626,1.606264145091572e-13,2.4547704139438525e-81,2.8688138543722905e-55
HAR,0.34485923794645107,,0.4018618330957782,0.2615691970248658,0.37868420240126893,0.36292991896445753,0.3169850742627114,0.38704348984414444
LSTM,4.285062287286998e-14,0.401861833095808,,6.286043772053353e-34,0.8971566022816345,2.6803602778888344e-49,2.522499809776508e-53,1.3141778539791353e-38
RW,2.866348182003919e-23,0.26156919700280773,6.286043791591894e-34,,0.7848005778492931,2.6158529046453324e-222,1.0532997488036014e-136,0.018960445672262082
TSMixerX,0.8993977475418615,0.3786842024012488,0.8971566022816361,0.7848005778568446,,0.8981973293176205,0.8961620078418447,0.8992977782102936
VIX,1.6062641450920198e-13,0.3629299189644836,2.6803602778592473e-49,2.6158525054705284e-222,0.8981973293176124,,2.0234329353985907e-14,5.759917124858244e-08
VIX3M,2.454770413935015e-81,0.31698507426268774,2.522499809761691e-53,1.0532997804788336e-136,0.8961620078418405,2.0234329353938105e-14,,4.215531031232768e-10
XGBoost,2.868813854370483e-55,0.3870434898441731,1.314177853979173e-38,0.0189604456721561,0.8992977782102932,5.759917124865386e-08,4.215531031232643e-10,
