,"GARCH(1,1)",HAR,LSTM,RW,TSMixerX,VIX,VIX3M,XGBoost
"GARCH(1,1)",,0.3084649932201454,1.1322837389622694e-28,0.8828881905992428,0.02475195592411668,0.09875958900803944,0.06061332151905519,0.2562312901835061
HAR,0.3084649932201454,,0.3084651356647029,0.30846499382449455,0.24107047933100834,0.30846498960066027,0.30846499870060085,0.3084649976790679
LSTM,1.1322837389622694e-28,0.3084651356647029,,1.7332332471674394e-24,0.024751968891217693,2.0774663289509215e-32,5.070709210566001e-31,4.347239610377657e-16
RW,0.8828881905992428,0.30846499382449455,1.7332332471674394e-24,,0.024751955776345348,0.16865602754069042,0.25371885461527555,0.2817131698221581
TSMixerX,0.02475195592411668,0.24107047933100834,0.024751968891217693,0.024751955776345348,,0.02475195543281206,0.02475195635907825,0.02475195681215497
VIX,0.09875958900803944,0.30846498960066027,2.0774663289509215e-32,0.16865602754069042,0.02475195543281206,,4.700049586065772e-17,0.07912039409869193
VIX3M,0.06061332151905519,0.30846499870060085,5.070709210566001e-31,0.25371885461527555,0.02475195635907825,4.700049586065772e-17,,0.6543283614779063
XGBoost,0.2562312901835061,0.3084649976790679,4.347239610377657e-16,0.2817131698221581,0.02475195681215497,0.07912039409869193,0.6543283614779063,
