model,n,QLIKE,MSE,MAE,R2_oos,mean_y_hat,MCS_arch_included,MCS_arch_pvalue,MCS_arch_included_set,MCS_arch_excluded_set,DM_p_vs_RW,GW_p_vs_RW,CW_p_vs_RW
"GARCH(1,1)",171,0.279591991952265,0.0012557580517125993,0.018609090456537122,0.5044901183645616,0.02655071949498412,True,1.0,"GARCH(1,1), VIX","HAR, LSTM, RW, TSMixerX, VIX3M, XGBoost",0.8828881905992428,6.381202283285926e-32,0.06599079236950799
HAR,171,5642003.159648256,0.00198805981214225,0.021037270864873683,0.2155309847662954,0.032467503772695916,False,0.003,"GARCH(1,1), VIX","HAR, LSTM, RW, TSMixerX, VIX3M, XGBoost",0.30846499382449455,0.2615691970292596,0.07544021450562506
LSTM,171,1.8807766687036043,0.11236944847080757,0.29902746915322276,-43.33988859181344,0.3266353096094048,False,0.0,"GARCH(1,1), VIX","HAR, LSTM, RW, TSMixerX, VIX3M, XGBoost",1.7332329184585858e-24,2.5390867530493486e-60,0.03516267380011631
RW,171,0.2865827956240873,0.002534274488266408,0.0198919811123524,0.0,0.030994996187597747,False,0.004,"GARCH(1,1), VIX","HAR, LSTM, RW, TSMixerX, VIX3M, XGBoost",,,
TSMixerX,171,26110091.481456343,0.00253186209553677,0.024330927496509464,0.0009519066465796255,0.022640165224592973,False,0.003,"GARCH(1,1), VIX","HAR, LSTM, RW, TSMixerX, VIX3M, XGBoost",0.005445706696796297,0.007179601537164421,0.06843699906060724
VIX,171,0.2338115797888508,0.0015567124090093746,0.018984564889332586,0.3857364637426245,0.036725392343531005,True,0.054,"GARCH(1,1), VIX","HAR, LSTM, RW, TSMixerX, VIX3M, XGBoost",0.16865602754069042,0.0,0.047054875572294486
VIX3M,171,0.34022995131664885,0.001963978462318333,0.02512297044058058,0.2250332505766537,0.043380844470542745,False,0.0,"GARCH(1,1), VIX","HAR, LSTM, RW, TSMixerX, VIX3M, XGBoost",0.25371885461527555,1.0532996794086224e-136,0.05423609383048877
XGBoost,171,0.3770533498687338,0.0022576789823100497,0.022370194071943874,0.1091418894192342,0.03311045182658488,False,0.004,"GARCH(1,1), VIX","HAR, LSTM, RW, TSMixerX, VIX3M, XGBoost",0.2817131698221581,6.728659560576348e-14,0.0708236795615951
