feature,f_score,pvalue,abs_corr_target
rv_diaria_mean,221.8684146813598,6.692187454188004e-26,0.8448107682328686
ret_spx_log_std,221.81872614418037,6.740170658349599e-26,0.8447836800439552
ret_indu_log_std,216.21478610607826,1.520020441342443e-25,0.8416662458812728
ret_ukx_log_std,206.40224667664606,6.550608846820364e-25,0.8358922778053525
rv_diaria_std,185.43471409198833,1.7628082518152274e-23,0.8220079099075462
vix_mean,161.9143109684681,9.717019149478062e-22,0.8033039490231035
true_range_mean,152.845917248855,5.050230477850452e-21,0.7949824497777914
bollinger_width_20_mean,151.9523670786566,5.960755503021226e-21,0.7941236615285346
rogers_satchell_std,138.0829405776617,8.485302899850387e-20,0.7797901747465188
spx_close_std,136.39044392506008,1.1864923555277311e-19,0.7779008069393958
roc_10_std,102.51543204120416,1.7679447059958228e-16,0.7316320733998991
atr_14_mean,99.36687672438482,3.7229179173369303e-16,0.7263041927963514
indu_close_std,92.18508014739463,2.1363334055050527e-15,0.7132948732677232
vix_std,84.48971417851322,1.5050179019986995e-14,0.6978547753881943
ukx_close_std,83.9319005369917,1.7397528160738725e-14,0.6966681746187889
ret_ndx_log_std,77.95074334251512,8.487720798757125e-14,0.6833071292917012
stress_index,75.62441468593839,1.597177287484447e-13,0.6777724180428684
true_range_std,54.96134560791366,6.817324067540807e-11,0.6178822648519822
vix3m_std,54.799084327930395,7.174390825096462e-11,0.6173175025691428
macd_mean,53.90960358841935,9.501403660402912e-11,0.6141894636557322
baa_mean,49.92113155914735,3.426075065276122e-10,0.5994570254956904
rsi_14_mean,46.06548786825435,1.2287222906491607e-09,0.5840037579179912
vix_term_spread_mean,45.75075798741776,1.3660432073210267e-09,0.5826845978021644
macd_std,44.80209125915611,1.882962921535248e-09,0.5786523117946586
aaa_mean,33.77430683566938,9.48563829755884e-08,0.5244927348933996
dxy_mean,33.562561071810606,1.0264728561221718e-07,0.5232974674622982
atr_14_std,32.858093858677954,1.336185140681268e-07,0.5192709087457631
ret_nky_log_std,30.715288431164716,3.011135986860688e-07,0.5065268726686871
roc_10_mean,27.465722020980678,1.0652727584526058e-06,0.48561987007999213
cpi,27.12152142439832,1.2206426342913729e-06,0.48328205062844903
bollinger_width_20_std,25.345037991941663,2.4828952786099438e-06,0.470801471662221
epu_mean,24.717621419227203,3.2002272718145626e-06,0.4662184482179661
ndx_close_std,23.544816534841228,5.165513404274559e-06,0.45738814773717673
ret_spx_log_mean,20.563211683582548,1.792299409572428e-05,0.43322458653975016
ret_ukx_log_mean,18.73217334127485,3.927014819430817e-05,0.4169859032882511
wti_close_mean,18.264252044596986,4.8113160794970246e-05,0.4126420111567039
gold_close_mean,18.235153499034443,4.8726446177458384e-05,0.41236910753412026
industrial_production,17.509146378987722,6.69302688877393e-05,0.4054516150832212
epu_std,17.332359394069947,7.233894608011567e-05,0.4037347372566228
ret_indu_log_mean,17.02657089955489,8.277868049544045e-05,0.4007340427262269
vix_term_spread_std,14.428984845944523,0.0002656642209336493,0.373505290372051
ret_ndx_log_mean,14.423246069627945,0.0002663610489223039,0.37344136705701736
ret_nky_log_mean,12.811561450371432,0.0005604152713563935,0.35473372790881785
indu_close_mean,12.27607821571265,0.0007202286906884579,0.34815800543748626
dxy_std,12.174062593107049,0.0007556580551848076,0.3468831230482465
obv_mean,11.031953715611158,0.0013001934956053285,0.3320907966587036
baa_aaa_spread_mean,10.426041154614932,0.0017408597682905978,0.3238244553232966
adx_14_mean,8.789900055295872,0.003886988238997843,0.29980920815312045
ust_10y_std,8.559944994186246,0.004359900079784743,0.2962099982493804
gold_close_std,5.376939020629375,0.02269539542137754,0.2386902129022878
spx_close_mean,5.1428903555934395,0.02576221434939297,0.23372752961744453
yield_slope_std,4.8476883952520184,0.0302690663951078,0.2272770366042859
wti_close_std,4.584992805262104,0.03498605366717937,0.2213432200175523
ust_10y_mean,4.094697467513835,0.04601750065093073,0.20972414737979703
ret_dxy_log_std,3.4222739555316735,0.06764080111546994,0.19242835234273106
fed_funds_std,3.3838349907012324,0.06917261146088666,0.191384426560481
volume_medio_22d_mean,2.862430032488539,0.09416903163057185,0.17652185194674577
ust_3m_std,2.710282743341692,0.10323027098923986,0.17190886927099364
nky_close_std,2.539639372357366,0.114565576141734,0.16656410943069602
rsi_14_std,2.501424925714713,0.11729080244463747,0.16534071369041337
baa_std,2.0098537847661815,0.15977202430061757,0.14860657457505533
baa_aaa_spread_std,1.6549038973920054,0.20162915741662413,0.13511100936578482
spy_volume_mean,1.4942089007938937,0.22479195050862855,0.1284976737932348
nky_close_mean,0.9423041830376745,0.33431674987106785,0.10235605873747511
ndx_close_mean,0.9147758720186352,0.3414412289967204,0.10086530766483062
ret_gold_log_mean,0.8108301806580707,0.3703050498107108,0.09501684316845747
ret_wti_log_mean,0.7371467465109632,0.3928828518609464,0.09063393755822859
yield_slope_mean,0.6563502383475788,0.42001235147026067,0.08556128451051562
ukx_close_mean,0.5761264061482134,0.44984026965430296,0.08019785479325597
ret_wti_log_std,0.4839531691677304,0.48844970332718485,0.07354092500468991
ret_gold_log_std,0.3861979226784132,0.5358932851052924,0.06573092354347161
adx_14_std,0.29963669688036254,0.5854803538423891,0.05792588189186698
spy_volume_std,0.23513117274314288,0.6289363421662899,0.05133188017188569
ret_dxy_log_mean,0.1863389055321677,0.6670252653647505,0.0457090928078176
fed_funds_mean,0.10335864309182898,0.7485895806258772,0.034058566300099964
unemployment,0.10084985085895096,0.7515560086775074,0.033643154263389645
volume_medio_22d_std,0.061455128996029354,0.8047817141286354,0.026268433458575817
aaa_std,0.0007805433994607589,0.977773987342668,0.0029614310123443352
