model,unique_id,date,y,y_hat,window_id,artifact_path,vix_mean,vrp_variance,vol_error
TSMixerX,sp500,2011-01-07,0.007580945087048064,1e-10,0,results/models/tsmixerx/tsmixerx_window_00.pt,17.195909090909087,0.029569928846280975,-8.70586228617868
TSMixerX,sp500,2011-02-09,0.014564308516425296,1e-10,0,results/models/tsmixerx/tsmixerx_window_00.pt,17.057727272727274,0.029096605871074384,-12.067267695251584
TSMixerX,sp500,2011-03-14,0.022592898654163956,0.021426938474178314,0,results/models/tsmixerx/tsmixerx_window_00.pt,19.037272727272725,0.014814836815077878,-0.39299099682288674
TSMixerX,sp500,2011-04-13,0.009177614053183559,0.02188650518655777,0,results/models/tsmixerx/tsmixerx_window_00.pt,19.459545454545452,0.015980885743194284,5.214101951604019
TSMixerX,sp500,2011-05-16,0.015316999190042091,0.03613975644111633,0,results/models/tsmixerx/tsmixerx_window_00.pt,16.271818181818187,-0.00966254974690144,6.634272857903219
TSMixerX,sp500,2011-06-16,0.023188270967154544,0.033545661717653275,0,results/models/tsmixerx/tsmixerx_window_00.pt,17.98409090909091,-0.0012029091350086382,3.087779319428552
TSMixerX,sp500,2011-07-19,0.07281977695377544,0.0346909835934639,0,results/models/tsmixerx/tsmixerx_window_00.pt,18.725454545454546,0.0003732811999245314,-8.359624068313046
TSMixerX,sp500,2011-08-18,0.17092357509514763,0.06228595972061157,0,results/models/tsmixerx/tsmixerx_window_00.pt,29.16318181818182,0.0227631576554215,-16.385749250682036
TSMixerX,sp500,2011-09-20,0.08902219955120236,0.07697208225727081,0,results/models/tsmixerx/tsmixerx_window_00.pt,35.33636363636364,0.047893777246861474,-2.092745234690163
TSMixerX,sp500,2011-10-20,0.08150267111463526,0.0276420246809721,0,results/models/tsmixerx/tsmixerx_window_00.pt,36.651363636363634,0.10669022095952374,-11.922781811104196
TSMixerX,sp500,2011-11-21,0.07471075899713124,0.002967994660139084,0,results/models/tsmixerx/tsmixerx_window_00.pt,31.018181818181816,0.09324476567043942,-21.885338434226803
TSMixerX,sp500,2011-12-22,0.033336657313281386,0.027855953201651573,0,results/models/tsmixerx/tsmixerx_window_00.pt,27.489999999999995,0.04771405679834838,-1.5682260539763044
TSMixerX,sp500,2012-01-26,0.007322846087034925,1e-10,1,results/models/tsmixerx/tsmixerx_window_01.pt,20.881818181818186,0.043605032957851265,-8.556362962405489
TSMixerX,sp500,2012-02-28,0.009723071097464972,1e-10,1,results/models/tsmixerx/tsmixerx_window_01.pt,18.51590909090909,0.03428388884628099,-9.85956342075085
TSMixerX,sp500,2012-03-29,0.01654927982982021,1e-10,1,results/models/tsmixerx/tsmixerx_window_01.pt,16.300454545454546,0.026570481738842976,-12.863400425134552
TSMixerX,sp500,2012-05-01,0.016719631308467462,1e-10,1,results/models/tsmixerx/tsmixerx_window_01.pt,17.66181818181818,0.031193982048760328,-12.92944133371613
TSMixerX,sp500,2012-06-01,0.030103797269869656,0.03987635672092438,1,results/models/tsmixerx/tsmixerx_window_01.pt,21.45909090909091,0.006172901543538438,2.618619362903682
TSMixerX,sp500,2012-07-03,0.025593389315241036,0.01704617217183113,1,results/models/tsmixerx/tsmixerx_window_01.pt,20.479545454545455,0.02489500603064821,-2.9418350038670327
TSMixerX,sp500,2012-08-03,0.01512480719367349,1e-10,1,results/models/tsmixerx/tsmixerx_window_01.pt,17.617272727272727,0.03103682973471074,-12.297295489080383
TSMixerX,sp500,2012-09-05,0.010429408061812199,0.01669827476143837,1,results/models/tsmixerx/tsmixerx_window_01.pt,15.655,0.007809627738561628,2.709733113890242
TSMixerX,sp500,2012-10-05,0.011109916598094155,0.023254424333572388,1,results/models/tsmixerx/tsmixerx_window_01.pt,15.04681818181818,-0.0006137505939029682,4.709042497704412
TSMixerX,sp500,2012-11-08,0.02157971653994625,0.024445146322250366,1,results/models/tsmixerx/tsmixerx_window_01.pt,16.968636363636364,0.004348315681881865,0.9449073963759991
TSMixerX,sp500,2012-12-11,0.013898424856462756,0.01243574172258377,1,results/models/tsmixerx/tsmixerx_window_01.pt,16.23681818181818,0.013927684744358373,-0.6375924090166531
TSMixerX,sp500,2013-01-14,0.012151376598422265,0.022209368646144867,2,results/models/tsmixerx/tsmixerx_window_02.pt,16.203636363636363,0.004046414494351003,3.8794797433614345
TSMixerX,sp500,2013-02-14,0.011964545688571675,0.027605518698692322,2,results/models/tsmixerx/tsmixerx_window_02.pt,13.245000000000003,-0.01006251619869231,5.676652001619529
TSMixerX,sp500,2013-03-19,0.0105834203752672,1e-10,2,results/models/tsmixerx/tsmixerx_window_02.pt,13.771818181818183,0.018966297503305786,-10.28657521249162
TSMixerX,sp500,2013-04-19,0.018425166126648917,1e-10,2,results/models/tsmixerx/tsmixerx_window_02.pt,13.815000000000003,0.019085422400000007,-13.572933153897921
TSMixerX,sp500,2013-05-21,0.012319343991740212,1e-10,2,results/models/tsmixerx/tsmixerx_window_02.pt,13.217272727272727,0.017469629734710744,-11.098254025266838
TSMixerX,sp500,2013-06-21,0.021286312772782787,0.04461665451526642,2,results/models/tsmixerx/tsmixerx_window_02.pt,16.269999999999996,-0.018145364515266434,6.532825185678598
TSMixerX,sp500,2013-07-24,0.005175675808485921,1e-10,2,results/models/tsmixerx/tsmixerx_window_02.pt,15.046818181818184,0.022640673639669425,-7.193216989002988
TSMixerX,sp500,2013-08-23,0.009263554058765323,0.013571212068200111,2,results/models/tsmixerx/tsmixerx_window_02.pt,13.475909090909092,0.004588800514444519,2.02481865613203
TSMixerX,sp500,2013-09-25,0.010691199232599384,0.032044075429439545,2,results/models/tsmixerx/tsmixerx_window_02.pt,14.990454545454543,-0.009572702681505667,7.5610334916826965
TSMixerX,sp500,2013-10-25,0.00991641419609151,0.05196423828601837,2,results/models/tsmixerx/tsmixerx_window_02.pt,15.744545454545454,-0.027175167128993576,12.83754648004244
