,"GARCH(1,1)",HAR,LSTM,RW,TSMixerX,VIX,VIX3M,XGBoost
"GARCH(1,1)",,0.062349637156049804,0.0005817426972012793,0.06935813619660704,0.0751923193025393,0.04688427607656268,0.01656704267517266,0.04324925276109595
HAR,0.23356999370579673,,0.002594487397271213,0.07544021450562506,0.058121325191394305,0.5922987458362274,0.017762106742000773,0.04507475810424102
LSTM,0.0119519995056449,0.5696344249972892,,0.05428718336946662,0.06623618129494759,0.9199003046366719,0.9677066575712432,0.759790893298133
RW,0.015483009142264135,0.11664179015758425,0.001192270851981013,,0.05342750051317358,0.7371621343980154,0.013799184109624649,0.04037146632033903
TSMixerX,0.42849067628226545,0.020874068804348538,0.0023989097319673395,0.04028966187635514,,0.03891369438919095,0.0043322581585892314,0.448013592054511
VIX,0.01062820686453727,0.01671976277907682,0.001571794553027656,0.04705487557229451,0.049010819910068094,,0.001070174625807191,0.03292776787277288
VIX3M,0.02221642583857634,0.02033042261582374,0.0023908114903281596,0.05423609383048869,0.042915761579026344,0.9939447190137581,,0.038803078295310406
XGBoost,0.2751862889922937,0.010931896361009722,0.0017804249618030021,0.04920551126288516,0.02935447936799051,0.03859512108309959,0.0036979144846140412,
