method,origin_date,horizon,lag,feature,attribution,abs_attribution,convergence_delta,window_id
IntegratedGradients,2025-01-02,1,21.0,rv_yz_22,0.00011462335532996804,0.00011462335532996804,0.0014603408053517342,15
IntegratedGradients,2025-01-02,1,21.0,parkinson,0.0001444137014914304,0.0001444137014914304,0.0014603408053517342,15
IntegratedGradients,2025-01-02,1,21.0,vix_term_spread,5.299671465763822e-05,5.299671465763822e-05,0.0014603408053517342,15
IntegratedGradients,2025-01-02,1,21.0,vix,0.00015518754662480205,0.00015518754662480205,0.0014603408053517342,15
IntegratedGradients,2025-01-02,1,21.0,true_range,4.1267638152930886e-05,4.1267638152930886e-05,0.0014603408053517342,15
IntegratedGradients,2025-01-02,1,21.0,garman_klass,-7.748135249130428e-05,7.748135249130428e-05,0.0014603408053517342,15
IntegratedGradients,2025-01-02,1,21.0,bollinger_width_20,-4.8745223466539755e-05,4.8745223466539755e-05,0.0014603408053517342,15
IntegratedGradients,2025-01-02,1,21.0,ret_spx_abs,2.2386357159120962e-05,2.2386357159120962e-05,0.0014603408053517342,15
IntegratedGradients,2025-01-02,1,21.0,rv_diaria,-4.4316333514871076e-05,4.4316333514871076e-05,0.0014603408053517342,15
IntegratedGradients,2025-01-02,1,21.0,rogers_satchell,-0.00011938311217818409,0.00011938311217818409,0.0014603408053517342,15
IntegratedGradients,2025-01-02,1,21.0,atr_14,-0.0009466063347645104,0.0009466063347645104,0.0014603408053517342,15
IntegratedGradients,2025-01-02,1,21.0,spy_volume,-0.00011917392839677632,0.00011917392839677632,0.0014603408053517342,15
IntegratedGradients,2025-01-02,1,21.0,roc_10,0.0002569350181147456,0.0002569350181147456,0.0014603408053517342,15
IntegratedGradients,2025-01-02,1,21.0,macd,-0.0010411161929368973,0.0010411161929368973,0.0014603408053517342,15
IntegratedGradients,2025-01-02,1,21.0,rsi_14,0.00015162258932832628,0.00015162258932832628,0.0014603408053517342,15
IntegratedGradients,2025-01-02,1,21.0,volume_medio_22d,0.00029116246150806546,0.00029116246150806546,0.0014603408053517342,15
IntegratedGradients,2025-01-02,1,21.0,adx_14,-5.726659583160654e-05,5.726659583160654e-05,0.0014603408053517342,15
IntegratedGradients,2025-01-02,1,21.0,cpi,0.016642646864056587,0.016642646864056587,0.0014603408053517342,15
IntegratedGradients,2025-01-02,1,21.0,gold_close,0.0037223065737634897,0.0037223065737634897,0.0014603408053517342,15
IntegratedGradients,2025-01-02,1,21.0,yield_slope,-0.0012527098879218102,0.0012527098879218102,0.0014603408053517342,15
IntegratedGradients,2025-01-02,1,21.0,stress_index,0.0003189296112395823,0.0003189296112395823,0.0014603408053517342,15
IntegratedGradients,2025-01-02,1,20.0,rv_yz_22,6.165129889268428e-05,6.165129889268428e-05,0.0014603408053517342,15
IntegratedGradients,2025-01-02,1,20.0,parkinson,-9.222510561812669e-05,9.222510561812669e-05,0.0014603408053517342,15
IntegratedGradients,2025-01-02,1,20.0,vix_term_spread,3.107545853708871e-05,3.107545853708871e-05,0.0014603408053517342,15
IntegratedGradients,2025-01-02,1,20.0,vix,-9.391686944582034e-06,9.391686944582034e-06,0.0014603408053517342,15
IntegratedGradients,2025-01-02,1,20.0,true_range,3.340948387631215e-05,3.340948387631215e-05,0.0014603408053517342,15
IntegratedGradients,2025-01-02,1,20.0,garman_klass,0.00014611032383982092,0.00014611032383982092,0.0014603408053517342,15
IntegratedGradients,2025-01-02,1,20.0,bollinger_width_20,-0.0002142577723134309,0.0002142577723134309,0.0014603408053517342,15
IntegratedGradients,2025-01-02,1,20.0,ret_spx_abs,7.374167034868151e-05,7.374167034868151e-05,0.0014603408053517342,15
IntegratedGradients,2025-01-02,1,20.0,rv_diaria,-3.056054538319586e-07,3.056054538319586e-07,0.0014603408053517342,15
IntegratedGradients,2025-01-02,1,20.0,rogers_satchell,6.563543138327077e-05,6.563543138327077e-05,0.0014603408053517342,15
IntegratedGradients,2025-01-02,1,20.0,atr_14,-0.0003769058675970882,0.0003769058675970882,0.0014603408053517342,15
IntegratedGradients,2025-01-02,1,20.0,spy_volume,-0.00010837428999366239,0.00010837428999366239,0.0014603408053517342,15
IntegratedGradients,2025-01-02,1,20.0,roc_10,-0.0002006248541874811,0.0002006248541874811,0.0014603408053517342,15
IntegratedGradients,2025-01-02,1,20.0,macd,0.0005411173333413899,0.0005411173333413899,0.0014603408053517342,15
IntegratedGradients,2025-01-02,1,20.0,rsi_14,-0.00011008264846168458,0.00011008264846168458,0.0014603408053517342,15
IntegratedGradients,2025-01-02,1,20.0,volume_medio_22d,-0.0024634585715830326,0.0024634585715830326,0.0014603408053517342,15
IntegratedGradients,2025-01-02,1,20.0,adx_14,-1.607287572369387e-06,1.607287572369387e-06,0.0014603408053517342,15
IntegratedGradients,2025-01-02,1,20.0,cpi,0.0029459630604833364,0.0029459630604833364,0.0014603408053517342,15
IntegratedGradients,2025-01-02,1,20.0,gold_close,0.000883912609424442,0.000883912609424442,0.0014603408053517342,15
IntegratedGradients,2025-01-02,1,20.0,yield_slope,4.26807810072205e-06,4.26807810072205e-06,0.0014603408053517342,15
IntegratedGradients,2025-01-02,1,20.0,stress_index,0.0011726557277143002,0.0011726557277143002,0.0014603408053517342,15
IntegratedGradients,2025-01-02,1,19.0,rv_yz_22,8.576340769650415e-05,8.576340769650415e-05,0.0014603408053517342,15
IntegratedGradients,2025-01-02,1,19.0,parkinson,6.327314622467384e-05,6.327314622467384e-05,0.0014603408053517342,15
