model,variant,seed,window_id,date,y,y_hat
TSMixerX,seed_sensitivity,42,14,2025-10-21,0.02495279139541479,0.033403217792510986
TSMixerX,seed_sensitivity,42,14,2025-11-20,0.038043335684082455,0.03555180877447128
TSMixerX,seed_sensitivity,123,0,2011-01-07,0.007580945087047736,0.002249954268336296
TSMixerX,seed_sensitivity,123,0,2011-02-09,0.014564308516424969,0.008557295426726341
TSMixerX,seed_sensitivity,123,0,2011-03-14,0.022592898654163633,0.019622748717665672
TSMixerX,seed_sensitivity,123,0,2011-04-13,0.009177614053183241,0.018362516537308693
TSMixerX,seed_sensitivity,123,0,2011-05-16,0.015316999190041768,0.007532978430390358
TSMixerX,seed_sensitivity,123,0,2011-06-16,0.02318827096715421,0.01838098093867302
TSMixerX,seed_sensitivity,123,0,2011-07-19,0.07281977695377512,0.009596768766641617
TSMixerX,seed_sensitivity,123,0,2011-08-18,0.17092357509514733,0.12351883202791214
TSMixerX,seed_sensitivity,123,0,2011-09-20,0.08902219955120202,0.06059851497411728
TSMixerX,seed_sensitivity,123,0,2011-10-20,0.08150267111463494,0.060624875128269196
TSMixerX,seed_sensitivity,123,0,2011-11-21,0.07471075899713092,0.04599917680025101
TSMixerX,seed_sensitivity,123,0,2011-12-22,0.03333665731328105,0.032622966915369034
TSMixerX,seed_sensitivity,123,1,2012-01-26,0.007322846087034595,0.029686136171221733
TSMixerX,seed_sensitivity,123,1,2012-02-28,0.00972307109746464,0.035578493028879166
TSMixerX,seed_sensitivity,123,1,2012-03-29,0.016549279829819876,0.030889468267560005
TSMixerX,seed_sensitivity,123,1,2012-05-01,0.016719631308467126,0.029725532978773117
TSMixerX,seed_sensitivity,123,1,2012-06-01,0.030103797269869323,0.04716155678033829
TSMixerX,seed_sensitivity,123,1,2012-07-03,0.02559338931524071,0.032157719135284424
TSMixerX,seed_sensitivity,123,1,2012-08-03,0.015124807193673163,0.032698627561330795
TSMixerX,seed_sensitivity,123,1,2012-09-05,0.010429408061811866,0.0324559360742569
TSMixerX,seed_sensitivity,123,1,2012-10-05,0.011109916598093824,0.030485639348626137
TSMixerX,seed_sensitivity,123,1,2012-11-08,0.021579716539945924,0.03697407990694046
TSMixerX,seed_sensitivity,123,1,2012-12-11,0.013898424856462427,0.025652574375271797
TSMixerX,seed_sensitivity,123,2,2013-01-14,0.012151376598421937,0.014150485396385193
TSMixerX,seed_sensitivity,123,2,2013-02-14,0.011964545688571337,0.007810134440660477
TSMixerX,seed_sensitivity,123,2,2013-03-19,0.010583420375266871,0.011614695191383362
