variant,seed,n,QLIKE,MSE,MAE,mean_prediction
expanding_window,42,171,1030755.500644428,0.0013051189314730205,0.013699882879849943,0.02332694037333851
seed_sensitivity,42,171,229454.61916419098,0.0023611225472979606,0.017915090039106674,0.024996209541669968
seed_sensitivity,123,171,0.3768831025471319,0.0018341389941619966,0.016747865766485452,0.02456173201347565
seed_sensitivity,2024,171,1654890.6246727158,0.00205779236863617,0.01835841019980043,0.025805102266977832
vix3m_2007_plus,42,91,0.8888003735618536,0.0038311637541837765,0.025832748838868994,0.026919539388432934
