model,window_id,origin_date,target_date,horizon,y,y_hat,artifact_path,x_atr_14,x_stress_index,x_vix_term_spread,x_vix,x_true_range,x_parkinson,x_spy_volume,x_volume_medio_22d,x_bollinger_width_20,x_garman_klass,x_macd,x_baa,x_baa_aaa_spread,x_ret_spx_abs,x_rv_diaria,x_rogers_satchell,x_roc_10,x_cpi,x_spx_low,x_rsi_14,x_spx_close,x_close_variance_forward_22,x_close_volatility_forward_22,error,squared_error,qlike_loss
LSTM,4,2014-01-02,2014-01-03,1,0.006051715024226119,0.007337437507124734,/content/daily_h22_run/results/models/lstm/lstm_window_04.pt,12.42962915239632,-0.5668,1.03,14.23,20.62,3.51005755e-05,119636836,106089625.4,0.05419218874,2.66519744e-05,15.8680339794696,5.34,0.79,0.00890141028,7.923510498e-05,2.285851599e-05,0.02862436833,234.1,1827.74,60.88478578898517,1831.98,0.020923955554706993,0.14465115123878894,0.0012857224828986148,1.6530823030309787e-06,0.017420236088477425
LSTM,4,2014-01-02,2014-01-06,2,0.0059985534073862465,0.009355578866006808,/content/daily_h22_run/results/models/lstm/lstm_window_04.pt,12.42962915239632,-0.5668,1.03,14.23,20.62,3.51005755e-05,119636836,106089625.4,0.05419218874,2.66519744e-05,15.8680339794696,5.34,0.79,0.00890141028,7.923510498e-05,2.285851599e-05,0.02862436833,234.1,1827.74,60.88478578898517,1831.98,0.020923955554706993,0.14465115123878894,0.0033570254586205613,1.126961992982659e-05,0.08562843893275707
LSTM,4,2014-01-02,2014-01-07,3,0.0053442270484452895,0.006186730528122387,/content/daily_h22_run/results/models/lstm/lstm_window_04.pt,12.42962915239632,-0.5668,1.03,14.23,20.62,3.51005755e-05,119636836,106089625.4,0.05419218874,2.66519744e-05,15.8680339794696,5.34,0.79,0.00890141028,7.923510498e-05,2.285851599e-05,0.02862436833,234.1,1827.74,60.88478578898517,1831.98,0.020923955554706993,0.14465115123878894,0.0008425034796770972,7.098121132680169e-07,0.010210725483655425
LSTM,4,2014-01-02,2014-01-08,4,0.005385242030708767,0.006292809003125497,/content/daily_h22_run/results/models/lstm/lstm_window_04.pt,12.42962915239632,-0.5668,1.03,14.23,20.62,3.51005755e-05,119636836,106089625.4,0.05419218874,2.66519744e-05,15.8680339794696,5.34,0.79,0.00890141028,7.923510498e-05,2.285851599e-05,0.02862436833,234.1,1827.74,60.88478578898517,1831.98,0.020923955554706993,0.14465115123878894,0.0009075669724167299,8.236778094216693e-07,0.011522428826407971
LSTM,4,2014-01-02,2014-01-09,5,0.005445906857398428,0.009131342149786515,/content/daily_h22_run/results/models/lstm/lstm_window_04.pt,12.42962915239632,-0.5668,1.03,14.23,20.62,3.51005755e-05,119636836,106089625.4,0.05419218874,2.66519744e-05,15.8680339794696,5.34,0.79,0.00890141028,7.923510498e-05,2.285851599e-05,0.02862436833,234.1,1827.74,60.88478578898517,1831.98,0.020923955554706993,0.14465115123878894,0.0036854352923880876,1.358243329437967e-05,0.11324559338216389
LSTM,4,2014-01-02,2014-01-10,6,0.005628588511780617,0.0068764574277452705,/content/daily_h22_run/results/models/lstm/lstm_window_04.pt,12.42962915239632,-0.5668,1.03,14.23,20.62,3.51005755e-05,119636836,106089625.4,0.05419218874,2.66519744e-05,15.8680339794696,5.34,0.79,0.00890141028,7.923510498e-05,2.285851599e-05,0.02862436833,234.1,1827.74,60.88478578898517,1831.98,0.020923955554706993,0.14465115123878894,0.0012478689159646532,1.5571768314307986e-06,0.018775171962753134
LSTM,4,2014-01-02,2014-01-13,7,0.006274064488369086,0.005976147240111207,/content/daily_h22_run/results/models/lstm/lstm_window_04.pt,12.42962915239632,-0.5668,1.03,14.23,20.62,3.51005755e-05,119636836,106089625.4,0.05419218874,2.66519744e-05,15.8680339794696,5.34,0.79,0.00890141028,7.923510498e-05,2.285851599e-05,0.02862436833,234.1,1827.74,60.88478578898517,1831.98,0.020923955554706993,0.14465115123878894,-0.00029791724825787864,8.875468680954649e-08,0.0012027533013543312
LSTM,4,2014-01-02,2014-01-14,8,0.0060364649450577465,0.007558345731053165,/content/daily_h22_run/results/models/lstm/lstm_window_04.pt,12.42962915239632,-0.5668,1.03,14.23,20.62,3.51005755e-05,119636836,106089625.4,0.05419218874,2.66519744e-05,15.8680339794696,5.34,0.79,0.00890141028,7.923510498e-05,2.285851599e-05,0.02862436833,234.1,1827.74,60.88478578898517,1831.98,0.020923955554706993,0.14465115123878894,0.0015218807859954187,2.3161211267820333e-06,0.023482739357032045
LSTM,4,2014-01-02,2014-01-15,9,0.00596022488940055,0.006540343639645338,/content/daily_h22_run/results/models/lstm/lstm_window_04.pt,12.42962915239632,-0.5668,1.03,14.23,20.62,3.51005755e-05,119636836,106089625.4,0.05419218874,2.66519744e-05,15.8680339794696,5.34,0.79,0.00890141028,7.923510498e-05,2.285851599e-05,0.02862436833,234.1,1827.74,60.88478578898517,1831.98,0.020923955554706993,0.14465115123878894,0.0005801187502447883,3.3653776438557507e-07,0.004182982670594804
LSTM,4,2014-01-02,2014-01-16,10,0.005976521741030056,0.008833429921518438,/content/daily_h22_run/results/models/lstm/lstm_window_04.pt,12.42962915239632,-0.5668,1.03,14.23,20.62,3.51005755e-05,119636836,106089625.4,0.05419218874,2.66519744e-05,15.8680339794696,5.34,0.79,0.00890141028,7.923510498e-05,2.285851599e-05,0.02862436833,234.1,1827.74,60.88478578898517,1831.98,0.020923955554706993,0.14465115123878894,0.002856908180488382,8.161924351741437e-06,0.0672845975312486
LSTM,4,2014-01-02,2014-01-17,11,0.0058626972731142535,0.009453445306663474,/content/daily_h22_run/results/models/lstm/lstm_window_04.pt,12.42962915239632,-0.5668,1.03,14.23,20.62,3.51005755e-05,119636836,106089625.4,0.05419218874,2.66519744e-05,15.8680339794696,5.34,0.79,0.00890141028,7.923510498e-05,2.285851599e-05,0.02862436833,234.1,1827.74,60.88478578898517,1831.98,0.020923955554706993,0.14465115123878894,0.00359074803354922,1.2893471440437592e-05,0.09793461891250077
LSTM,4,2014-01-02,2014-01-21,12,0.006141639910275224,0.006330111585807822,/content/daily_h22_run/results/models/lstm/lstm_window_04.pt,12.42962915239632,-0.5668,1.03,14.23,20.62,3.51005755e-05,119636836,106089625.4,0.05419218874,2.66519744e-05,15.8680339794696,5.34,0.79,0.00890141028,7.923510498e-05,2.285851599e-05,0.02862436833,234.1,1827.74,60.88478578898517,1831.98,0.020923955554706993,0.14465115123878894,0.0001884716755325977,3.552157247806478e-08,0.0004522397600412731
LSTM,4,2014-01-02,2014-01-22,13,0.003976830004707001,0.007467185704523601,/content/daily_h22_run/results/models/lstm/lstm_window_04.pt,12.42962915239632,-0.5668,1.03,14.23,20.62,3.51005755e-05,119636836,106089625.4,0.05419218874,2.66519744e-05,15.8680339794696,5.34,0.79,0.00890141028,7.923510498e-05,2.285851599e-05,0.02862436833,234.1,1827.74,60.88478578898517,1831.98,0.020923955554706993,0.14465115123878894,0.0034903556998166,1.2182582911242229e-05,0.1626073010549598
LSTM,4,2014-01-02,2014-01-23,14,0.0044493108826837114,0.005605483308677056,/content/daily_h22_run/results/models/lstm/lstm_window_04.pt,12.42962915239632,-0.5668,1.03,14.23,20.62,3.51005755e-05,119636836,106089625.4,0.05419218874,2.66519744e-05,15.8680339794696,5.34,0.79,0.00890141028,7.923510498e-05,2.285851599e-05,0.02862436833,234.1,1827.74,60.88478578898517,1831.98,0.020923955554706993,0.14465115123878894,0.0011561724259933443,1.3367346786273353e-06,0.02473865225608507
LSTM,4,2014-01-02,2014-01-24,15,0.00486329787016674,0.007859654619834091,/content/daily_h22_run/results/models/lstm/lstm_window_04.pt,12.42962915239632,-0.5668,1.03,14.23,20.62,3.51005755e-05,119636836,106089625.4,0.05419218874,2.66519744e-05,15.8680339794696,5.34,0.79,0.00890141028,7.923510498e-05,2.285851599e-05,0.02862436833,234.1,1827.74,60.88478578898517,1831.98,0.020923955554706993,0.14465115123878894,0.002996356749667351,8.978153771277093e-06,0.09879325869414712
LSTM,4,2014-01-02,2014-01-27,16,0.005478541694390853,0.00782345455825139,/content/daily_h22_run/results/models/lstm/lstm_window_04.pt,12.42962915239632,-0.5668,1.03,14.23,20.62,3.51005755e-05,119636836,106089625.4,0.05419218874,2.66519744e-05,15.8680339794696,5.34,0.79,0.00890141028,7.923510498e-05,2.285851599e-05,0.02862436833,234.1,1827.74,60.88478578898517,1831.98,0.020923955554706993,0.14465115123878894,0.002344912863860537,5.498616339098626e-06,0.056558692865483096
LSTM,4,2014-01-02,2014-01-28,17,0.005712882854571791,0.012688371892846642,/content/daily_h22_run/results/models/lstm/lstm_window_04.pt,12.42962915239632,-0.5668,1.03,14.23,20.62,3.51005755e-05,119636836,106089625.4,0.05419218874,2.66519744e-05,15.8680339794696,5.34,0.79,0.00890141028,7.923510498e-05,2.285851599e-05,0.02862436833,234.1,1827.74,60.88478578898517,1831.98,0.020923955554706993,0.14465115123878894,0.006975489038274852,4.8657447323092615e-05,0.24820774058733974
LSTM,4,2014-01-02,2014-01-29,18,0.0059892502634359725,0.01268922613674347,/content/daily_h22_run/results/models/lstm/lstm_window_04.pt,12.42962915239632,-0.5668,1.03,14.23,20.62,3.51005755e-05,119636836,106089625.4,0.05419218874,2.66519744e-05,15.8680339794696,5.34,0.79,0.00890141028,7.923510498e-05,2.285851599e-05,0.02862436833,234.1,1827.74,60.88478578898517,1831.98,0.020923955554706993,0.14465115123878894,0.006699975873307498,4.4889676702902566e-05,0.22278197721000348
LSTM,4,2014-01-02,2014-01-30,19,0.006491780895441411,0.008487954711069716,/content/daily_h22_run/results/models/lstm/lstm_window_04.pt,12.42962915239632,-0.5668,1.03,14.23,20.62,3.51005755e-05,119636836,106089625.4,0.05419218874,2.66519744e-05,15.8680339794696,5.34,0.79,0.00890141028,7.923510498e-05,2.285851599e-05,0.02862436833,234.1,1827.74,60.88478578898517,1831.98,0.020923955554706993,0.14465115123878894,0.001996173815628305,3.984709902200066e-06,0.03293392020926911
LSTM,4,2014-01-02,2014-01-31,20,0.007235499606024731,0.008846475867060027,/content/daily_h22_run/results/models/lstm/lstm_window_04.pt,12.42962915239632,-0.5668,1.03,14.23,20.62,3.51005755e-05,119636836,106089625.4,0.05419218874,2.66519744e-05,15.8680339794696,5.34,0.79,0.00890141028,7.923510498e-05,2.285851599e-05,0.02862436833,234.1,1827.74,60.88478578898517,1831.98,0.020923955554706993,0.14465115123878894,0.0016109762610352968,2.5952445136192647e-06,0.0189160299199318
LSTM,4,2014-01-02,2014-02-03,21,0.008489224643785442,0.008090887734685066,/content/daily_h22_run/results/models/lstm/lstm_window_04.pt,12.42962915239632,-0.5668,1.03,14.23,20.62,3.51005755e-05,119636836,106089625.4,0.05419218874,2.66519744e-05,15.8680339794696,5.34,0.79,0.00890141028,7.923510498e-05,2.285851599e-05,0.02862436833,234.1,1827.74,60.88478578898517,1831.98,0.020923955554706993,0.14465115123878894,-0.0003983369091003757,1.5867229315164098e-07,0.001173568702635075
LSTM,4,2014-01-02,2014-02-04,22,0.008507989481624885,0.011561379440796103,/content/daily_h22_run/results/models/lstm/lstm_window_04.pt,12.42962915239632,-0.5668,1.03,14.23,20.62,3.51005755e-05,119636836,106089625.4,0.05419218874,2.66519744e-05,15.8680339794696,5.34,0.79,0.00890141028,7.923510498e-05,2.285851599e-05,0.02862436833,234.1,1827.74,60.88478578898517,1831.98,0.020923955554706993,0.14465115123878894,0.0030533899591712182,9.323190242767613e-06,0.04256195939480922
