model,window_id,origin_date,target_date,horizon,y,y_hat,artifact_path,x_atr_14,x_true_range,x_vix,x_parkinson,x_garman_klass,x_vix_term_spread,x_macd,x_rsi_14,x_bollinger_width_20,x_rogers_satchell,x_adx_14,x_roc_10,x_rv_diaria,x_ret_spx_abs,x_ust_3m,x_spy_volume,x_industrial_production,x_baa_aaa_spread,x_ust_10y,x_baa,x_spx_close,x_close_variance_forward_22,x_close_volatility_forward_22,error,squared_error,qlike_loss
LSTM,12,2022-01-03,2022-01-04,1,0.01614599481483699,0.02403179367584052,/content/daily_h22_run/results/models/lstm/lstm_window_12.pt,53.6914883885808,38.47,16.6,2.33872681e-05,2.67027928e-05,4.93,41.7943579951052,60.7409099339223,0.05882551889,3.372028533e-05,18.65838418075547,0.03807264794,4.037139503e-05,0.006353848836,0.0532,72668233,100.8654,0.66,1.628,3.45,4796.56,0.03997958902093794,0.19994896604118248,0.007885798861003532,6.21858236762046e-05,0.0695654171480784
LSTM,12,2022-01-03,2022-01-05,2,0.014410253297274972,0.01756760322667848,/content/daily_h22_run/results/models/lstm/lstm_window_12.pt,53.6914883885808,38.47,16.6,2.33872681e-05,2.67027928e-05,4.93,41.7943579951052,60.7409099339223,0.05882551889,3.372028533e-05,18.65838418075547,0.03807264794,4.037139503e-05,0.006353848836,0.0532,72668233,100.8654,0.66,1.628,3.45,4796.56,0.03997958902093794,0.19994896604118248,0.0031573499294035075,9.968858576704334e-06,0.01839078423855689
LSTM,12,2022-01-03,2022-01-06,3,0.014134666904040284,0.02033972750132885,/content/daily_h22_run/results/models/lstm/lstm_window_12.pt,53.6914883885808,38.47,16.6,2.33872681e-05,2.67027928e-05,4.93,41.7943579951052,60.7409099339223,0.05882551889,3.372028533e-05,18.65838418075547,0.03807264794,4.037139503e-05,0.006353848836,0.0532,72668233,100.8654,0.66,1.628,3.45,4796.56,0.03997958902093794,0.19994896604118248,0.006205060597288564,3.8502777016023116e-05,0.05887458803273993
LSTM,12,2022-01-03,2022-01-07,4,0.013244425215464775,0.018174936818843048,/content/daily_h22_run/results/models/lstm/lstm_window_12.pt,53.6914883885808,38.47,16.6,2.33872681e-05,2.67027928e-05,4.93,41.7943579951052,60.7409099339223,0.05882551889,3.372028533e-05,18.65838418075547,0.03807264794,4.037139503e-05,0.006353848836,0.0532,72668233,100.8654,0.66,1.628,3.45,4796.56,0.03997958902093794,0.19994896604118248,0.004930511603378273,2.4309944671047788e-05,0.045186010523873055
LSTM,12,2022-01-03,2022-01-10,5,0.016264424966203263,0.016571968936907253,/content/daily_h22_run/results/models/lstm/lstm_window_12.pt,53.6914883885808,38.47,16.6,2.33872681e-05,2.67027928e-05,4.93,41.7943579951052,60.7409099339223,0.05882551889,3.372028533e-05,18.65838418075547,0.03807264794,4.037139503e-05,0.006353848836,0.0532,72668233,100.8654,0.66,1.628,3.45,4796.56,0.03997958902093794,0.19994896604118248,0.0003075439707039898,9.458329391637654e-08,0.0001743618008869241
LSTM,12,2022-01-03,2022-01-11,6,0.017306551830875885,0.01652031311601075,/content/daily_h22_run/results/models/lstm/lstm_window_12.pt,53.6914883885808,38.47,16.6,2.33872681e-05,2.67027928e-05,4.93,41.7943579951052,60.7409099339223,0.05882551889,3.372028533e-05,18.65838418075547,0.03807264794,4.037139503e-05,0.006353848836,0.0532,72668233,100.8654,0.66,1.628,3.45,4796.56,0.03997958902093794,0.19994896604118248,-0.000786238714865134,6.181713167527774e-07,0.001097813805897463
LSTM,12,2022-01-03,2022-01-12,7,0.01721846540937992,0.017148569993157222,/content/daily_h22_run/results/models/lstm/lstm_window_12.pt,53.6914883885808,38.47,16.6,2.33872681e-05,2.67027928e-05,4.93,41.7943579951052,60.7409099339223,0.05882551889,3.372028533e-05,18.65838418075547,0.03807264794,4.037139503e-05,0.006353848836,0.0532,72668233,100.8654,0.66,1.628,3.45,4796.56,0.03997958902093794,0.19994896604118248,-6.989541622269904e-05,4.88536920894434e-09,8.28387405071851e-06
LSTM,12,2022-01-03,2022-01-13,8,0.018245155734536056,0.01573663817828024,/content/daily_h22_run/results/models/lstm/lstm_window_12.pt,53.6914883885808,38.47,16.6,2.33872681e-05,2.67027928e-05,4.93,41.7943579951052,60.7409099339223,0.05882551889,3.372028533e-05,18.65838418075547,0.03807264794,4.037139503e-05,0.006353848836,0.0532,72668233,100.8654,0.66,1.628,3.45,4796.56,0.03997958902093794,0.19994896604118248,-0.0025085175562558175,6.292660330043658e-06,0.011498221304468537
LSTM,12,2022-01-03,2022-01-14,9,0.018024361159810553,0.014306496380265337,/content/daily_h22_run/results/models/lstm/lstm_window_12.pt,53.6914883885808,38.47,16.6,2.33872681e-05,2.67027928e-05,4.93,41.7943579951052,60.7409099339223,0.05882551889,3.372028533e-05,18.65838418075547,0.03807264794,4.037139503e-05,0.006353848836,0.0532,72668233,100.8654,0.66,1.628,3.45,4796.56,0.03997958902093794,0.19994896604118248,-0.003717864779545216,1.3822518518982799e-05,0.02886197173440941
LSTM,12,2022-01-03,2022-01-18,10,0.01732502916071636,0.011688187084076549,/content/daily_h22_run/results/models/lstm/lstm_window_12.pt,53.6914883885808,38.47,16.6,2.33872681e-05,2.67027928e-05,4.93,41.7943579951052,60.7409099339223,0.05882551889,3.372028533e-05,18.65838418075547,0.03807264794,4.037139503e-05,0.006353848836,0.0532,72668233,100.8654,0.66,1.628,3.45,4796.56,0.03997958902093794,0.19994896604118248,-0.00563684207663981,3.177398859697701e-05,0.0886947493042678
