model,window_id,origin_date,target_date,horizon,y,y_hat,artifact_path,x_atr_14,x_vix,x_stress_index,x_true_range,x_parkinson,x_bollinger_width_20,x_macd,x_garman_klass,x_spy_volume,x_baa,x_volume_medio_22d,x_vix_term_spread,x_baa_aaa_spread,x_ret_spx_abs,x_rogers_satchell,x_rv_diaria,x_roc_10,x_rsi_14,x_ust_10y,x_ust_3m,x_spx_close,x_close_variance_forward_22,x_close_volatility_forward_22,error,squared_error,qlike_loss
TSMixerX,2,2012-01-03,2012-01-04,1,0.022193942431988408,0.024242973824101524,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_02.pt,19.55158557283868,22.97,0.6528,27.01,0.000147992362,0.06541701701,10.15542971248942,0.0001255697954,193697825,5.26,181480207.9,3.08,1.42,0.01534746675,0.0001195612788,0.0002355447357,0.04706229605,60.20186916965444,1.9474,0.0051,1277.06,0.007971514063730402,0.08928333586806891,0.002049031392113116,4.198529645865014e-06,0.003786819147006293
TSMixerX,2,2012-01-03,2012-01-05,2,0.02199147068519726,0.024953249896426034,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_02.pt,19.55158557283868,22.97,0.6528,27.01,0.000147992362,0.06541701701,10.15542971248942,0.0001255697954,193697825,5.26,181480207.9,3.08,1.42,0.01534746675,0.0001195612788,0.0002355447357,0.04706229605,60.20186916965444,1.9474,0.0051,1277.06,0.007971514063730402,0.08928333586806891,0.0029617792112287752,8.772136096066947e-06,0.007656262942539405
TSMixerX,2,2012-01-03,2012-01-06,3,0.020751295306165894,0.02094525653524599,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_02.pt,19.55158557283868,22.97,0.6528,27.01,0.000147992362,0.06541701701,10.15542971248942,0.0001255697954,193697825,5.26,181480207.9,3.08,1.42,0.01534746675,0.0001195612788,0.0002355447357,0.04706229605,60.20186916965444,1.9474,0.0051,1277.06,0.007971514063730402,0.08928333586806891,0.0001939612290800946,3.762095838626094e-08,4.3143964643554966e-05
TSMixerX,2,2012-01-03,2012-01-09,4,0.02035416703669899,0.01950424197217126,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_02.pt,19.55158557283868,22.97,0.6528,27.01,0.000147992362,0.06541701701,10.15542971248942,0.0001255697954,193697825,5.26,181480207.9,3.08,1.42,0.01534746675,0.0001195612788,0.0002355447357,0.04706229605,60.20186916965444,1.9474,0.0051,1277.06,0.007971514063730402,0.08928333586806891,-0.0008499250645277318,7.22372615312469e-07,0.0009227408913592416
TSMixerX,2,2012-01-03,2012-01-10,5,0.01916801513372595,0.01918186668088656,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_02.pt,19.55158557283868,22.97,0.6528,27.01,0.000147992362,0.06541701701,10.15542971248942,0.0001255697954,193697825,5.26,181480207.9,3.08,1.42,0.01534746675,0.0001195612788,0.0002355447357,0.04706229605,60.20186916965444,1.9474,0.0051,1277.06,0.007971514063730402,0.08928333586806891,1.3851547160610711e-05,1.9186535874262264e-10,2.6085188231661505e-07
TSMixerX,2,2012-01-03,2012-01-11,6,0.01804847433779646,0.021186566386368746,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_02.pt,19.55158557283868,22.97,0.6528,27.01,0.000147992362,0.06541701701,10.15542971248942,0.0001255697954,193697825,5.26,181480207.9,3.08,1.42,0.01534746675,0.0001195612788,0.0002355447357,0.04706229605,60.20186916965444,1.9474,0.0051,1277.06,0.007971514063730402,0.08928333586806891,0.003138092048572287,9.847621705312613e-06,0.01218909697552406
TSMixerX,2,2012-01-03,2012-01-12,7,0.01763764748528094,0.019969846733970193,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_02.pt,19.55158557283868,22.97,0.6528,27.01,0.000147992362,0.06541701701,10.15542971248942,0.0001255697954,193697825,5.26,181480207.9,3.08,1.42,0.01534746675,0.0001195612788,0.0002355447357,0.04706229605,60.20186916965444,1.9474,0.0051,1277.06,0.007971514063730402,0.08928333586806891,0.0023321992486892533,5.439153335586718e-06,0.007401756956151528
TSMixerX,2,2012-01-03,2012-01-13,8,0.016777892140285137,0.020835236008638975,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_02.pt,19.55158557283868,22.97,0.6528,27.01,0.000147992362,0.06541701701,10.15542971248942,0.0001255697954,193697825,5.26,181480207.9,3.08,1.42,0.01534746675,0.0001195612788,0.0002355447357,0.04706229605,60.20186916965444,1.9474,0.0051,1277.06,0.007971514063730402,0.08928333586806891,0.004057343868353838,1.6462039266068488e-05,0.02184879568722553
TSMixerX,2,2012-01-03,2012-01-17,9,0.014543475777109129,0.01679914788577584,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_02.pt,19.55158557283868,22.97,0.6528,27.01,0.000147992362,0.06541701701,10.15542971248942,0.0001255697954,193697825,5.26,181480207.9,3.08,1.42,0.01534746675,0.0001195612788,0.0002355447357,0.04706229605,60.20186916965444,1.9474,0.0051,1277.06,0.007971514063730402,0.08928333586806891,0.0022556721086667095,5.08805666181692e-06,0.009912663763660401
TSMixerX,2,2012-01-03,2012-01-18,10,0.014329648402262812,0.019026935068384723,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_02.pt,19.55158557283868,22.97,0.6528,27.01,0.000147992362,0.06541701701,10.15542971248942,0.0001255697954,193697825,5.26,181480207.9,3.08,1.42,0.01534746675,0.0001195612788,0.0002355447357,0.04706229605,60.20186916965444,1.9474,0.0051,1277.06,0.007971514063730402,0.08928333586806891,0.004697286666121911,2.20645020237267e-05,0.03664927026767195
