model,window_id,origin_date,target_date,horizon,y,y_hat,artifact_path,x_vix,x_atr_14,x_bollinger_width_20,x_baa,x_stress_index,x_true_range,x_aaa,x_dxy,x_parkinson,x_macd,x_garman_klass,x_cpi,x_rsi_14,x_rogers_satchell,x_ret_spx_abs,x_gold_close,x_industrial_production,x_wti_close,x_rv_diaria,x_vix_term_spread,x_spx_close,x_close_variance_forward_22,x_close_volatility_forward_22,error,squared_error,qlike_loss
LSTM,0,2010-01-04,2010-01-05,1,0.009144760826926782,0.008078239705296688,/content/daily_h22_run/results/models/lstm/lstm_window_00.pt,20.04,11.07676046997957,0.04289121372,6.39,-0.2354,18.77,5.35,77.525,8.536007495e-05,8.642549736277942,3.600522627e-05,217.234,62.31419387019199,1.208001188e-05,0.01590724265,1121.28,88.0221,81.51,0.0002530403687,2.73,1132.98,0.03612149539965982,0.19005655842316999,-0.001066521121630094,1.1374673028831137e-06,0.00801681329558801
LSTM,0,2010-01-04,2010-01-06,2,0.008028479978484486,0.008425290672233448,/content/daily_h22_run/results/models/lstm/lstm_window_00.pt,20.04,11.07676046997957,0.04289121372,6.39,-0.2354,18.77,5.35,77.525,8.536007495e-05,8.642549736277942,3.600522627e-05,217.234,62.31419387019199,1.208001188e-05,0.01590724265,1121.28,88.0221,81.51,0.0002530403687,2.73,1132.98,0.03612149539965982,0.19005655842316999,0.00039681069374896197,1.5745872667353248e-07,0.0011451923834506772
LSTM,0,2010-01-04,2010-01-07,3,0.006206039422328118,0.008838152824141205,/content/daily_h22_run/results/models/lstm/lstm_window_00.pt,20.04,11.07676046997957,0.04289121372,6.39,-0.2354,18.77,5.35,77.525,8.536007495e-05,8.642549736277942,3.600522627e-05,217.234,62.31419387019199,1.208001188e-05,0.01590724265,1121.28,88.0221,81.51,0.0002530403687,2.73,1132.98,0.03612149539965982,0.19005655842316999,0.0026321134018130873,6.928020960004063e-06,0.055742365255780246
LSTM,0,2010-01-04,2010-01-08,4,0.006113648824584064,0.00899150032877093,/content/daily_h22_run/results/models/lstm/lstm_window_00.pt,20.04,11.07676046997957,0.04289121372,6.39,-0.2354,18.77,5.35,77.525,8.536007495e-05,8.642549736277942,3.600522627e-05,217.234,62.31419387019199,1.208001188e-05,0.01590724265,1121.28,88.0221,81.51,0.0002530403687,2.73,1132.98,0.03612149539965982,0.19005655842316999,0.0028778515041868657,8.282029280150605e-06,0.0656923904927651
LSTM,0,2010-01-04,2010-01-11,5,0.005712794308472409,0.009692648636432818,/content/daily_h22_run/results/models/lstm/lstm_window_00.pt,20.04,11.07676046997957,0.04289121372,6.39,-0.2354,18.77,5.35,77.525,8.536007495e-05,8.642549736277942,3.600522627e-05,217.234,62.31419387019199,1.208001188e-05,0.01590724265,1121.28,88.0221,81.51,0.0002530403687,2.73,1132.98,0.03612149539965982,0.19005655842316999,0.0039798543279604085,1.5839240471785193e-05,0.11805400346547268
LSTM,0,2010-01-04,2010-01-12,6,0.0058370621263771705,0.008986376862622072,/content/daily_h22_run/results/models/lstm/lstm_window_00.pt,20.04,11.07676046997957,0.04289121372,6.39,-0.2354,18.77,5.35,77.525,8.536007495e-05,8.642549736277942,3.600522627e-05,217.234,62.31419387019199,1.208001188e-05,0.01590724265,1121.28,88.0221,81.51,0.0002530403687,2.73,1132.98,0.03612149539965982,0.19005655842316999,0.0031493147362449013,9.918183307929292e-06,0.08102780294185852
LSTM,0,2010-01-04,2010-01-13,7,0.006217457020095734,0.009603696238432094,/content/daily_h22_run/results/models/lstm/lstm_window_00.pt,20.04,11.07676046997957,0.04289121372,6.39,-0.2354,18.77,5.35,77.525,8.536007495e-05,8.642549736277942,3.600522627e-05,217.234,62.31419387019199,1.208001188e-05,0.01590724265,1121.28,88.0221,81.51,0.0002530403687,2.73,1132.98,0.03612149539965982,0.19005655842316999,0.0033862392183363595,1.1466616043799239e-05,0.08218957214894118
LSTM,0,2010-01-04,2010-01-14,8,0.0061505981077906394,0.011885431368331494,/content/daily_h22_run/results/models/lstm/lstm_window_00.pt,20.04,11.07676046997957,0.04289121372,6.39,-0.2354,18.77,5.35,77.525,8.536007495e-05,8.642549736277942,3.600522627e-05,217.234,62.31419387019199,1.208001188e-05,0.01590724265,1121.28,88.0221,81.51,0.0002530403687,2.73,1132.98,0.03612149539965982,0.19005655842316999,0.0057348332605408545,3.288831252620565e-05,0.1762545890408278
LSTM,0,2010-01-04,2010-01-15,9,0.006872226158401763,0.010912604309816469,/content/daily_h22_run/results/models/lstm/lstm_window_00.pt,20.04,11.07676046997957,0.04289121372,6.39,-0.2354,18.77,5.35,77.525,8.536007495e-05,8.642549736277942,3.600522627e-05,217.234,62.31419387019199,1.208001188e-05,0.01590724265,1121.28,88.0221,81.51,0.0002530403687,2.73,1132.98,0.03612149539965982,0.19005655842316999,0.004040378151414706,1.632465560642932e-05,0.0921816313398518
LSTM,0,2010-01-04,2010-01-19,10,0.006877173980499259,0.008167611907686001,/content/daily_h22_run/results/models/lstm/lstm_window_00.pt,20.04,11.07676046997957,0.04289121372,6.39,-0.2354,18.77,5.35,77.525,8.536007495e-05,8.642549736277942,3.600522627e-05,217.234,62.31419387019199,1.208001188e-05,0.01590724265,1121.28,88.0221,81.51,0.0002530403687,2.73,1132.98,0.03612149539965982,0.19005655842316999,0.0012904379271867416,1.6652300439220142e-06,0.013974236545906571
LSTM,0,2010-01-04,2010-01-20,11,0.007913790947252173,0.008885171752219562,/content/daily_h22_run/results/models/lstm/lstm_window_00.pt,20.04,11.07676046997957,0.04289121372,6.39,-0.2354,18.77,5.35,77.525,8.536007495e-05,8.642549736277942,3.600522627e-05,217.234,62.31419387019199,1.208001188e-05,0.01590724265,1121.28,88.0221,81.51,0.0002530403687,2.73,1132.98,0.03612149539965982,0.19005655842316999,0.0009713808049673887,9.435806682590922e-07,0.006450806650427632
LSTM,0,2010-01-04,2010-01-21,12,0.009220347212669476,0.008728207098662503,/content/daily_h22_run/results/models/lstm/lstm_window_00.pt,20.04,11.07676046997957,0.04289121372,6.39,-0.2354,18.77,5.35,77.525,8.536007495e-05,8.642549736277942,3.600522627e-05,217.234,62.31419387019199,1.208001188e-05,0.01590724265,1121.28,88.0221,81.51,0.0002530403687,2.73,1132.98,0.03612149539965982,0.19005655842316999,-0.0004921401140069726,2.4220189181479595e-07,0.0015322987855146408
LSTM,0,2010-01-04,2010-01-22,13,0.00994599668538896,0.009164376245658194,/content/daily_h22_run/results/models/lstm/lstm_window_00.pt,20.04,11.07676046997957,0.04289121372,6.39,-0.2354,18.77,5.35,77.525,8.536007495e-05,8.642549736277942,3.600522627e-05,217.234,62.31419387019199,1.208001188e-05,0.01590724265,1121.28,88.0221,81.51,0.0002530403687,2.73,1132.98,0.03612149539965982,0.19005655842316999,-0.0007816204397307659,6.109305118049159e-07,0.0034426886344771646
LSTM,0,2010-01-04,2010-01-25,14,0.009961001671532375,0.009459182761209675,/content/daily_h22_run/results/models/lstm/lstm_window_00.pt,20.04,11.07676046997957,0.04289121372,6.39,-0.2354,18.77,5.35,77.525,8.536007495e-05,8.642549736277942,3.600522627e-05,217.234,62.31419387019199,1.208001188e-05,0.01590724265,1121.28,88.0221,81.51,0.0002530403687,2.73,1132.98,0.03612149539965982,0.19005655842316999,-0.0005018189103227003,2.5182221875746227e-07,0.0013593339375295166
LSTM,0,2010-01-04,2010-01-26,15,0.010703376349748958,0.011098033467434869,/content/daily_h22_run/results/models/lstm/lstm_window_00.pt,20.04,11.07676046997957,0.04289121372,6.39,-0.2354,18.77,5.35,77.525,8.536007495e-05,8.642549736277942,3.600522627e-05,217.234,62.31419387019199,1.208001188e-05,0.01590724265,1121.28,88.0221,81.51,0.0002530403687,2.73,1132.98,0.03612149539965982,0.19005655842316999,0.000394657117685911,1.55754240540151e-07,0.0006476936735708705
LSTM,0,2010-01-04,2010-01-27,16,0.011799029825070712,0.012292911868405039,/content/daily_h22_run/results/models/lstm/lstm_window_00.pt,20.04,11.07676046997957,0.04289121372,6.39,-0.2354,18.77,5.35,77.525,8.536007495e-05,8.642549736277942,3.600522627e-05,217.234,62.31419387019199,1.208001188e-05,0.01590724265,1121.28,88.0221,81.51,0.0002530403687,2.73,1132.98,0.03612149539965982,0.19005655842316999,0.0004938820433343268,2.439194727280898e-07,0.0008293515261157403
LSTM,0,2010-01-04,2010-01-28,17,0.013275463424035898,0.011693437008714407,/content/daily_h22_run/results/models/lstm/lstm_window_00.pt,20.04,11.07676046997957,0.04289121372,6.39,-0.2354,18.77,5.35,77.525,8.536007495e-05,8.642549736277942,3.600522627e-05,217.234,62.31419387019199,1.208001188e-05,0.01590724265,1121.28,88.0221,81.51,0.0002530403687,2.73,1132.98,0.03612149539965982,0.19005655842316999,-0.001582026415321491,2.5028075787749667e-06,0.008402092392905569
LSTM,0,2010-01-04,2010-01-29,18,0.01534420384253495,0.01202196154932704,/content/daily_h22_run/results/models/lstm/lstm_window_00.pt,20.04,11.07676046997957,0.04289121372,6.39,-0.2354,18.77,5.35,77.525,8.536007495e-05,8.642549736277942,3.600522627e-05,217.234,62.31419387019199,1.208001188e-05,0.01590724265,1121.28,88.0221,81.51,0.0002530403687,2.73,1132.98,0.03612149539965982,0.19005655842316999,-0.0033222422932079106,1.1037293854779358e-05,0.03234507569439016
LSTM,0,2010-01-04,2010-02-01,19,0.015719853980480723,0.010058250284398978,/content/daily_h22_run/results/models/lstm/lstm_window_00.pt,20.04,11.07676046997957,0.04289121372,6.39,-0.2354,18.77,5.35,77.525,8.536007495e-05,8.642549736277942,3.600522627e-05,217.234,62.31419387019199,1.208001188e-05,0.01590724265,1121.28,88.0221,81.51,0.0002530403687,2.73,1132.98,0.03612149539965982,0.19005655842316999,-0.0056616036960817455,3.205375641148648e-05,0.11635029183136769
LSTM,0,2010-01-04,2010-02-02,20,0.01632132888991065,0.012580866400689748,/content/daily_h22_run/results/models/lstm/lstm_window_00.pt,20.04,11.07676046997957,0.04289121372,6.39,-0.2354,18.77,5.35,77.525,8.536007495e-05,8.642549736277942,3.600522627e-05,217.234,62.31419387019199,1.208001188e-05,0.01590724265,1121.28,88.0221,81.51,0.0002530403687,2.73,1132.98,0.03612149539965982,0.19005655842316999,-0.0037404624892209033,1.3991059633268637e-05,0.03701793166044576
LSTM,0,2010-01-04,2010-02-03,21,0.016378691635975013,0.012740245063820103,/content/daily_h22_run/results/models/lstm/lstm_window_00.pt,20.04,11.07676046997957,0.04289121372,6.39,-0.2354,18.77,5.35,77.525,8.536007495e-05,8.642549736277942,3.600522627e-05,217.234,62.31419387019199,1.208001188e-05,0.01590724265,1121.28,88.0221,81.51,0.0002530403687,2.73,1132.98,0.03612149539965982,0.19005655842316999,-0.0036384465721549103,1.3238293458425818e-05,0.03437154532339837
LSTM,0,2010-01-04,2010-02-04,22,0.01740565902736639,0.008796790802027046,/content/daily_h22_run/results/models/lstm/lstm_window_00.pt,20.04,11.07676046997957,0.04289121372,6.39,-0.2354,18.77,5.35,77.525,8.536007495e-05,8.642549736277942,3.600522627e-05,217.234,62.31419387019199,1.208001188e-05,0.01590724265,1121.28,88.0221,81.51,0.0002530403687,2.73,1132.98,0.03612149539965982,0.19005655842316999,-0.008608868225339345,7.411261212125741e-05,0.29622895976442454
