model,window_id,origin_date,target_date,horizon,y,y_hat,artifact_path,x_vix,x_volume_medio_22d,x_spy_volume,x_atr_14,x_bollinger_width_20,x_parkinson,x_vix_term_spread,x_garman_klass,x_true_range,x_macd,x_rogers_satchell,x_ret_spx_abs,x_rv_diaria,x_rsi_14,x_obv,x_roc_10,x_baa,x_ukx_close,x_stress_index,x_adx_14,x_spx_close,x_close_variance_forward_22,x_close_volatility_forward_22,error,squared_error,qlike_loss
LSTM,11,2021-01-04,2021-01-05,1,0.014141227523613943,0.013286458920331128,/content/daily_h22_run/results/models/lstm/lstm_window_11.pt,26.97,63712053.14,110210810,41.33348346759161,0.0282710524,0.0003005932213,1.29,0.0003032810231,107.28,34.61404404038285,0.0003092944014,0.01486471812,0.0002209598449,54.98307702154013,10962955639,-0.00586436999,3.12,6571.88,-0.4092,17.03809205152163,3700.65,0.027935512144729623,0.16713919990453951,-0.0008547686032828149,7.306293651580542e-07,0.0019847374426924524
LSTM,11,2021-01-04,2021-01-06,2,0.016210703004980384,0.018623117535122836,/content/daily_h22_run/results/models/lstm/lstm_window_11.pt,26.97,63712053.14,110210810,41.33348346759161,0.0282710524,0.0003005932213,1.29,0.0003032810231,107.28,34.61404404038285,0.0003092944014,0.01486471812,0.0002209598449,54.98307702154013,10962955639,-0.00586436999,3.12,6571.88,-0.4092,17.03809205152163,3700.65,0.027935512144729623,0.16713919990453951,0.0024124145301424524,5.819743865242429e-06,0.009193278727350318
LSTM,11,2021-01-04,2021-01-07,3,0.01670824694632782,0.0209278146025835,/content/daily_h22_run/results/models/lstm/lstm_window_11.pt,26.97,63712053.14,110210810,41.33348346759161,0.0282710524,0.0003005932213,1.29,0.0003032810231,107.28,34.61404404038285,0.0003092944014,0.01486471812,0.0002209598449,54.98307702154013,10962955639,-0.00586436999,3.12,6571.88,-0.4092,17.03809205152163,3700.65,0.027935512144729623,0.16713919990453951,0.004219567656255679,1.7804751205719043e-05,0.023551831344822638
LSTM,11,2021-01-04,2021-01-08,4,0.01746341320918048,0.019577080336118085,/content/daily_h22_run/results/models/lstm/lstm_window_11.pt,26.97,63712053.14,110210810,41.33348346759161,0.0282710524,0.0003005932213,1.29,0.0003032810231,107.28,34.61404404038285,0.0003092944014,0.01486471812,0.0002209598449,54.98307702154013,10962955639,-0.00586436999,3.12,6571.88,-0.4092,17.03809205152163,3700.65,0.027935512144729623,0.16713919990453951,0.002113667126937606,4.467588723496673e-06,0.006285080437218982
LSTM,11,2021-01-04,2021-01-11,5,0.017902059588273008,0.01979004751967799,/content/daily_h22_run/results/models/lstm/lstm_window_11.pt,26.97,63712053.14,110210810,41.33348346759161,0.0282710524,0.0003005932213,1.29,0.0003032810231,107.28,34.61404404038285,0.0003092944014,0.01486471812,0.0002209598449,54.98307702154013,10962955639,-0.00586436999,3.12,6571.88,-0.4092,17.03809205152163,3700.65,0.027935512144729623,0.16713919990453951,0.0018879879314049816,3.5644984291308616e-06,0.004862514652792527
LSTM,11,2021-01-04,2021-01-12,6,0.017639156500876885,0.016895872132918734,/content/daily_h22_run/results/models/lstm/lstm_window_11.pt,26.97,63712053.14,110210810,41.33348346759161,0.0282710524,0.0003005932213,1.29,0.0003032810231,107.28,34.61404404038285,0.0003092944014,0.01486471812,0.0002209598449,54.98307702154013,10962955639,-0.00586436999,3.12,6571.88,-0.4092,17.03809205152163,3700.65,0.027935512144729623,0.16713919990453951,-0.0007432843679581504,5.52471651650947e-07,0.0009401762999108332
LSTM,11,2021-01-04,2021-01-13,7,0.017293631882968376,0.02326399186290983,/content/daily_h22_run/results/models/lstm/lstm_window_11.pt,26.97,63712053.14,110210810,41.33348346759161,0.0282710524,0.0003005932213,1.29,0.0003032810231,107.28,34.61404404038285,0.0003092944014,0.01486471812,0.0002209598449,54.98307702154013,10962955639,-0.00586436999,3.12,6571.88,-0.4092,17.03809205152163,3700.65,0.027935512144729623,0.16713919990453951,0.005970359979941456,3.564519829008654e-05,0.03993318376039534
LSTM,11,2021-01-04,2021-01-14,8,0.016820016758462383,0.02187141505726487,/content/daily_h22_run/results/models/lstm/lstm_window_11.pt,26.97,63712053.14,110210810,41.33348346759161,0.0282710524,0.0003005932213,1.29,0.0003032810231,107.28,34.61404404038285,0.0003092944014,0.01486471812,0.0002209598449,54.98307702154013,10962955639,-0.00586436999,3.12,6571.88,-0.4092,17.03809205152163,3700.65,0.027935512144729623,0.16713919990453951,0.005051398298802488,2.5516624773144672e-05,0.03165196948088833
LSTM,11,2021-01-04,2021-01-15,9,0.016448139216603267,0.020017216174802604,/content/daily_h22_run/results/models/lstm/lstm_window_11.pt,26.97,63712053.14,110210810,41.33348346759161,0.0282710524,0.0003005932213,1.29,0.0003032810231,107.28,34.61404404038285,0.0003092944014,0.01486471812,0.0002209598449,54.98307702154013,10962955639,-0.00586436999,3.12,6571.88,-0.4092,17.03809205152163,3700.65,0.027935512144729623,0.16713919990453951,0.0035690769581993367,1.273831033354943e-05,0.018079993332299038
LSTM,11,2021-01-04,2021-01-19,10,0.016172170095666117,0.015364098826738613,/content/daily_h22_run/results/models/lstm/lstm_window_11.pt,26.97,63712053.14,110210810,41.33348346759161,0.0282710524,0.0003005932213,1.29,0.0003032810231,107.28,34.61404404038285,0.0003092944014,0.01486471812,0.0002209598449,54.98307702154013,10962955639,-0.00586436999,3.12,6571.88,-0.4092,17.03809205152163,3700.65,0.027935512144729623,0.16713919990453951,-0.000808071268927504,6.529791756661065e-07,0.0013364448047690214
