model,window_id,origin_date,target_date,horizon,y,y_hat,artifact_path,x_vix,x_spx_close,x_close_variance_forward_22,x_close_volatility_forward_22,error,squared_error,qlike_loss
RW,7,2017-01-03,2017-01-04,1,0.0044053161065255525,0.004522385428336268,,12.85,2257.83,0.003615418164406042,0.06012834742786502,0.00011706932181071526,1.3705226109220811e-08,0.0003409558298501647
RW,7,2017-01-03,2017-01-05,2,0.0044839398912764955,0.004522385428336268,,12.85,2257.83,0.003615418164406042,0.06012834742786502,3.844553705977232e-05,1.478059319814327e-09,3.634099584659545e-05
RW,7,2017-01-03,2017-01-06,3,0.004558503540959119,0.004522385428336268,,12.85,2257.83,0.003615418164406042,0.06012834742786502,-3.611811262285106e-05,1.3045180594369533e-09,3.172344026314278e-05
RW,7,2017-01-03,2017-01-09,4,0.004534341087311157,0.004522385428336268,,12.85,2257.83,0.003615418164406042,0.06012834742786502,-1.1955658974889538e-05,1.4293778152385677e-10,3.4883280377595582e-06
RW,7,2017-01-03,2017-01-10,5,0.004294760918839906,0.004522385428336268,,12.85,2257.83,0.003615418164406042,0.06012834742786502,0.00022762450949636182,5.1812917323459316e-08,0.0013108737576661422
RW,7,2017-01-03,2017-01-11,6,0.004344176247913047,0.004522385428336268,,12.85,2257.83,0.003615418164406042,0.06012834742786502,0.000178209180423221,3.175851198711613e-08,0.000797436413494168
RW,7,2017-01-03,2017-01-12,7,0.004880301870725266,0.004522385428336268,,12.85,2257.83,0.003615418164406042,0.06012834742786502,-0.0003579164423889985,1.2810417973239726e-07,0.002975813344080258
RW,7,2017-01-03,2017-01-13,8,0.004800904237915182,0.004522385428336268,,12.85,2257.83,0.003615418164406042,0.06012834742786502,-0.0002785188095789145,7.757272728925563e-08,0.0018220244932407592
RW,7,2017-01-03,2017-01-17,9,0.004731554629959902,0.004522385428336268,,12.85,2257.83,0.003615418164406042,0.06012834742786502,-0.00020916920162363396,4.3751754907868436e-08,0.0010377439372277752
RW,7,2017-01-03,2017-01-18,10,0.004188862940427476,0.004522385428336268,,12.85,2257.83,0.003615418164406042,0.06012834742786502,0.00033352248790879165,1.1123724994087007e-07,0.0028610418519956493
RW,7,2017-01-03,2017-01-19,11,0.004015858168195608,0.004522385428336268,,12.85,2257.83,0.003615418164406042,0.06012834742786502,0.0005065272601406596,2.565698652656034e-07,0.006784096358787961
RW,7,2017-01-03,2017-01-20,12,0.0040455773678914715,0.004522385428336268,,12.85,2257.83,0.003615418164406042,0.06012834742786502,0.0004768080604447963,2.2734592650512852e-07,0.0059824609585381605
RW,7,2017-01-03,2017-01-23,13,0.004220139984622369,0.004522385428336268,,12.85,2257.83,0.003615418164406042,0.06012834742786502,0.00030224544371389855,9.135230824581142e-08,0.002338115248654571
RW,7,2017-01-03,2017-01-24,14,0.004400527368880792,0.004522385428336268,,12.85,2257.83,0.003615418164406042,0.06012834742786502,0.000121858059455476,1.4849386654254322e-08,0.000369686784297274
RW,7,2017-01-03,2017-01-25,15,0.004575317987844913,0.004522385428336268,,12.85,2257.83,0.003615418164406042,0.06012834742786502,-5.293255950864547e-05,2.8018558561362938e-09,6.796858687430074e-05
RW,7,2017-01-03,2017-01-26,16,0.004525442273581515,0.004522385428336268,,12.85,2257.83,0.003615418164406042,0.06012834742786502,-3.0568452452474706e-06,9.344302853392068e-12,2.2834216539813212e-07
RW,7,2017-01-03,2017-01-27,17,0.004550680380469862,0.004522385428336268,,12.85,2257.83,0.003615418164406042,0.06012834742786502,-2.829495213359408e-05,8.006043162423801e-10,1.949153339997345e-05
RW,7,2017-01-03,2017-01-30,18,0.005138921358897316,0.004522385428336268,,12.85,2257.83,0.003615418164406042,0.06012834742786502,-0.000616535930561048,3.801165536727774e-07,0.00852620571849938
RW,7,2017-01-03,2017-01-31,19,0.005213700725773525,0.004522385428336268,,12.85,2257.83,0.003615418164406042,0.06012834742786502,-0.0006913152974372576,4.77916840470764e-07,0.010614876321794808
RW,7,2017-01-03,2017-02-01,20,0.005455961076067528,0.004522385428336268,,12.85,2257.83,0.003615418164406042,0.06012834742786502,-0.00093357564773126,8.715634900368417e-07,0.018765157151072742
RW,7,2017-01-03,2017-02-02,21,0.005309431359903207,0.004522385428336268,,12.85,2257.83,0.003615418164406042,0.06012834742786502,-0.0007870459315669391,6.194412983960711e-07,0.013588223333374172
RW,7,2017-01-03,2017-02-03,22,0.004804837297162305,0.004522385428336268,,12.85,2257.83,0.003615418164406042,0.06012834742786502,-0.00028245186882603756,7.977905820332113e-08,0.001872813741989665
RW,7,2017-01-04,2017-01-05,1,0.0044839398912764955,0.0044053161065255525,,11.85,2270.75,0.003293843874689868,0.05739201925956141,-7.862378475094293e-05,6.181699528562607e-09,0.00015739625370359
RW,7,2017-01-04,2017-01-06,2,0.004558503540959119,0.0044053161065255525,,11.85,2270.75,0.003293843874689868,0.05739201925956141,-0.00015318743443356632,2.346639006833818e-08,0.0005909315166650053
RW,7,2017-01-04,2017-01-09,3,0.004534341087311157,0.0044053161065255525,,11.85,2270.75,0.003293843874689868,0.05739201925956141,-0.0001290249807856048,1.6647445666725685e-08,0.00042071237852536747
