model,window_id,origin_date,target_date,horizon,y,y_hat,artifact_path,x_atr_14,x_vix,x_stress_index,x_true_range,x_parkinson,x_bollinger_width_20,x_macd,x_garman_klass,x_spy_volume,x_baa,x_volume_medio_22d,x_vix_term_spread,x_baa_aaa_spread,x_ret_spx_abs,x_rogers_satchell,x_rv_diaria,x_roc_10,x_rsi_14,x_ust_10y,x_ust_3m,x_spx_close,x_close_variance_forward_22,x_close_volatility_forward_22,error,squared_error,qlike_loss
LSTM,2,2012-01-03,2012-01-04,1,0.022193942431988408,0.020116499463406837,/content/daily_h22_run/results/models/lstm/lstm_window_02.pt,19.55158557283868,22.97,0.6528,27.01,0.000147992362,0.06541701701,10.15542971248942,0.0001255697954,193697825,5.26,181480207.9,3.08,1.42,0.01534746675,0.0001195612788,0.0002355447357,0.04706229605,60.20186916965444,1.9474,0.0051,1277.06,0.007971514063730402,0.08928333586806891,-0.0020774429685815714,4.315769287709012e-06,0.004991558897451176
LSTM,2,2012-01-03,2012-01-05,2,0.02199147068519726,0.018184667050913428,/content/daily_h22_run/results/models/lstm/lstm_window_02.pt,19.55158557283868,22.97,0.6528,27.01,0.000147992362,0.06541701701,10.15542971248942,0.0001255697954,193697825,5.26,181480207.9,3.08,1.42,0.01534746675,0.0001195612788,0.0002355447357,0.04706229605,60.20186916965444,1.9474,0.0051,1277.06,0.007971514063730402,0.08928333586806891,-0.0038068036342838313,1.4491753909996586e-05,0.019265485860667342
LSTM,2,2012-01-03,2012-01-06,3,0.020751295306165894,0.020120326402878246,/content/daily_h22_run/results/models/lstm/lstm_window_02.pt,19.55158557283868,22.97,0.6528,27.01,0.000147992362,0.06541701701,10.15542971248942,0.0001255697954,193697825,5.26,181480207.9,3.08,1.42,0.01534746675,0.0001195612788,0.0002355447357,0.04706229605,60.20186916965444,1.9474,0.0051,1277.06,0.007971514063730402,0.08928333586806891,-0.0006309689032876487,3.981217569160181e-07,0.0004816735051227372
LSTM,2,2012-01-03,2012-01-09,4,0.02035416703669899,0.019179280393831395,/content/daily_h22_run/results/models/lstm/lstm_window_02.pt,19.55158557283868,22.97,0.6528,27.01,0.000147992362,0.06541701701,10.15542971248942,0.0001255697954,193697825,5.26,181480207.9,3.08,1.42,0.01534746675,0.0001195612788,0.0002355447357,0.04706229605,60.20186916965444,1.9474,0.0051,1277.06,0.007971514063730402,0.08928333586806891,-0.001174886642867596,1.38035862358869e-06,0.0018030099801191746
LSTM,2,2012-01-03,2012-01-10,5,0.01916801513372595,0.020913034060838102,/content/daily_h22_run/results/models/lstm/lstm_window_02.pt,19.55158557283868,22.97,0.6528,27.01,0.000147992362,0.06541701701,10.15542971248942,0.0001255697954,193697825,5.26,181480207.9,3.08,1.42,0.01534746675,0.0001195612788,0.0002355447357,0.04706229605,60.20186916965444,1.9474,0.0051,1277.06,0.007971514063730402,0.08928333586806891,0.001745018927112152,3.045091055979646e-06,0.0036879013453672282
LSTM,2,2012-01-03,2012-01-11,6,0.01804847433779646,0.018926913695002795,/content/daily_h22_run/results/models/lstm/lstm_window_02.pt,19.55158557283868,22.97,0.6528,27.01,0.000147992362,0.06541701701,10.15542971248942,0.0001255697954,193697825,5.26,181480207.9,3.08,1.42,0.01534746675,0.0001195612788,0.0002355447357,0.04706229605,60.20186916965444,1.9474,0.0051,1277.06,0.007971514063730402,0.08928333586806891,0.0008784393572063356,7.716557042890802e-07,0.0011115754857882187
LSTM,2,2012-01-03,2012-01-12,7,0.01763764748528094,0.017038148168548466,/content/daily_h22_run/results/models/lstm/lstm_window_02.pt,19.55158557283868,22.97,0.6528,27.01,0.000147992362,0.06541701701,10.15542971248942,0.0001255697954,193697825,5.26,181480207.9,3.08,1.42,0.01534746675,0.0001195612788,0.0002355447357,0.04706229605,60.20186916965444,1.9474,0.0051,1277.06,0.007971514063730402,0.08928333586806891,-0.0005994993167324734,3.593994307627025e-07,0.0006048693793991866
LSTM,2,2012-01-03,2012-01-13,8,0.016777892140285137,0.018984601904532217,/content/daily_h22_run/results/models/lstm/lstm_window_02.pt,19.55158557283868,22.97,0.6528,27.01,0.000147992362,0.06541701701,10.15542971248942,0.0001255697954,193697825,5.26,181480207.9,3.08,1.42,0.01534746675,0.0001195612788,0.0002355447357,0.04706229605,60.20186916965444,1.9474,0.0051,1277.06,0.007971514063730402,0.08928333586806891,0.00220670976424708,4.869567983623403e-06,0.007329328231194809
LSTM,2,2012-01-03,2012-01-17,9,0.014543475777109129,0.014808508363035775,/content/daily_h22_run/results/models/lstm/lstm_window_02.pt,19.55158557283868,22.97,0.6528,27.01,0.000147992362,0.06541701701,10.15542971248942,0.0001255697954,193697825,5.26,181480207.9,3.08,1.42,0.01534746675,0.0001195612788,0.0002355447357,0.04706229605,60.20186916965444,1.9474,0.0051,1277.06,0.007971514063730402,0.08928333586806891,0.00026503258592664586,7.024227160296492e-08,0.00016209394259347754
LSTM,2,2012-01-03,2012-01-18,10,0.014329648402262812,0.01704038344993265,/content/daily_h22_run/results/models/lstm/lstm_window_02.pt,19.55158557283868,22.97,0.6528,27.01,0.000147992362,0.06541701701,10.15542971248942,0.0001255697954,193697825,5.26,181480207.9,3.08,1.42,0.01534746675,0.0001195612788,0.0002355447357,0.04706229605,60.20186916965444,1.9474,0.0051,1277.06,0.007971514063730402,0.08928333586806891,0.0027107350476698374,7.348084498665595e-06,0.01417820273537096
LSTM,2,2012-01-03,2012-01-19,11,0.013495018900111547,0.017083753496916782,/content/daily_h22_run/results/models/lstm/lstm_window_02.pt,19.55158557283868,22.97,0.6528,27.01,0.000147992362,0.06541701701,10.15542971248942,0.0001255697954,193697825,5.26,181480207.9,3.08,1.42,0.01534746675,0.0001195612788,0.0002355447357,0.04706229605,60.20186916965444,1.9474,0.0051,1277.06,0.007971514063730402,0.08928333586806891,0.003588734596805235,1.2879016006306833e-05,0.025740174500272328
LSTM,2,2012-01-03,2012-01-20,12,0.012551152107935778,0.02087686402216503,/content/daily_h22_run/results/models/lstm/lstm_window_02.pt,19.55158557283868,22.97,0.6528,27.01,0.000147992362,0.06541701701,10.15542971248942,0.0001255697954,193697825,5.26,181480207.9,3.08,1.42,0.01534746675,0.0001195612788,0.0002355447357,0.04706229605,60.20186916965444,1.9474,0.0051,1277.06,0.007971514063730402,0.08928333586806891,0.00832571191422925,6.93174788787389e-05,0.11002821026262488
