model,window_id,origin_date,target_date,horizon,y,y_hat,artifact_path,x_vix_term_spread,x_stress_index,x_vix,x_atr_14,x_volume_medio_22d,x_parkinson,x_spy_volume,x_bollinger_width_20,x_baa,x_garman_klass,x_true_range,x_macd,x_ret_spx_abs,x_baa_aaa_spread,x_rv_diaria,x_rogers_satchell,x_ukx_close,x_aaa,x_obv,x_indu_close,x_spx_close,x_close_variance_forward_22,x_close_volatility_forward_22,error,squared_error,qlike_loss
TSMixerX,8,2018-01-02,2018-01-03,1,0.0050726461759994955,0.004723268033918279,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_08.pt,2.84,-0.6094,9.77,14.41330698915612,85997681.59,9.130403962e-06,86655749,0.03133934674,4.24,4.865885702e-06,22.28,20.53265787524151,0.008269096662,0.72,6.83779596e-05,2.6880985e-06,7648.1,3.52,10060849248,24824.01,2695.81,0.013316076662072912,0.11539530606603074,-0.0003493781420812166,1.2206508616412277e-07,0.002607908182015617
TSMixerX,8,2018-01-02,2018-01-04,2,0.0029554496736848,0.004752067542970486,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_08.pt,2.84,-0.6094,9.77,14.41330698915612,85997681.59,9.130403962e-06,86655749,0.03133934674,4.24,4.865885702e-06,22.28,20.53265787524151,0.008269096662,0.72,6.83779596e-05,2.6880985e-06,7648.1,3.52,10060849248,24824.01,2695.81,0.013316076662072912,0.11539530606603074,0.0017966178692856859,3.2278357682366377e-06,0.09685820522912447
TSMixerX,8,2018-01-02,2018-01-05,3,0.0024749407057178536,0.004559828231008715,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_08.pt,2.84,-0.6094,9.77,14.41330698915612,85997681.59,9.130403962e-06,86655749,0.03133934674,4.24,4.865885702e-06,22.28,20.53265787524151,0.008269096662,0.72,6.83779596e-05,2.6880985e-06,7648.1,3.52,10060849248,24824.01,2695.81,0.013316076662072912,0.11539530606603074,0.0020848875252908613,4.346755993113452e-06,0.1538391159225978
TSMixerX,8,2018-01-02,2018-01-08,4,0.0022526056407403813,0.004191336030978651,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_08.pt,2.84,-0.6094,9.77,14.41330698915612,85997681.59,9.130403962e-06,86655749,0.03133934674,4.24,4.865885702e-06,22.28,20.53265787524151,0.008269096662,0.72,6.83779596e-05,2.6880985e-06,7648.1,3.52,10060849248,24824.01,2695.81,0.013316076662072912,0.11539530606603074,0.0019387303902382693,3.758675526033432e-06,0.15837527742475066
TSMixerX,8,2018-01-02,2018-01-09,5,0.0022010545419846217,0.004008575240209598,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_08.pt,2.84,-0.6094,9.77,14.41330698915612,85997681.59,9.130403962e-06,86655749,0.03133934674,4.24,4.865885702e-06,22.28,20.53265787524151,0.008269096662,0.72,6.83779596e-05,2.6880985e-06,7648.1,3.52,10060849248,24824.01,2695.81,0.013316076662072912,0.11539530606603074,0.0018075206982249765,3.2671310745117065e-06,0.14858579204728484
TSMixerX,8,2018-01-02,2018-01-10,6,0.0023657344305994723,0.004440111223844265,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_08.pt,2.84,-0.6094,9.77,14.41330698915612,85997681.59,9.130403962e-06,86655749,0.03133934674,4.24,4.865885702e-06,22.28,20.53265787524151,0.008269096662,0.72,6.83779596e-05,2.6880985e-06,7648.1,3.52,10060849248,24824.01,2695.81,0.013316076662072912,0.11539530606603074,0.002074376793244793,4.303039080352551e-06,0.16240063418015138
TSMixerX,8,2018-01-02,2018-01-11,7,0.0023204185916613214,0.003378584763209988,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_08.pt,2.84,-0.6094,9.77,14.41330698915612,85997681.59,9.130403962e-06,86655749,0.03133934674,4.24,4.865885702e-06,22.28,20.53265787524151,0.008269096662,0.72,6.83779596e-05,2.6880985e-06,7648.1,3.52,10060849248,24824.01,2695.81,0.013316076662072912,0.11539530606603074,0.0010581661715486665,1.1197156466099618e-06,0.06251126232149673
TSMixerX,8,2018-01-02,2018-01-12,8,0.0023794235267689617,0.004211214855695441,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_08.pt,2.84,-0.6094,9.77,14.41330698915612,85997681.59,9.130403962e-06,86655749,0.03133934674,4.24,4.865885702e-06,22.28,20.53265787524151,0.008269096662,0.72,6.83779596e-05,2.6880985e-06,7648.1,3.52,10060849248,24824.01,2695.81,0.013316076662072912,0.11539530606603074,0.0018317913289264795,3.355459472730238e-06,0.13591361844015237
TSMixerX,8,2018-01-02,2018-01-16,9,0.0031925863306503763,0.004051419518260713,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_08.pt,2.84,-0.6094,9.77,14.41330698915612,85997681.59,9.130403962e-06,86655749,0.03133934674,4.24,4.865885702e-06,22.28,20.53265787524151,0.008269096662,0.72,6.83779596e-05,2.6880985e-06,7648.1,3.52,10060849248,24824.01,2695.81,0.013316076662072912,0.11539530606603074,0.0008588331876103364,7.375944441409313e-07,0.026252690376299848
TSMixerX,8,2018-01-02,2018-01-17,10,0.0035412642056623675,0.004244649451099744,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_08.pt,2.84,-0.6094,9.77,14.41330698915612,85997681.59,9.130403962e-06,86655749,0.03133934674,4.24,4.865885702e-06,22.28,20.53265787524151,0.008269096662,0.72,6.83779596e-05,2.6880985e-06,7648.1,3.52,10060849248,24824.01,2695.81,0.013316076662072912,0.11539530606603074,0.0007033852454373765,4.947508034989984e-07,0.015464420429492032
TSMixerX,8,2018-01-02,2018-01-18,11,0.0035664879477238735,0.004212324576751429,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_08.pt,2.84,-0.6094,9.77,14.41330698915612,85997681.59,9.130403962e-06,86655749,0.03133934674,4.24,4.865885702e-06,22.28,20.53265787524151,0.008269096662,0.72,6.83779596e-05,2.6880985e-06,7648.1,3.52,10060849248,24824.01,2695.81,0.013316076662072912,0.11539530606603074,0.0006458366290275552,4.1710495139367594e-07,0.013112589768915495
TSMixerX,8,2018-01-02,2018-01-19,12,0.003428677050156328,0.0040084962466409016,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_08.pt,2.84,-0.6094,9.77,14.41330698915612,85997681.59,9.130403962e-06,86655749,0.03133934674,4.24,4.865885702e-06,22.28,20.53265787524151,0.008269096662,0.72,6.83779596e-05,2.6880985e-06,7648.1,3.52,10060849248,24824.01,2695.81,0.013316076662072912,0.11539530606603074,0.0005798191964845735,3.3619030061201643e-07,0.011594124249398208
TSMixerX,8,2018-01-02,2018-01-22,13,0.003452419464674724,0.004198952204086305,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_08.pt,2.84,-0.6094,9.77,14.41330698915612,85997681.59,9.130403962e-06,86655749,0.03133934674,4.24,4.865885702e-06,22.28,20.53265787524151,0.008269096662,0.72,6.83779596e-05,2.6880985e-06,7648.1,3.52,10060849248,24824.01,2695.81,0.013316076662072912,0.11539530606603074,0.0007465327394115808,5.573111310133593e-07,0.01796949499153966
TSMixerX,8,2018-01-02,2018-01-23,14,0.003435021269232962,0.004861040508244214,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_08.pt,2.84,-0.6094,9.77,14.41330698915612,85997681.59,9.130403962e-06,86655749,0.03133934674,4.24,4.865885702e-06,22.28,20.53265787524151,0.008269096662,0.72,6.83779596e-05,2.6880985e-06,7648.1,3.52,10060849248,24824.01,2695.81,0.013316076662072912,0.11539530606603074,0.001426019239011252,2.0335308700302302e-06,0.053872603884592696
