model,window_id,origin_date,target_date,horizon,y,y_hat,artifact_path,x_atr_14,x_vix,x_stress_index,x_true_range,x_parkinson,x_bollinger_width_20,x_macd,x_garman_klass,x_spy_volume,x_baa_aaa_spread,x_vix_term_spread,x_volume_medio_22d,x_ret_spx_abs,x_rogers_satchell,x_rv_diaria,x_baa,x_roc_10,x_rsi_14,x_ust_3m,x_spx_low,x_spx_close,x_close_variance_forward_22,x_close_volatility_forward_22,error,squared_error,qlike_loss
TSMixerX,1,2011-01-03,2011-01-04,1,0.0050090604711606765,0.00851042558544895,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_01.pt,9.383827623443905,17.61,-0.2444,18.55,7.73279772e-05,0.0434612536,14.92226571820356,5.815923911e-05,138725191,1.11,3.01,117577725.0,0.01125130963,4.942010607e-05,0.0001265919685,6.04,0.02247751043,75.53149068579087,0.1197,1257.62,1271.87,0.011764620722793401,0.10846483634244511,0.0035013651142882735,1.2259557663554934e-05,0.11862290071355819
TSMixerX,1,2011-01-03,2011-01-05,2,0.005125643703682044,0.009229071952884364,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_01.pt,9.383827623443905,17.61,-0.2444,18.55,7.73279772e-05,0.0434612536,14.92226571820356,5.815923911e-05,138725191,1.11,3.01,117577725.0,0.01125130963,4.942010607e-05,0.0001265919685,6.04,0.02247751043,75.53149068579087,0.1197,1257.62,1271.87,0.011764620722793401,0.10846483634244511,0.0041034282492023195,1.6838123396351612e-05,0.14348256542465831
TSMixerX,1,2011-01-03,2011-01-06,3,0.005211320176283778,0.007370910726080709,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_01.pt,9.383827623443905,17.61,-0.2444,18.55,7.73279772e-05,0.0434612536,14.92226571820356,5.815923911e-05,138725191,1.11,3.01,117577725.0,0.01125130963,4.942010607e-05,0.0001265919685,6.04,0.02247751043,75.53149068579087,0.1197,1257.62,1271.87,0.011764620722793401,0.10846483634244511,0.0021595905497969314,4.6638313427722125e-06,0.05371976142875656
TSMixerX,1,2011-01-03,2011-01-07,4,0.005357848214659459,0.008086025191196368,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_01.pt,9.383827623443905,17.61,-0.2444,18.55,7.73279772e-05,0.0434612536,14.92226571820356,5.815923911e-05,138725191,1.11,3.01,117577725.0,0.01125130963,4.942010607e-05,0.0001265919685,6.04,0.02247751043,75.53149068579087,0.1197,1257.62,1271.87,0.011764620722793401,0.10846483634244511,0.002728176976536909,7.4429496153060716e-06,0.0741807712739806
TSMixerX,1,2011-01-03,2011-01-10,5,0.005440319274201382,0.00791896515581878,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_01.pt,9.383827623443905,17.61,-0.2444,18.55,7.73279772e-05,0.0434612536,14.92226571820356,5.815923911e-05,138725191,1.11,3.01,117577725.0,0.01125130963,4.942010607e-05,0.0001265919685,6.04,0.02247751043,75.53149068579087,0.1197,1257.62,1271.87,0.011764620722793401,0.10846483634244511,0.002478645881617398,6.143685406458888e-06,0.06242154988834203
TSMixerX,1,2011-01-03,2011-01-11,6,0.0054478462245297855,0.008130178254901626,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_01.pt,9.383827623443905,17.61,-0.2444,18.55,7.73279772e-05,0.0434612536,14.92226571820356,5.815923911e-05,138725191,1.11,3.01,117577725.0,0.01125130963,4.942010607e-05,0.0001265919685,6.04,0.02247751043,75.53149068579087,0.1197,1257.62,1271.87,0.011764620722793401,0.10846483634244511,0.0026823320303718404,7.194905121158719e-06,0.0704396011947912
TSMixerX,1,2011-01-03,2011-01-12,7,0.005497559797624746,0.008393125492090443,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_01.pt,9.383827623443905,17.61,-0.2444,18.55,7.73279772e-05,0.0434612536,14.92226571820356,5.815923911e-05,138725191,1.11,3.01,117577725.0,0.01125130963,4.942010607e-05,0.0001265919685,6.04,0.02247751043,75.53149068579087,0.1197,1257.62,1271.87,0.011764620722793401,0.10846483634244511,0.002895565694465697,8.384300690966614e-06,0.07811611487758174
TSMixerX,1,2011-01-03,2011-01-13,8,0.005427454889892706,0.008370389453529945,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_01.pt,9.383827623443905,17.61,-0.2444,18.55,7.73279772e-05,0.0434612536,14.92226571820356,5.815923911e-05,138725191,1.11,3.01,117577725.0,0.01125130963,4.942010607e-05,0.0001265919685,6.04,0.02247751043,75.53149068579087,0.1197,1257.62,1271.87,0.011764620722793401,0.10846483634244511,0.002942934563637239,8.660863845850705e-06,0.08164137582724207
TSMixerX,1,2011-01-03,2011-01-14,9,0.005383293310627093,0.008737766054449382,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_01.pt,9.383827623443905,17.61,-0.2444,18.55,7.73279772e-05,0.0434612536,14.92226571820356,5.815923911e-05,138725191,1.11,3.01,117577725.0,0.01125130963,4.942010607e-05,0.0001265919685,6.04,0.02247751043,75.53149068579087,0.1197,1257.62,1271.87,0.011764620722793401,0.10846483634244511,0.0033544727438222883,1.1252487389046631e-05,0.1004491541045538
TSMixerX,1,2011-01-03,2011-01-18,10,0.005194804498286773,0.008025660875550495,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_01.pt,9.383827623443905,17.61,-0.2444,18.55,7.73279772e-05,0.0434612536,14.92226571820356,5.815923911e-05,138725191,1.11,3.01,117577725.0,0.01125130963,4.942010607e-05,0.0001265919685,6.04,0.02247751043,75.53149068579087,0.1197,1257.62,1271.87,0.011764620722793401,0.10846483634244511,0.0028308563772637225,8.013747828694687e-06,0.08225938548373413
