model,window_id,origin_date,target_date,horizon,y,y_hat,artifact_path,x_true_range,x_parkinson,x_vix_term_spread,x_vix,x_garman_klass,x_ret_spx_abs,x_bollinger_width_20,x_rv_diaria,x_rogers_satchell,x_atr_14,x_spy_volume,x_roc_10,x_macd,x_yield_slope,x_rsi_14,x_ust_10y,x_volume_medio_22d,x_adx_14,x_aaa,x_stress_index,x_spx_close,x_close_variance_forward_22,x_close_volatility_forward_22,error,squared_error,qlike_loss
TSMixerX,14,2024-01-02,2024-01-03,1,0.0071133804359937,0.008853555146548491,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_14.pt,47.16,1.610118463e-05,2.28,13.2,2.222457126e-05,0.005676660893,0.06935501677,3.222447889e-05,2.492811189e-05,37.5172158871955,123007793,0.005009334229,70.00565705401277,-1.4334,64.0780737037818,3.9294,85009907.18,49.86913133005355,4.75,-0.434,4742.83,0.013900260193087871,0.11789936468483565,0.001740174710554791,3.0282080232544505e-06,0.02229055688028292
TSMixerX,14,2024-01-02,2024-01-04,2,0.00737775664748445,0.010303263549392812,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_14.pt,47.16,1.610118463e-05,2.28,13.2,2.222457126e-05,0.005676660893,0.06935501677,3.222447889e-05,2.492811189e-05,37.5172158871955,123007793,0.005009334229,70.00565705401277,-1.4334,64.0780737037818,3.9294,85009907.18,49.86913133005355,4.75,-0.434,4742.83,0.013900260193087871,0.11789936468483565,0.0029255069019083627,8.558590633113466e-06,0.05005124928754778
TSMixerX,14,2024-01-02,2024-01-05,3,0.00705193915976666,0.00945312867378378,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_14.pt,47.16,1.610118463e-05,2.28,13.2,2.222457126e-05,0.005676660893,0.06935501677,3.222447889e-05,2.492811189e-05,37.5172158871955,123007793,0.005009334229,70.00565705401277,-1.4334,64.0780737037818,3.9294,85009907.18,49.86913133005355,4.75,-0.434,4742.83,0.013900260193087871,0.11789936468483565,0.0024011895140171203,5.765711082225774e-06,0.03903309448513004
TSMixerX,14,2024-01-02,2024-01-08,4,0.0071561479626332395,0.00988370917439361,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_14.pt,47.16,1.610118463e-05,2.28,13.2,2.222457126e-05,0.005676660893,0.06935501677,3.222447889e-05,2.492811189e-05,37.5172158871955,123007793,0.005009334229,70.00565705401277,-1.4334,64.0780737037818,3.9294,85009907.18,49.86913133005355,4.75,-0.434,4742.83,0.013900260193087871,0.11789936468483565,0.0027275612117603704,7.4395901638997005e-06,0.046950676703248595
TSMixerX,14,2024-01-02,2024-01-09,5,0.00713747168809483,0.011765185959409336,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_14.pt,47.16,1.610118463e-05,2.28,13.2,2.222457126e-05,0.005676660893,0.06935501677,3.222447889e-05,2.492811189e-05,37.5172158871955,123007793,0.005009334229,70.00565705401277,-1.4334,64.0780737037818,3.9294,85009907.18,49.86913133005355,4.75,-0.434,4742.83,0.013900260193087871,0.11789936468483565,0.004627714271314506,2.1415739376927953e-05,0.10644655764927258
TSMixerX,14,2024-01-02,2024-01-10,6,0.006970150753976596,0.01283601727833165,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_14.pt,47.16,1.610118463e-05,2.28,13.2,2.222457126e-05,0.005676660893,0.06935501677,3.222447889e-05,2.492811189e-05,37.5172158871955,123007793,0.005009334229,70.00565705401277,-1.4334,64.0780737037818,3.9294,85009907.18,49.86913133005355,4.75,-0.434,4742.83,0.013900260193087871,0.11789936468483565,0.005865866524355053,3.4408390081549235e-05,0.15363328059913606
TSMixerX,14,2024-01-02,2024-01-11,7,0.007852586088308477,0.011864155662140522,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_14.pt,47.16,1.610118463e-05,2.28,13.2,2.222457126e-05,0.005676660893,0.06935501677,3.222447889e-05,2.492811189e-05,37.5172158871955,123007793,0.005009334229,70.00565705401277,-1.4334,64.0780737037818,3.9294,85009907.18,49.86913133005355,4.75,-0.434,4742.83,0.013900260193087871,0.11789936468483565,0.004011569573832046,1.609269044569502e-05,0.07455364618563576
TSMixerX,14,2024-01-02,2024-01-12,8,0.008037811072187845,0.012084271712091187,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_14.pt,47.16,1.610118463e-05,2.28,13.2,2.222457126e-05,0.005676660893,0.06935501677,3.222447889e-05,2.492811189e-05,37.5172158871955,123007793,0.005009334229,70.00565705401277,-1.4334,64.0780737037818,3.9294,85009907.18,49.86913133005355,4.75,-0.434,4742.83,0.013900260193087871,0.11789936468483565,0.004046460639903342,1.6373843710286966e-05,0.07289446026058655
TSMixerX,14,2024-01-02,2024-01-16,9,0.008189766157452288,0.0169568989681453,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_14.pt,47.16,1.610118463e-05,2.28,13.2,2.222457126e-05,0.005676660893,0.06935501677,3.222447889e-05,2.492811189e-05,37.5172158871955,123007793,0.005009334229,70.00565705401277,-1.4334,64.0780737037818,3.9294,85009907.18,49.86913133005355,4.75,-0.434,4742.83,0.013900260193087871,0.11789936468483565,0.008767132810693013,7.686261772032998e-05,0.2107648891407774
TSMixerX,14,2024-01-02,2024-01-17,10,0.008422110402733865,0.022658806098816243,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_14.pt,47.16,1.610118463e-05,2.28,13.2,2.222457126e-05,0.005676660893,0.06935501677,3.222447889e-05,2.492811189e-05,37.5172158871955,123007793,0.005009334229,70.00565705401277,-1.4334,64.0780737037818,3.9294,85009907.18,49.86913133005355,4.75,-0.434,4742.83,0.013900260193087871,0.11789936468483565,0.014236695696082378,0.00020268350434285052,0.3613807215235214
