model,window_id,origin_date,target_date,horizon,y,y_hat,artifact_path,x_vix,x_spx_close,x_close_variance_forward_22,x_close_volatility_forward_22,error,squared_error,qlike_loss
RW,5,2015-01-02,2015-01-05,1,0.014301566440842331,0.01368820226430062,,17.79,2058.2,0.02998287110122845,0.17315562682520153,-0.0006133641765417117,3.762156130646921e-07,0.0009749362401239026
RW,5,2015-01-02,2015-01-06,2,0.01561831176224052,0.01368820226430062,,17.79,2058.2,0.02998287110122845,0.17315562682520153,-0.0019301094979399004,3.7253226740378145e-06,0.009095587975621822
RW,5,2015-01-02,2015-01-07,3,0.015779675122665492,0.01368820226430062,,17.79,2058.2,0.02998287110122845,0.17315562682520153,-0.0020914728583648727,4.3742587172769305e-06,0.010605416580284022
RW,5,2015-01-02,2015-01-08,4,0.01633699883493415,0.01368820226430062,,17.79,2058.2,0.02998287110122845,0.17315562682520153,-0.002648796570633532,7.016123272599959e-06,0.01661136628154214
RW,5,2015-01-02,2015-01-09,5,0.016494950340411714,0.01368820226430062,,17.79,2058.2,0.02998287110122845,0.17315562682520153,-0.0028067480761110944,7.877834762753329e-06,0.01852871889251695
RW,5,2015-01-02,2015-01-12,6,0.01566038390111897,0.01368820226430062,,17.79,2058.2,0.02998287110122845,0.17315562682520153,-0.0019721816368183515,3.889500408603512e-06,0.009479045595979674
RW,5,2015-01-02,2015-01-13,7,0.018011539520546446,0.01368820226430062,,17.79,2058.2,0.02998287110122845,0.17315562682520153,-0.004323337256245827,1.869124503124319e-05,0.04136572743671807
RW,5,2015-01-02,2015-01-14,8,0.01844084872488741,0.01368820226430062,,17.79,2058.2,0.02998287110122845,0.17315562682520153,-0.00475264646058679,2.2587648379328145e-05,0.04917356789727689
RW,5,2015-01-02,2015-01-15,9,0.018686604919314988,0.01368820226430062,,17.79,2058.2,0.02998287110122845,0.17315562682520153,-0.004998402655014368,2.4984029101654683e-05,0.05388872785398169
RW,5,2015-01-02,2015-01-16,10,0.01790359558528494,0.01368820226430062,,17.79,2058.2,0.02998287110122845,0.17315562682520153,-0.00421539332098432,1.7769540850599216e-05,0.039490890736912476
RW,5,2015-01-02,2015-01-20,11,0.015311646248454396,0.01368820226430062,,17.79,2058.2,0.02998287110122845,0.17315562682520153,-0.0016234439841537763,2.635570369685087e-06,0.006522276263168925
RW,5,2015-01-02,2015-01-21,12,0.015026569944245874,0.01368820226430062,,17.79,2058.2,0.02998287110122845,0.17315562682520153,-0.0013383676799452546,1.7912280467220435e-06,0.004489620042361642
RW,5,2015-01-02,2015-01-22,13,0.01535338243241501,0.01368820226430062,,17.79,2058.2,0.02998287110122845,0.17315562682520153,-0.001665180168114391,2.772824992281471e-06,0.006849266629955331
RW,5,2015-01-02,2015-01-23,14,0.015109001460262648,0.01368820226430062,,17.79,2058.2,0.02998287110122845,0.17315562682520153,-0.0014207991959620282,2.018670355246346e-06,0.005040979289795633
RW,5,2015-01-02,2015-01-26,15,0.015453018148703278,0.01368820226430062,,17.79,2058.2,0.02998287110122845,0.17315562682520153,-0.0017648158844026582,3.1145751058399365e-06,0.007659684872987738
RW,5,2015-01-02,2015-01-27,16,0.016380598538715242,0.01368820226430062,,17.79,2058.2,0.02998287110122845,0.17315562682520153,-0.0026923962744146226,7.24899769848174e-06,0.017131353492065404
RW,5,2015-01-02,2015-01-28,17,0.01767451707054977,0.01368820226430062,,17.79,2058.2,0.02998287110122845,0.17315562682520153,-0.003986314806249152,1.5890705734521216e-05,0.03563309423276073
RW,5,2015-01-02,2015-01-29,18,0.01899439366262889,0.01368820226430062,,17.79,2058.2,0.02998287110122845,0.17315562682520153,-0.0053061913983282714,2.8155667155692938e-05,0.060037510480394074
RW,5,2015-01-02,2015-01-30,19,0.01947790043034146,0.01368820226430062,,17.79,2058.2,0.02998287110122845,0.17315562682520153,-0.00578969816604084,3.352060485385667e-05,0.07022374714222979
RW,5,2015-01-02,2015-02-02,20,0.02137700133561727,0.01368820226430062,,17.79,2058.2,0.02998287110122845,0.17315562682520153,-0.00768879907131665,5.911763115907978e-05,0.1159285983611007
RW,5,2015-01-02,2015-02-03,21,0.021292055817805845,0.01368820226430062,,17.79,2058.2,0.02998287110122845,0.17315562682520153,-0.007603853553505225,5.781858886315404e-05,0.11370445486136149
RW,5,2015-01-02,2015-02-04,22,0.020828360989592714,0.01368820226430062,,17.79,2058.2,0.02998287110122845,0.17315562682520153,-0.007140158725292094,5.0981866622364825e-05,0.10184741494622696
RW,5,2015-01-05,2015-01-06,1,0.01561831176224052,0.014301566440842331,,19.92,2020.58,0.027285708100629892,0.1651838615017517,-0.0013167453213981887,1.7338182414240192e-06,0.003995022752390165
RW,5,2015-01-05,2015-01-07,2,0.015779675122665492,0.014301566440842331,,19.92,2020.58,0.027285708100629892,0.1651838615017517,-0.001478108681823161,2.1848052752810023e-06,0.004999267364641291
RW,5,2015-01-05,2015-01-08,3,0.01633699883493415,0.014301566440842331,,19.92,2020.58,0.027285708100629892,0.1651838615017517,-0.00203543239409182,4.142985030918358e-06,0.009259009334652513
