model,window_id,origin_date,target_date,horizon,y,y_hat,artifact_path,x_vix,x_spx_close,x_close_variance_forward_22,x_close_volatility_forward_22,error,squared_error,qlike_loss
HAR,10,2020-01-02,2020-01-03,1,0.0065927261298155794,0.005411535215648552,/content/daily_h22_run/results/models/har/har_window_10.json,12.47,3257.85,0.015239675305380411,0.12344907980775074,-0.0011811909141670272,1.3952119757107374e-06,0.020838681081548405
HAR,10,2020-01-02,2020-01-06,2,0.005795039013963178,0.005506345680124921,/content/daily_h22_run/results/models/har/har_window_10.json,12.47,3257.85,0.015239675305380411,0.12344907980775074,-0.000288693333838257,8.334384100264728e-08,0.0013281844125747622
HAR,10,2020-01-02,2020-01-07,3,0.005706868965995078,0.0055938230356495046,/content/daily_h22_run/results/models/har/har_window_10.json,12.47,3257.85,0.015239675305380411,0.12344907980775074,-0.00011304593034557314,1.2779382367696173e-08,0.00020149300958816063
HAR,10,2020-01-02,2020-01-08,4,0.005868730221199527,0.005684951412910501,/content/daily_h22_run/results/models/har/har_window_10.json,12.47,3257.85,0.015239675305380411,0.12344907980775074,-0.00018377880828902675,3.3774650376134844e-08,0.0005115302885703166
HAR,10,2020-01-02,2020-01-09,5,0.005661509171240434,0.005778301421426506,/content/daily_h22_run/results/models/har/har_window_10.json,12.47,3257.85,0.015239675305380411,0.12344907980775074,0.00011679225018607249,1.364042970352615e-08,0.0002070616122284985
HAR,10,2020-01-02,2020-01-10,6,0.005727900096279286,0.005870398102051439,/content/daily_h22_run/results/models/har/har_window_10.json,12.47,3257.85,0.015239675305380411,0.12344907980775074,0.00014249800577215317,2.0305681649040598e-08,0.0002994695281601789
HAR,10,2020-01-02,2020-01-13,7,0.0056771819864483075,0.00596485360962673,/content/daily_h22_run/results/models/har/har_window_10.json,12.47,3257.85,0.015239675305380411,0.12344907980775074,0.0002876716231784227,8.275496278210841e-08,0.0012017573174119
HAR,10,2020-01-02,2020-01-14,8,0.00579914109773892,0.006064757710083977,/content/daily_h22_run/results/models/har/har_window_10.json,12.47,3257.85,0.015239675305380411,0.12344907980775074,0.00026561661234505724,7.055218475366441e-08,0.0009880334352827536
HAR,10,2020-01-02,2020-01-15,9,0.005516682615673247,0.00616451440502821,/content/daily_h22_run/results/models/har/har_window_10.json,12.47,3257.85,0.015239675305380411,0.12344907980775074,0.0006478317893549631,4.196860272988533e-07,0.005942181010072156
HAR,10,2020-01-02,2020-01-16,10,0.005329827735492985,0.006271694901498516,/content/daily_h22_run/results/models/har/har_window_10.json,12.47,3257.85,0.015239675305380411,0.12344907980775074,0.0009418671660055312,8.87113758399291e-07,0.012550266519889552
HAR,10,2020-01-02,2020-01-17,11,0.005120165090731022,0.006380258472289118,/content/daily_h22_run/results/models/har/har_window_10.json,12.47,3257.85,0.015239675305380411,0.12344907980775074,0.0012600933815580962,1.5878353302465178e-06,0.02252312825048386
HAR,10,2020-01-02,2020-01-21,12,0.005287338162544609,0.006486688264782511,/content/daily_h22_run/results/models/har/har_window_10.json,12.47,3257.85,0.015239675305380411,0.12344907980775074,0.0011993501022379022,1.4384406677380665e-06,0.019543125514993598
HAR,10,2020-01-02,2020-01-22,13,0.005465607881330565,0.006599575349920732,/content/daily_h22_run/results/models/har/har_window_10.json,12.47,3257.85,0.015239675305380411,0.12344907980775074,0.0011339674685901672,1.2858822198207917e-06,0.01670565073117336
HAR,10,2020-01-02,2020-01-23,14,0.005825525656842202,0.006706041782471421,/content/daily_h22_run/results/models/har/har_window_10.json,12.47,3257.85,0.015239675305380411,0.12344907980775074,0.0008805161256292193,7.753086474930911e-07,0.009457727106232383
HAR,10,2020-01-02,2020-01-24,15,0.006399115952621742,0.0068063265796639875,/content/daily_h22_run/results/models/har/har_window_10.json,12.47,3257.85,0.015239675305380411,0.12344907980775074,0.00040721062704224525,1.6582049477613854e-07,0.0018644578183346638
HAR,10,2020-01-02,2020-01-27,16,0.00920673295530138,0.006904857951680454,/content/daily_h22_run/results/models/har/har_window_10.json,12.47,3257.85,0.015239675305380411,0.12344907980775074,-0.0023018750036209257,5.298628532294837e-06,0.045660518749246926
HAR,10,2020-01-02,2020-01-28,17,0.009734024217647803,0.0069962109416182505,/content/daily_h22_run/results/models/har/har_window_10.json,12.47,3257.85,0.015239675305380411,0.12344907980775074,-0.002737813276029553,7.495621534403673e-06,0.06106931490885836
HAR,10,2020-01-02,2020-01-29,18,0.010067159190879547,0.007083075096977545,/content/daily_h22_run/results/models/har/har_window_10.json,12.47,3257.85,0.015239675305380411,0.12344907980775074,-0.002984084093902002,8.904757879478933e-06,0.06972740790519327
HAR,10,2020-01-02,2020-01-30,19,0.010841090066126095,0.007137216129259524,/content/daily_h22_run/results/models/har/har_window_10.json,12.47,3257.85,0.015239675305380411,0.12344907980775074,-0.003703873936866571,1.3718682140199473e-05,0.1009314413486253
HAR,10,2020-01-02,2020-01-31,20,0.011896632420088624,0.007152243394358946,/content/daily_h22_run/results/models/har/har_window_10.json,12.47,3257.85,0.015239675305380411,0.12344907980775074,-0.004744389025729679,2.250922722746421e-05,0.15451348007947785
