model,window_id,origin_date,target_date,horizon,y,y_hat,artifact_path,x_true_range,x_parkinson,x_vix_term_spread,x_vix,x_garman_klass,x_ret_spx_abs,x_bollinger_width_20,x_rv_diaria,x_atr_14,x_rogers_satchell,x_macd,x_roc_10,x_spy_volume,x_cpi,x_aaa,x_ndx_close,x_ust_10y,x_yield_slope,x_spx_high,x_gold_close,x_spx_close,x_close_variance_forward_22,x_close_volatility_forward_22,error,squared_error,qlike_loss
TSMixerX,13,2023-01-03,2023-01-04,1,0.03428227627913526,0.02255326797753913,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_13.pt,84.13,0.0001734620615,1.68,22.9,0.0002181939541,0.004008544391,0.07584685939,1.606842813e-05,67.61433328686738,0.0002125016664,-29.98590045493893,-0.007325379767,74850731,298.786,4.69,10862.64,3.7389,-0.6164,3878.46,1839.48,3824.14,0.030704528421620334,0.17522707673650306,-0.011729008301596126,0.00013756963573891083,0.10130952107779945
TSMixerX,13,2023-01-03,2023-01-05,2,0.03288953052128963,0.02384420352050085,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_13.pt,84.13,0.0001734620615,1.68,22.9,0.0002181939541,0.004008544391,0.07584685939,1.606842813e-05,67.61433328686738,0.0002125016664,-29.98590045493893,-0.007325379767,74850731,298.786,4.69,10862.64,3.7389,-0.6164,3878.46,1839.48,3824.14,0.030704528421620334,0.17522707673650306,-0.009045327000788781,8.181794055119856e-05,0.05773795379956481
TSMixerX,13,2023-01-03,2023-01-06,3,0.034062972144680376,0.026306245786498417,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_13.pt,84.13,0.0001734620615,1.68,22.9,0.0002181939541,0.004008544391,0.07584685939,1.606842813e-05,67.61433328686738,0.0002125016664,-29.98590045493893,-0.007325379767,74850731,298.786,4.69,10862.64,3.7389,-0.6164,3878.46,1839.48,3824.14,0.030704528421620334,0.17522707673650306,-0.007756726358181958,6.016680379571475e-05,0.036457996401714876
TSMixerX,13,2023-01-03,2023-01-09,4,0.03413736800581105,0.02566731701297492,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_13.pt,84.13,0.0001734620615,1.68,22.9,0.0002181939541,0.004008544391,0.07584685939,1.606842813e-05,67.61433328686738,0.0002125016664,-29.98590045493893,-0.007325379767,74850731,298.786,4.69,10862.64,3.7389,-0.6164,3878.46,1839.48,3824.14,0.030704528421620334,0.17522707673650306,-0.008470050992836129,7.17417638212443e-05,0.04481947608534442
TSMixerX,13,2023-01-03,2023-01-10,5,0.03409010457908161,0.026230796344005193,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_13.pt,84.13,0.0001734620615,1.68,22.9,0.0002181939541,0.004008544391,0.07584685939,1.606842813e-05,67.61433328686738,0.0002125016664,-29.98590045493893,-0.007325379767,74850731,298.786,4.69,10862.64,3.7389,-0.6164,3878.46,1839.48,3824.14,0.030704528421620334,0.17522707673650306,-0.007859308235076419,6.176872593394002e-05,0.037548411454324526
TSMixerX,13,2023-01-03,2023-01-11,6,0.03393982797012345,0.03448809824107891,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_13.pt,84.13,0.0001734620615,1.68,22.9,0.0002181939541,0.004008544391,0.07584685939,1.606842813e-05,67.61433328686738,0.0002125016664,-29.98590045493893,-0.007325379767,74850731,298.786,4.69,10862.64,3.7389,-0.6164,3878.46,1839.48,3824.14,0.030704528421620334,0.17522707673650306,0.000548270270955456,3.006002900135691e-07,0.0001277186877266523
TSMixerX,13,2023-01-03,2023-01-12,7,0.03450375433507931,0.03448058113423653,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_13.pt,84.13,0.0001734620615,1.68,22.9,0.0002181939541,0.004008544391,0.07584685939,1.606842813e-05,67.61433328686738,0.0002125016664,-29.98590045493893,-0.007325379767,74850731,298.786,4.69,10862.64,3.7389,-0.6164,3878.46,1839.48,3824.14,0.030704528421620334,0.17522707673650306,-2.317320084278124e-05,5.369972372998771e-10,2.2573472580056375e-07
TSMixerX,13,2023-01-03,2023-01-13,8,0.03528067985076386,0.02971591314341044,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_13.pt,84.13,0.0001734620615,1.68,22.9,0.0002181939541,0.004008544391,0.07584685939,1.606842813e-05,67.61433328686738,0.0002125016664,-29.98590045493893,-0.007325379767,74850731,298.786,4.69,10862.64,3.7389,-0.6164,3878.46,1839.48,3824.14,0.030704528421620334,0.17522707673650306,-0.005564766707353418,3.0966628507269e-05,0.015612743554234143
TSMixerX,13,2023-01-03,2023-01-17,9,0.028083052231451605,0.030108586531808562,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_13.pt,84.13,0.0001734620615,1.68,22.9,0.0002181939541,0.004008544391,0.07584685939,1.606842813e-05,67.61433328686738,0.0002125016664,-29.98590045493893,-0.007325379767,74850731,298.786,4.69,10862.64,3.7389,-0.6164,3878.46,1839.48,3824.14,0.030704528421620334,0.17522707673650306,0.002025534300356957,4.102789201922548e-06,0.002369819737900958
TSMixerX,13,2023-01-03,2023-01-18,10,0.027157569097948368,0.03170966901840083,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_13.pt,84.13,0.0001734620615,1.68,22.9,0.0002181939541,0.004008544391,0.07584685939,1.606842813e-05,67.61433328686738,0.0002125016664,-29.98590045493893,-0.007325379767,74850731,298.786,4.69,10862.64,3.7389,-0.6164,3878.46,1839.48,3824.14,0.030704528421620334,0.17522707673650306,0.004552099920452465,2.0721613685783336e-05,0.011410275288385563
