model,window_id,origin_date,target_date,horizon,y,y_hat,artifact_path,x_vix,x_spx_close,x_close_variance_forward_22,x_close_volatility_forward_22,error,squared_error,qlike_loss
HAR,2,2012-01-03,2012-01-04,1,0.022193942431988408,0.02155441648432853,/content/daily_h22_run/results/models/har/har_window_02.json,22.97,1277.06,0.007971514063730402,0.08928333586806891,-0.0006395259476598796,4.08993437730267e-07,0.0004316460133051425
HAR,2,2012-01-03,2012-01-05,2,0.02199147068519726,0.021051684700412056,/content/daily_h22_run/results/models/har/har_window_02.json,22.97,1277.06,0.007971514063730402,0.08928333586806891,-0.0009397859847852033,8.831976971986944e-07,0.0009677502636820101
HAR,2,2012-01-03,2012-01-06,3,0.020751295306165894,0.020630960934056294,/content/daily_h22_run/results/models/har/har_window_02.json,22.97,1277.06,0.007971514063730402,0.08928333586806891,-0.0001203343721095998,1.4480361111011629e-08,1.694438580779334e-05
HAR,2,2012-01-03,2012-01-09,4,0.02035416703669899,0.020235628757191836,/content/daily_h22_run/results/models/har/har_window_02.json,22.97,1277.06,0.007971514063730402,0.08928333586806891,-0.0001185382795071549,1.4051323708516379e-08,1.7090781681217138e-05
HAR,2,2012-01-03,2012-01-10,5,0.01916801513372595,0.019896917098916375,/content/daily_h22_run/results/models/har/har_window_02.json,22.97,1277.06,0.007971514063730402,0.08928333586806891,0.0007289019651904247,5.31298074858463e-07,0.0006878738430602382
HAR,2,2012-01-03,2012-01-11,6,0.01804847433779646,0.01959435947285147,/content/daily_h22_run/results/models/har/har_window_02.json,22.97,1277.06,0.007971514063730402,0.08928333586806891,0.0015458851350550092,2.389760850784044e-06,0.0032861908866068656
HAR,2,2012-01-03,2012-01-12,7,0.01763764748528094,0.019304552751257992,/content/daily_h22_run/results/models/har/har_window_02.json,22.97,1277.06,0.007971514063730402,0.08928333586806891,0.0016669052659770527,2.7785731657420287e-06,0.003957503180903821
HAR,2,2012-01-03,2012-01-13,8,0.016777892140285137,0.019030952847486682,/content/daily_h22_run/results/models/har/har_window_02.json,22.97,1277.06,0.007971514063730402,0.08928333586806891,0.002253060707201545,5.076282550335526e-06,0.007615400255391203
HAR,2,2012-01-03,2012-01-17,9,0.014543475777109129,0.018782651664224045,/content/daily_h22_run/results/models/har/har_window_02.json,22.97,1277.06,0.007971514063730402,0.08928333586806891,0.004239175887114916,1.7970612201896534e-05,0.0300948190939736
HAR,2,2012-01-03,2012-01-18,10,0.014329648402262812,0.01857441450193875,/content/daily_h22_run/results/models/har/har_window_02.json,22.97,1277.06,0.007971514063730402,0.08928333586806891,0.004244766099675936,1.801803924095806e-05,0.03092677801241228
HAR,2,2012-01-03,2012-01-19,11,0.013495018900111547,0.018393513762710395,/content/daily_h22_run/results/models/har/har_window_02.json,22.97,1277.06,0.007971514063730402,0.08928333586806891,0.004898494862598848,2.3995251918907308e-05,0.04336101572022377
HAR,2,2012-01-03,2012-01-20,12,0.012551152107935778,0.018242711225228504,/content/daily_h22_run/results/models/har/har_window_02.json,22.97,1277.06,0.007971514063730402,0.08928333586806891,0.005691559117292726,3.239384518563796e-05,0.061962295095004505
HAR,2,2012-01-03,2012-01-23,13,0.011634931683032264,0.018121736928021496,/content/daily_h22_run/results/models/har/har_window_02.json,22.97,1277.06,0.007971514063730402,0.08928333586806891,0.006486805244989232,4.207864228641981e-05,0.0851430811617182
HAR,2,2012-01-03,2012-01-24,14,0.010671827282529562,0.01801011971922362,/content/daily_h22_run/results/models/har/har_window_02.json,22.97,1277.06,0.007971514063730402,0.08928333586806891,0.007338292436694057,5.385053588644121e-05,0.11587266176713662
HAR,2,2012-01-03,2012-01-25,15,0.010508679311980233,0.017932195122123518,/content/daily_h22_run/results/models/har/har_window_02.json,22.97,1277.06,0.007971514063730402,0.08928333586806891,0.007423515810143284,5.51085869834473e-05,0.12041922015270567
HAR,2,2012-01-03,2012-01-26,16,0.011439841307325697,0.01789325560355859,/content/daily_h22_run/results/models/har/har_window_02.json,22.97,1277.06,0.007971514063730402,0.08928333586806891,0.006453414296232892,4.164655607882307e-05,0.08665991660930294
