model,window_id,origin_date,target_date,horizon,y,y_hat,artifact_path,x_vix,x_spx_close,x_close_variance_forward_22,x_close_volatility_forward_22,error,squared_error,qlike_loss
VIX,5,2015-01-02,2015-01-05,1,0.014301566440842331,0.03164841,,17.79,2058.2,0.02998287110122845,0.17315562682520153,0.017346843559157672,0.00030091298146589,0.24620777756408496
VIX,5,2015-01-02,2015-01-06,2,0.01561831176224052,0.03164841,,17.79,2058.2,0.02998287110122845,0.17315562682520153,0.016030098237759482,0.00025696404951221967,0.19973821120118362
VIX,5,2015-01-02,2015-01-07,3,0.015779675122665492,0.03164841,,17.79,2058.2,0.02998287110122845,0.17315562682520153,0.01586873487733451,0.0002518167466071327,0.1945581652374393
VIX,5,2015-01-02,2015-01-08,4,0.01633699883493415,0.03164841,,17.79,2058.2,0.02998287110122845,0.17315562682520153,0.01531141116506585,0.00023443931186570318,0.1774583385142563
VIX,5,2015-01-02,2015-01-09,5,0.016494950340411714,0.03164841,,17.79,2058.2,0.02998287110122845,0.17315562682520153,0.015153459659588288,0.00022962733965476958,0.17282726676946059
VIX,5,2015-01-02,2015-01-12,6,0.01566038390111897,0.03164841,,17.79,2058.2,0.02998287110122845,0.17315562682520153,0.01598802609888103,0.000255616978538501,0.19837742321844942
VIX,5,2015-01-02,2015-01-13,7,0.018011539520546446,0.03164841,,17.79,2058.2,0.02998287110122845,0.17315562682520153,0.013636870479453556,0.00018596423647339184,0.13278884088924636
VIX,5,2015-01-02,2015-01-14,8,0.01844084872488741,0.03164841,,17.79,2058.2,0.02998287110122845,0.17315562682520153,0.013207561275112592,0.00017443967483585376,0.12279818780988694
VIX,5,2015-01-02,2015-01-15,9,0.018686604919314988,0.03164841,,17.79,2058.2,0.02998287110122845,0.17315562682520153,0.012961805080685014,0.00016800839094967184,0.11732467723568862
VIX,5,2015-01-02,2015-01-16,10,0.01790359558528494,0.03164841,,17.79,2058.2,0.02998287110122845,0.17315562682520153,0.013744814414715062,0.00018891992329495895,0.13538919227066204
VIX,5,2015-01-02,2015-01-20,11,0.015311646248454396,0.03164841,,17.79,2058.2,0.02998287110122845,0.17315562682520153,0.016336763751545608,0.0002668898498738145,0.20987877589959636
VIX,5,2015-01-02,2015-01-21,12,0.015026569944245874,0.03164841,,17.79,2058.2,0.02998287110122845,0.17315562682520153,0.01662184005575413,0.00027628556683907245,0.21966494095616707
VIX,5,2015-01-02,2015-01-22,13,0.01535338243241501,0.03164841,,17.79,2058.2,0.02998287110122845,0.17315562682520153,0.01629502756758499,0.00026552792342835477,0.208475448832951
VIX,5,2015-01-02,2015-01-23,14,0.015109001460262648,0.03164841,,17.79,2058.2,0.02998287110122845,0.17315562682520153,0.016539408539737354,0.00027355203484433693,0.21679881744181762
VIX,5,2015-01-02,2015-01-26,15,0.015453018148703278,0.03164841,,17.79,2058.2,0.02998287110122845,0.17315562682520153,0.016195391851296724,0.0002622907172170483,0.20515512486321352
VIX,5,2015-01-02,2015-01-27,16,0.016380598538715242,0.03164841,,17.79,2058.2,0.02998287110122845,0.17315562682520153,0.01526781146128476,0.00023310606681733827,0.1761707496508369
VIX,5,2015-01-02,2015-01-28,17,0.01767451707054977,0.03164841,,17.79,2058.2,0.02998287110122845,0.17315562682520153,0.01397389292945023,0.00019526968360373913,0.1410286355727406
VIX,5,2015-01-02,2015-01-29,18,0.01899439366262889,0.03164841,,17.79,2058.2,0.02998287110122845,0.17315562682520153,0.01265401633737111,0.00016012412946645499,0.11071301609770123
