model,window_id,origin_date,target_date,horizon,y,y_hat,artifact_path,x_parkinson,x_vix_term_spread,x_vix,x_true_range,x_garman_klass,x_bollinger_width_20,x_ret_spx_abs,x_rv_diaria,x_rogers_satchell,x_atr_14,x_spy_volume,x_roc_10,x_macd,x_rsi_14,x_volume_medio_22d,x_adx_14,x_cpi,x_gold_close,x_yield_slope,x_stress_index,x_spx_close,x_close_variance_forward_22,x_close_volatility_forward_22,error,squared_error,qlike_loss
TSMixerX,15,2025-01-02,2025-01-03,1,0.015351595008311389,0.012263182310059769,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_15.pt,0.0001161557744,1.4,17.93,105.56,0.0001475921485,0.05491881754,0.002226349793,4.956633399e-06,0.000144474769,69.97798395371699,50203975,-0.03008952816,-14.2197289181795,40.07734994849849,50726499.55,21.68607539237247,316.528,2657.9,0.2529,-0.492,5868.55,0.018813403303348297,0.13716196011776843,-0.00308841269825162,9.538292994721854e-06,0.027226398269687202
TSMixerX,15,2025-01-02,2025-01-06,2,0.016330582970938295,0.011610145532707316,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_15.pt,0.0001161557744,1.4,17.93,105.56,0.0001475921485,0.05491881754,0.002226349793,4.956633399e-06,0.000144474769,69.97798395371699,50203975,-0.03008952816,-14.2197289181795,40.07734994849849,50726499.55,21.68607539237247,316.528,2657.9,0.2529,-0.492,5868.55,0.018813403303348297,0.13716196011776843,-0.0047204374382309785,2.2282529608252643e-05,0.0654183871842906
TSMixerX,15,2025-01-02,2025-01-07,3,0.017191309306898928,0.011861030615213427,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_15.pt,0.0001161557744,1.4,17.93,105.56,0.0001475921485,0.05491881754,0.002226349793,4.956633399e-06,0.000144474769,69.97798395371699,50203975,-0.03008952816,-14.2197289181795,40.07734994849849,50726499.55,21.68607539237247,316.528,2657.9,0.2529,-0.492,5868.55,0.018813403303348297,0.13716196011776843,-0.005330278691685501,2.84118709310365e-05,0.07824853252372121
TSMixerX,15,2025-01-02,2025-01-08,4,0.01765979653480675,0.011795577934737943,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_15.pt,0.0001161557744,1.4,17.93,105.56,0.0001475921485,0.05491881754,0.002226349793,4.956633399e-06,0.000144474769,69.97798395371699,50203975,-0.03008952816,-14.2197289181795,40.07734994849849,50726499.55,21.68607539237247,316.528,2657.9,0.2529,-0.492,5868.55,0.018813403303348297,0.13716196011776843,-0.005864218600068806,3.438905978939295e-05,0.09358802314894143
TSMixerX,15,2025-01-02,2025-01-10,5,0.018497121296195657,0.01296527886453893,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_15.pt,0.0001161557744,1.4,17.93,105.56,0.0001475921485,0.05491881754,0.002226349793,4.956633399e-06,0.000144474769,69.97798395371699,50203975,-0.03008952816,-14.2197289181795,40.07734994849849,50726499.55,21.68607539237247,316.528,2657.9,0.2529,-0.492,5868.55,0.018813403303348297,0.13716196011776843,-0.005531842431656726,3.06012806886778e-05,0.0713257177533142
TSMixerX,15,2025-01-02,2025-01-13,6,0.019544929417368975,0.015844612943084584,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_15.pt,0.0001161557744,1.4,17.93,105.56,0.0001475921485,0.05491881754,0.002226349793,4.956633399e-06,0.000144474769,69.97798395371699,50203975,-0.03008952816,-14.2197289181795,40.07734994849849,50726499.55,21.68607539237247,316.528,2657.9,0.2529,-0.492,5868.55,0.018813403303348297,0.13716196011776843,-0.0037003164742843916,1.369234200986047e-05,0.0236515040614087
TSMixerX,15,2025-01-02,2025-01-14,7,0.02029884315112693,0.014159077894985064,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_15.pt,0.0001161557744,1.4,17.93,105.56,0.0001475921485,0.05491881754,0.002226349793,4.956633399e-06,0.000144474769,69.97798395371699,50203975,-0.03008952816,-14.2197289181795,40.07734994849849,50726499.55,21.68607539237247,316.528,2657.9,0.2529,-0.492,5868.55,0.018813403303348297,0.13716196011776843,-0.0061397652561418666,3.76967174005268e-05,0.07341954819229746
TSMixerX,15,2025-01-02,2025-01-15,8,0.02156743843858285,0.013562754584576574,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_15.pt,0.0001161557744,1.4,17.93,105.56,0.0001475921485,0.05491881754,0.002226349793,4.956633399e-06,0.000144474769,69.97798395371699,50203975,-0.03008952816,-14.2197289181795,40.07734994849849,50726499.55,21.68607539237247,316.528,2657.9,0.2529,-0.492,5868.55,0.018813403303348297,0.13716196011776843,-0.008004683854006274,6.407496360258874e-05,0.12633873048089805
TSMixerX,15,2025-01-02,2025-01-16,9,0.0215778621469139,0.01434559766961016,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_15.pt,0.0001161557744,1.4,17.93,105.56,0.0001475921485,0.05491881754,0.002226349793,4.956633399e-06,0.000144474769,69.97798395371699,50203975,-0.03008952816,-14.2197289181795,40.07734994849849,50726499.55,21.68607539237247,316.528,2657.9,0.2529,-0.492,5868.55,0.018813403303348297,0.13716196011776843,-0.00723226447730374,5.230564946966955e-05,0.09592044291163893
TSMixerX,15,2025-01-02,2025-01-17,10,0.022457177383210698,0.017749753908648736,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_15.pt,0.0001161557744,1.4,17.93,105.56,0.0001475921485,0.05491881754,0.002226349793,4.956633399e-06,0.000144474769,69.97798395371699,50203975,-0.03008952816,-14.2197289181795,40.07734994849849,50726499.55,21.68607539237247,316.528,2657.9,0.2529,-0.492,5868.55,0.018813403303348297,0.13716196011776843,-0.004707423474561961,2.215983576885701e-05,0.029972016438425397
