model,window_id,origin_date,target_date,horizon,y,y_hat,artifact_path,x_vix,x_atr_14,x_bollinger_width_20,x_baa,x_stress_index,x_true_range,x_aaa,x_dxy,x_parkinson,x_macd,x_garman_klass,x_cpi,x_rsi_14,x_rogers_satchell,x_ret_spx_abs,x_gold_close,x_industrial_production,x_wti_close,x_rv_diaria,x_vix_term_spread,x_spx_close,x_close_variance_forward_22,x_close_volatility_forward_22,error,squared_error,qlike_loss
TSMixerX,0,2010-01-04,2010-01-05,1,0.009144760826926782,0.007194424216552222,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_00.pt,20.04,11.07676046997957,0.04289121372,6.39,-0.2354,18.77,5.35,77.525,8.536007495e-05,8.642549736277942,3.600522627e-05,217.234,62.31419387019199,1.208001188e-05,0.01590724265,1121.28,88.0221,81.51,0.0002530403687,2.73,1132.98,0.03612149539965982,0.19005655842316999,-0.0019503366103745604,3.8038128937673297e-06,0.03121520434619862
TSMixerX,0,2010-01-04,2010-01-06,2,0.008028479978484486,0.007619908415734869,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_00.pt,20.04,11.07676046997957,0.04289121372,6.39,-0.2354,18.77,5.35,77.525,8.536007495e-05,8.642549736277942,3.600522627e-05,217.234,62.31419387019199,1.208001188e-05,0.01590724265,1121.28,88.0221,81.51,0.0002530403687,2.73,1132.98,0.03612149539965982,0.19005655842316999,-0.0004085715627496168,1.6693072188766405e-07,0.00138809325878686
TSMixerX,0,2010-01-04,2010-01-07,3,0.006206039422328118,0.006814556076203097,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_00.pt,20.04,11.07676046997957,0.04289121372,6.39,-0.2354,18.77,5.35,77.525,8.536007495e-05,8.642549736277942,3.600522627e-05,217.234,62.31419387019199,1.208001188e-05,0.01590724265,1121.28,88.0221,81.51,0.0002530403687,2.73,1132.98,0.03612149539965982,0.19005655842316999,0.0006085166538749793,3.702925180432013e-07,0.00424141053077931
TSMixerX,0,2010-01-04,2010-01-08,4,0.006113648824584064,0.005974064756054807,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_00.pt,20.04,11.07676046997957,0.04289121372,6.39,-0.2354,18.77,5.35,77.525,8.536007495e-05,8.642549736277942,3.600522627e-05,217.234,62.31419387019199,1.208001188e-05,0.01590724265,1121.28,88.0221,81.51,0.0002530403687,2.73,1132.98,0.03612149539965982,0.19005655842316999,-0.00013958406852925768,1.9483712187180502e-08,0.00026878309627798025
TSMixerX,0,2010-01-04,2010-01-11,5,0.005712794308472409,0.006460225857217704,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_00.pt,20.04,11.07676046997957,0.04289121372,6.39,-0.2354,18.77,5.35,77.525,8.536007495e-05,8.642549736277942,3.600522627e-05,217.234,62.31419387019199,1.208001188e-05,0.01590724265,1121.28,88.0221,81.51,0.0002530403687,2.73,1132.98,0.03612149539965982,0.19005655842316999,0.0007474315487452947,5.586539200597898e-07,0.00725857155305798
TSMixerX,0,2010-01-04,2010-01-12,6,0.0058370621263771705,0.005826229480418369,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_00.pt,20.04,11.07676046997957,0.04289121372,6.39,-0.2354,18.77,5.35,77.525,8.536007495e-05,8.642549736277942,3.600522627e-05,217.234,62.31419387019199,1.208001188e-05,0.01590724265,1121.28,88.0221,81.51,0.0002530403687,2.73,1132.98,0.03612149539965982,0.19005655842316999,-1.0832645958801755e-05,1.1734621846874398e-10,1.7263387843691191e-06
TSMixerX,0,2010-01-04,2010-01-13,7,0.006217457020095734,0.004792321089583377,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_00.pt,20.04,11.07676046997957,0.04289121372,6.39,-0.2354,18.77,5.35,77.525,8.536007495e-05,8.642549736277942,3.600522627e-05,217.234,62.31419387019199,1.208001188e-05,0.01590724265,1121.28,88.0221,81.51,0.0002530403687,2.73,1132.98,0.03612149539965982,0.19005655842316999,-0.0014251359305123574,2.0310124204373225e-06,0.037032937811789735
TSMixerX,0,2010-01-04,2010-01-14,8,0.0061505981077906394,0.004998438115498524,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_00.pt,20.04,11.07676046997957,0.04289121372,6.39,-0.2354,18.77,5.35,77.525,8.536007495e-05,8.642549736277942,3.600522627e-05,217.234,62.31419387019199,1.208001188e-05,0.01590724265,1121.28,88.0221,81.51,0.0002530403687,2.73,1132.98,0.03612149539965982,0.19005655842316999,-0.0011521599922921155,1.3274726478385677e-06,0.023080158929312367
TSMixerX,0,2010-01-04,2010-01-15,9,0.006872226158401763,0.005940496449444421,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_00.pt,20.04,11.07676046997957,0.04289121372,6.39,-0.2354,18.77,5.35,77.525,8.536007495e-05,8.642549736277942,3.600522627e-05,217.234,62.31419387019199,1.208001188e-05,0.01590724265,1121.28,88.0221,81.51,0.0002530403687,2.73,1132.98,0.03612149539965982,0.19005655842316999,-0.0009317297089573417,8.681202505537326e-07,0.011148357736621373
TSMixerX,0,2010-01-04,2010-01-19,10,0.006877173980499259,0.006485856290737997,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_00.pt,20.04,11.07676046997957,0.04289121372,6.39,-0.2354,18.77,5.35,77.525,8.536007495e-05,8.642549736277942,3.600522627e-05,217.234,62.31419387019199,1.208001188e-05,0.01590724265,1121.28,88.0221,81.51,0.0002530403687,2.73,1132.98,0.03612149539965982,0.19005655842316999,-0.0003913176897612624,1.531295343200916e-07,0.001750047486799522
