model,window_id,origin_date,target_date,horizon,y,y_hat,artifact_path,x_volume_medio_22d,x_vix,x_spy_volume,x_ukx_close,x_bollinger_width_20,x_parkinson,x_indu_close,x_industrial_production,x_baa,x_cpi,x_obv,x_unemployment,x_ndx_close,x_vix_term_spread,x_garman_klass,x_ret_spx_abs,x_rv_diaria,x_macd,x_atr_14,x_true_range,x_spx_close,x_close_variance_forward_22,x_close_volatility_forward_22,error,squared_error,qlike_loss
TSMixerX,10,2020-01-02,2020-01-03,1,0.0065927261298155794,0.0029929865193691527,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_10.pt,61429661.95,12.47,59253833,7604.3,0.05633758073,1.749035984e-05,28868.8,101.9372,3.86,257.879,11123773589,3.6,8872.22,2.72,1.789864019e-05,0.008343874455,6.962024092e-05,36.19271837515316,19.02303813638604,27.36,3257.85,0.015239675305380411,0.12344907980775074,-0.0035997396104464267,1.2958125263016992e-05,0.41302975131233044
TSMixerX,10,2020-01-02,2020-01-06,2,0.005795039013963178,0.003801336047252772,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_10.pt,61429661.95,12.47,59253833,7604.3,0.05633758073,1.749035984e-05,28868.8,101.9372,3.86,257.879,11123773589,3.6,8872.22,2.72,1.789864019e-05,0.008343874455,6.962024092e-05,36.19271837515316,19.02303813638604,27.36,3257.85,0.015239675305380411,0.12344907980775074,-0.001993702966710406,3.9748515194698744e-06,0.10282466201754392
TSMixerX,10,2020-01-02,2020-01-07,3,0.005706868965995078,0.00326241664968236,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_10.pt,61429661.95,12.47,59253833,7604.3,0.05633758073,1.749035984e-05,28868.8,101.9372,3.86,257.879,11123773589,3.6,8872.22,2.72,1.789864019e-05,0.008343874455,6.962024092e-05,36.19271837515316,19.02303813638604,27.36,3257.85,0.015239675305380411,0.12344907980775074,-0.0024444523163127175,5.97534712672661e-06,0.19007425073835327
TSMixerX,10,2020-01-02,2020-01-08,4,0.005868730221199527,0.0029703133055533843,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_10.pt,61429661.95,12.47,59253833,7604.3,0.05633758073,1.749035984e-05,28868.8,101.9372,3.86,257.879,11123773589,3.6,8872.22,2.72,1.789864019e-05,0.008343874455,6.962024092e-05,36.19271837515316,19.02303813638604,27.36,3257.85,0.015239675305380411,0.12344907980775074,-0.002898416915646143,8.400820616903701e-06,0.29482415825378006
TSMixerX,10,2020-01-02,2020-01-09,5,0.005661509171240434,0.0028602115942073605,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_10.pt,61429661.95,12.47,59253833,7604.3,0.05633758073,1.749035984e-05,28868.8,101.9372,3.86,257.879,11123773589,3.6,8872.22,2.72,1.789864019e-05,0.008343874455,6.962024092e-05,36.19271837515316,19.02303813638604,27.36,3257.85,0.015239675305380411,0.12344907980775074,-0.002801297577033073,7.847268115091367e-06,0.29660732858366456
TSMixerX,10,2020-01-02,2020-01-10,6,0.005727900096279286,0.00305196364523886,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_10.pt,61429661.95,12.47,59253833,7604.3,0.05633758073,1.749035984e-05,28868.8,101.9372,3.86,257.879,11123773589,3.6,8872.22,2.72,1.789864019e-05,0.008343874455,6.962024092e-05,36.19271837515316,19.02303813638604,27.36,3257.85,0.015239675305380411,0.12344907980775074,-0.0026759364510404258,7.160635890006829e-06,0.24722793242171193
TSMixerX,10,2020-01-02,2020-01-13,7,0.0056771819864483075,0.003501800670302975,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_10.pt,61429661.95,12.47,59253833,7604.3,0.05633758073,1.749035984e-05,28868.8,101.9372,3.86,257.879,11123773589,3.6,8872.22,2.72,1.789864019e-05,0.008343874455,6.962024092e-05,36.19271837515316,19.02303813638604,27.36,3257.85,0.015239675305380411,0.12344907980775074,-0.0021753813161453327,4.7322838706341995e-06,0.13804024937906179
TSMixerX,10,2020-01-02,2020-01-14,8,0.00579914109773892,0.0030380252098446566,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_10.pt,61429661.95,12.47,59253833,7604.3,0.05633758073,1.749035984e-05,28868.8,101.9372,3.86,257.879,11123773589,3.6,8872.22,2.72,1.789864019e-05,0.008343874455,6.962024092e-05,36.19271837515316,19.02303813638604,27.36,3257.85,0.015239675305380411,0.12344907980775074,-0.0027611158878942635,7.623760946382127e-06,0.26235007977687275
TSMixerX,10,2020-01-02,2020-01-15,9,0.005516682615673247,0.003044161886919838,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_10.pt,61429661.95,12.47,59253833,7604.3,0.05633758073,1.749035984e-05,28868.8,101.9372,3.86,257.879,11123773589,3.6,8872.22,2.72,1.789864019e-05,0.008343874455,6.962024092e-05,36.19271837515316,19.02303813638604,27.36,3257.85,0.015239675305380411,0.12344907980775074,-0.002472520728753409,6.113358754115289e-06,0.21766614447054566
TSMixerX,10,2020-01-02,2020-01-16,10,0.005329827735492985,0.003464237310983987,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_10.pt,61429661.95,12.47,59253833,7604.3,0.05633758073,1.749035984e-05,28868.8,101.9372,3.86,257.879,11123773589,3.6,8872.22,2.72,1.789864019e-05,0.008343874455,6.962024092e-05,36.19271837515316,19.02303813638604,27.36,3257.85,0.015239675305380411,0.12344907980775074,-0.0018655904245089977,3.480427632019662e-06,0.10770204993060939
