model,window_id,origin_date,target_date,horizon,y,y_hat,artifact_path,x_vix,x_spx_close,x_close_variance_forward_22,x_close_volatility_forward_22,error,squared_error,qlike_loss
VIX,2,2012-01-03,2012-01-04,1,0.022193942431988408,0.05276209,,22.97,1277.06,0.007971514063730402,0.08928333586806891,0.03056814756801159,0.0009344116457397329,0.2866153886272196
VIX,2,2012-01-03,2012-01-05,2,0.02199147068519726,0.05276209,,22.97,1277.06,0.007971514063730402,0.08928333586806891,0.03077061931480274,0.0009468310130165113,0.2919426473579061
VIX,2,2012-01-03,2012-01-06,3,0.020751295306165894,0.05276209,,22.97,1277.06,0.007971514063730402,0.08928333586806891,0.0320107946938341,0.0010246909769307975,0.3264836137905951
VIX,2,2012-01-03,2012-01-09,4,0.02035416703669899,0.05276209,,22.97,1277.06,0.007971514063730402,0.08928333586806891,0.03240792296330101,0.0010502734707952528,0.3382798506921132
VIX,2,2012-01-03,2012-01-10,5,0.01916801513372595,0.05276209,,22.97,1277.06,0.007971514063730402,0.08928333586806891,0.03359407486627405,0.0011285618661208256,0.37584135909300254
VIX,2,2012-01-03,2012-01-11,6,0.01804847433779646,0.05276209,,22.97,1277.06,0.007971514063730402,0.08928333586806891,0.03471361566220354,0.0012050351123431829,0.4148045545700465
VIX,2,2012-01-03,2012-01-12,7,0.01763764748528094,0.05276209,,22.97,1277.06,0.007971514063730402,0.08928333586806891,0.03512444251471906,0.0012337264619698037,0.430043630203655
VIX,2,2012-01-03,2012-01-13,8,0.016777892140285137,0.05276209,,22.97,1277.06,0.007971514063730402,0.08928333586806891,0.035984197859714864,0.0012948624956071078,0.46372228879514443
VIX,2,2012-01-03,2012-01-17,9,0.014543475777109129,0.05276209,,22.97,1277.06,0.007971514063730402,0.08928333586806891,0.03821861422289087,0.0014606624731181564,0.5642929737869231
VIX,2,2012-01-03,2012-01-18,10,0.014329648402262812,0.05276209,,22.97,1277.06,0.007971514063730402,0.08928333586806891,0.038432441597737184,0.0014770525671634796,0.5750520902118348
VIX,2,2012-01-03,2012-01-19,11,0.013495018900111547,0.05276209,,22.97,1277.06,0.007971514063730402,0.08928333586806891,0.03926707109988845,0.0015419028727636948,0.6192434143079268
VIX,2,2012-01-03,2012-01-20,12,0.012551152107935778,0.05276209,,22.97,1277.06,0.007971514063730402,0.08928333586806891,0.040210937892064216,0.0016169195261594457,0.6738624892621998
VIX,2,2012-01-03,2012-01-23,13,0.011634931683032264,0.05276209,,22.97,1277.06,0.007971514063730402,0.08928333586806891,0.041127158316967734,0.0016914431512289282,0.7322978994035063
VIX,2,2012-01-03,2012-01-24,14,0.010671827282529562,0.05276209,,22.97,1277.06,0.007971514063730402,0.08928333586806891,0.042090262717470434,0.0017715902156256816,0.8004487999131586
VIX,2,2012-01-03,2012-01-25,15,0.010508679311980233,0.05276209,,22.97,1277.06,0.007971514063730402,0.08928333586806891,0.042253410688019764,0.0017853507147704629,0.8127624441063328
VIX,2,2012-01-03,2012-01-26,16,0.011439841307325697,0.05276209,,22.97,1277.06,0.007971514063730402,0.08928333586806891,0.0413222486926743,0.0017075282370192229,0.7455101620538946
VIX,2,2012-01-03,2012-01-27,17,0.01158201439370097,0.05276209,,22.97,1277.06,0.007971514063730402,0.08928333586806891,0.04118007560629903,0.0016957986269405044,0.7358534714022322
VIX,2,2012-01-03,2012-01-30,18,0.012579641792173968,0.05276209,,22.97,1277.06,0.007971514063730402,0.08928333586806891,0.04018244820782603,0.0016146291439746213,0.6721351406225471
VIX,2,2012-01-03,2012-01-31,19,0.012720522182434902,0.05276209,,22.97,1277.06,0.007971514063730402,0.08928333586806891,0.0400415678175651,0.001603327153288665,0.6636684142774747
VIX,2,2012-01-03,2012-02-01,20,0.013284954443726953,0.05276209,,22.97,1277.06,0.007971514063730402,0.08928333586806891,0.039477135556273045,0.0015584442317283574,0.630950559176386
VIX,2,2012-01-03,2012-02-02,21,0.01332292206004697,0.05276209,,22.97,1277.06,0.007971514063730402,0.08928333586806891,0.03943916793995303,0.001555447967795819,0.6288162946104146
VIX,2,2012-01-03,2012-02-03,22,0.012168328044075813,0.05276209,,22.97,1277.06,0.007971514063730402,0.08928333586806891,0.040593761955924186,0.0016478535097342378,0.697582772622132
