model,window_id,origin_date,target_date,horizon,y,y_hat,artifact_path,x_vix,x_volume_medio_22d,x_spy_volume,x_atr_14,x_bollinger_width_20,x_parkinson,x_vix_term_spread,x_garman_klass,x_true_range,x_macd,x_rogers_satchell,x_ret_spx_abs,x_rv_diaria,x_rsi_14,x_obv,x_roc_10,x_baa,x_ukx_close,x_stress_index,x_adx_14,x_spx_close,x_close_variance_forward_22,x_close_volatility_forward_22,error,squared_error,qlike_loss
TSMixerX,11,2021-01-04,2021-01-05,1,0.014141227523613943,0.015032463911607495,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_11.pt,26.97,63712053.14,110210810,41.33348346759161,0.0282710524,0.0003005932213,1.29,0.0003032810231,107.28,34.61404404038285,0.0003092944014,0.01486471812,0.0002209598449,54.98307702154013,10962955639,-0.00586436999,3.12,6571.88,-0.4092,17.03809205152163,3700.65,0.027935512144729623,0.16713919990453951,0.0008912363879935523,7.943022992837938e-07,0.0018302086936801132
TSMixerX,11,2021-01-04,2021-01-06,2,0.016210703004980384,0.01780765105397229,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_11.pt,26.97,63712053.14,110210810,41.33348346759161,0.0282710524,0.0003005932213,1.29,0.0003032810231,107.28,34.61404404038285,0.0003092944014,0.01486471812,0.0002209598449,54.98307702154013,10962955639,-0.00586436999,3.12,6571.88,-0.4092,17.03809205152163,3700.65,0.027935512144729623,0.16713919990453951,0.001596948048991905,2.550243071179052e-06,0.0042788600464152005
TSMixerX,11,2021-01-04,2021-01-07,3,0.01670824694632782,0.022467638471676578,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_11.pt,26.97,63712053.14,110210810,41.33348346759161,0.0282710524,0.0003005932213,1.29,0.0003032810231,107.28,34.61404404038285,0.0003092944014,0.01486471812,0.0002209598449,54.98307702154013,10962955639,-0.00586436999,3.12,6571.88,-0.4092,17.03809205152163,3700.65,0.027935512144729623,0.16713919990453951,0.005759391525348757,3.317059074225908e-05,0.03983190672755543
TSMixerX,11,2021-01-04,2021-01-08,4,0.01746341320918048,0.020152580635425996,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_11.pt,26.97,63712053.14,110210810,41.33348346759161,0.0282710524,0.0003005932213,1.29,0.0003032810231,107.28,34.61404404038285,0.0003092944014,0.01486471812,0.0002209598449,54.98307702154013,10962955639,-0.00586436999,3.12,6571.88,-0.4092,17.03809205152163,3700.65,0.027935512144729623,0.16713919990453951,0.0026891674262455173,7.23162144637994e-06,0.009783982132478553
TSMixerX,11,2021-01-04,2021-01-11,5,0.017902059588273008,0.02361584140230161,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_11.pt,26.97,63712053.14,110210810,41.33348346759161,0.0282710524,0.0003005932213,1.29,0.0003032810231,107.28,34.61404404038285,0.0003092944014,0.01486471812,0.0002209598449,54.98307702154013,10962955639,-0.00586436999,3.12,6571.88,-0.4092,17.03809205152163,3700.65,0.027935512144729623,0.16713919990453951,0.005713781814028603,3.264730261832399e-05,0.03505497269988456
TSMixerX,11,2021-01-04,2021-01-12,6,0.017639156500876885,0.022365512758644956,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_11.pt,26.97,63712053.14,110210810,41.33348346759161,0.0282710524,0.0003005932213,1.29,0.0003032810231,107.28,34.61404404038285,0.0003092944014,0.01486471812,0.0002209598449,54.98307702154013,10962955639,-0.00586436999,3.12,6571.88,-0.4092,17.03809205152163,3700.65,0.027935512144729623,0.16713919990453951,0.004726356257768072,2.233844347534341e-05,0.026075528799279546
TSMixerX,11,2021-01-04,2021-01-13,7,0.017293631882968376,0.024347895010064777,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_11.pt,26.97,63712053.14,110210810,41.33348346759161,0.0282710524,0.0003005932213,1.29,0.0003032810231,107.28,34.61404404038285,0.0003092944014,0.01486471812,0.0002209598449,54.98307702154013,10962955639,-0.00586436999,3.12,6571.88,-0.4092,17.03809205152163,3700.65,0.027935512144729623,0.16713919990453951,0.007054263127096401,4.9762628266311895e-05,0.052379220082801714
TSMixerX,11,2021-01-04,2021-01-14,8,0.016820016758462383,0.023244262262099816,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_11.pt,26.97,63712053.14,110210810,41.33348346759161,0.0282710524,0.0003005932213,1.29,0.0003032810231,107.28,34.61404404038285,0.0003092944014,0.01486471812,0.0002209598449,54.98307702154013,10962955639,-0.00586436999,3.12,6571.88,-0.4092,17.03809205152163,3700.65,0.027935512144729623,0.16713919990453951,0.006424245503637432,4.1270930291005765e-05,0.047108825460185244
TSMixerX,11,2021-01-04,2021-01-15,9,0.016448139216603267,0.021051576248714274,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_11.pt,26.97,63712053.14,110210810,41.33348346759161,0.0282710524,0.0003005932213,1.29,0.0003032810231,107.28,34.61404404038285,0.0003092944014,0.01486471812,0.0002209598449,54.98307702154013,10962955639,-0.00586436999,3.12,6571.88,-0.4092,17.03809205152163,3700.65,0.027935512144729623,0.16713919990453951,0.004603437032111007,2.1191632508610992e-05,0.02808886445031522
TSMixerX,11,2021-01-04,2021-01-19,10,0.016172170095666117,0.022733994149210707,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_11.pt,26.97,63712053.14,110210810,41.33348346759161,0.0282710524,0.0003005932213,1.29,0.0003032810231,107.28,34.61404404038285,0.0003092944014,0.01486471812,0.0002209598449,54.98307702154013,10962955639,-0.00586436999,3.12,6571.88,-0.4092,17.03809205152163,3700.65,0.027935512144729623,0.16713919990453951,0.00656182405354459,4.305753490967635e-05,0.051934577539964444
