model,window_id,origin_date,target_date,horizon,y,y_hat,artifact_path,x_atr_14,x_vix_term_spread,x_stress_index,x_vix,x_parkinson,x_true_range,x_volume_medio_22d,x_spy_volume,x_bollinger_width_20,x_garman_klass,x_macd,x_ret_spx_abs,x_baa,x_baa_aaa_spread,x_rv_diaria,x_rogers_satchell,x_ukx_close,x_spx_low,x_roc_10,x_indu_close,x_spx_close,x_close_variance_forward_22,x_close_volatility_forward_22,error,squared_error,qlike_loss
LSTM,5,2015-01-02,2015-01-05,1,0.014301566440842331,0.010714732840293678,/content/daily_h22_run/results/models/lstm/lstm_window_05.pt,20.08802242630293,1.67,-0.4814,17.79,5.892520251e-05,26.32,143536082.2,121465865,0.06756051007,8.164300848e-05,10.54387782524054,0.0003400451807,4.63,0.96,1.156307249e-07,8.180426369e-05,6547.8,2046.04,0.02250992354,17832.99,2058.2,0.02998287110122845,0.17315562682520153,-0.0035868336005486536,1.2865375278024818e-05,0.04600778883194678
LSTM,5,2015-01-02,2015-01-06,2,0.01561831176224052,0.014116864964325277,/content/daily_h22_run/results/models/lstm/lstm_window_05.pt,20.08802242630293,1.67,-0.4814,17.79,5.892520251e-05,26.32,143536082.2,121465865,0.06756051007,8.164300848e-05,10.54387782524054,0.0003400451807,4.63,0.96,1.156307249e-07,8.180426369e-05,6547.8,2046.04,0.02250992354,17832.99,2058.2,0.02998287110122845,0.17315562682520153,-0.0015014467979152426,2.2543424869699352e-06,0.0052844962219362746
LSTM,5,2015-01-02,2015-01-07,3,0.015779675122665492,0.010135575995828369,/content/daily_h22_run/results/models/lstm/lstm_window_05.pt,20.08802242630293,1.67,-0.4814,17.79,5.892520251e-05,26.32,143536082.2,121465865,0.06756051007,8.164300848e-05,10.54387782524054,0.0003400451807,4.63,0.96,1.156307249e-07,8.180426369e-05,6547.8,2046.04,0.02250992354,17832.99,2058.2,0.02998287110122845,0.17315562682520153,-0.005644099126837124,3.1855854953563585e-05,0.11418910807987692
LSTM,5,2015-01-02,2015-01-08,4,0.01633699883493415,0.011190178945103962,/content/daily_h22_run/results/models/lstm/lstm_window_05.pt,20.08802242630293,1.67,-0.4814,17.79,5.892520251e-05,26.32,143536082.2,121465865,0.06756051007,8.164300848e-05,10.54387782524054,0.0003400451807,4.63,0.96,1.156307249e-07,8.180426369e-05,6547.8,2046.04,0.02250992354,17832.99,2058.2,0.02998287110122845,0.17315562682520153,-0.005146819889830189,2.648975497835164e-05,0.08154491399513963
LSTM,5,2015-01-02,2015-01-09,5,0.016494950340411714,0.010891816580410442,/content/daily_h22_run/results/models/lstm/lstm_window_05.pt,20.08802242630293,1.67,-0.4814,17.79,5.892520251e-05,26.32,143536082.2,121465865,0.06756051007,8.164300848e-05,10.54387782524054,0.0003400451807,4.63,0.96,1.156307249e-07,8.180426369e-05,6547.8,2046.04,0.02250992354,17832.99,2058.2,0.02998287110122845,0.17315562682520153,-0.005603133760001272,3.139510793246599e-05,0.0993926333051256
LSTM,5,2015-01-02,2015-01-12,6,0.01566038390111897,0.008859130287467981,/content/daily_h22_run/results/models/lstm/lstm_window_05.pt,20.08802242630293,1.67,-0.4814,17.79,5.892520251e-05,26.32,143536082.2,121465865,0.06756051007,8.164300848e-05,10.54387782524054,0.0003400451807,4.63,0.96,1.156307249e-07,8.180426369e-05,6547.8,2046.04,0.02250992354,17832.99,2058.2,0.02998287110122845,0.17315562682520153,-0.0068012536136509896,4.625705071720064e-05,0.19802560096063937
LSTM,5,2015-01-02,2015-01-13,7,0.018011539520546446,0.007646678505374906,/content/daily_h22_run/results/models/lstm/lstm_window_05.pt,20.08802242630293,1.67,-0.4814,17.79,5.892520251e-05,26.32,143536082.2,121465865,0.06756051007,8.164300848e-05,10.54387782524054,0.0003400451807,4.63,0.96,1.156307249e-07,8.180426369e-05,6547.8,2046.04,0.02250992354,17832.99,2058.2,0.02998287110122845,0.17315562682520153,-0.01036486101517154,0.00010743034386382283,0.4987310492114765
LSTM,5,2015-01-02,2015-01-14,8,0.01844084872488741,0.009851570350026092,/content/daily_h22_run/results/models/lstm/lstm_window_05.pt,20.08802242630293,1.67,-0.4814,17.79,5.892520251e-05,26.32,143536082.2,121465865,0.06756051007,8.164300848e-05,10.54387782524054,0.0003400451807,4.63,0.96,1.156307249e-07,8.180426369e-05,6547.8,2046.04,0.02250992354,17832.99,2058.2,0.02998287110122845,0.17315562682520153,-0.008589278374861318,7.377570300086029e-05,0.24493158342157706
LSTM,5,2015-01-02,2015-01-15,9,0.018686604919314988,0.01073144493771384,/content/daily_h22_run/results/models/lstm/lstm_window_05.pt,20.08802242630293,1.67,-0.4814,17.79,5.892520251e-05,26.32,143536082.2,121465865,0.06756051007,8.164300848e-05,10.54387782524054,0.0003400451807,4.63,0.96,1.156307249e-07,8.180426369e-05,6547.8,2046.04,0.02250992354,17832.99,2058.2,0.02998287110122845,0.17315562682520153,-0.007955159981601147,6.328457033286837e-05,0.18666565312268624
LSTM,5,2015-01-02,2015-01-16,10,0.01790359558528494,0.009920909338069385,/content/daily_h22_run/results/models/lstm/lstm_window_05.pt,20.08802242630293,1.67,-0.4814,17.79,5.892520251e-05,26.32,143536082.2,121465865,0.06756051007,8.164300848e-05,10.54387782524054,0.0003400451807,4.63,0.96,1.156307249e-07,8.180426369e-05,6547.8,2046.04,0.02250992354,17832.99,2058.2,0.02998287110122845,0.17315562682520153,-0.007982686247215555,6.372327972148435e-05,0.21427553743458017
LSTM,5,2015-01-02,2015-01-20,11,0.015311646248454396,0.012583572332812267,/content/daily_h22_run/results/models/lstm/lstm_window_05.pt,20.08802242630293,1.67,-0.4814,17.79,5.892520251e-05,26.32,143536082.2,121465865,0.06756051007,8.164300848e-05,10.54387782524054,0.0003400451807,4.63,0.96,1.156307249e-07,8.180426369e-05,6547.8,2046.04,0.02250992354,17832.99,2058.2,0.02998287110122845,0.17315562682520153,-0.002728073915642129,7.4423872892069785e-06,0.02057490702456488
LSTM,5,2015-01-02,2015-01-21,12,0.015026569944245874,0.011794881066284372,/content/daily_h22_run/results/models/lstm/lstm_window_05.pt,20.08802242630293,1.67,-0.4814,17.79,5.892520251e-05,26.32,143536082.2,121465865,0.06756051007,8.164300848e-05,10.54387782524054,0.0003400451807,4.63,0.96,1.156307249e-07,8.180426369e-05,6547.8,2046.04,0.02250992354,17832.99,2058.2,0.02998287110122845,0.17315562682520153,-0.003231688877961502,1.0443813003940072e-05,0.031836463837900286
LSTM,5,2015-01-02,2015-01-22,13,0.01535338243241501,0.008370990712653289,/content/daily_h22_run/results/models/lstm/lstm_window_05.pt,20.08802242630293,1.67,-0.4814,17.79,5.892520251e-05,26.32,143536082.2,121465865,0.06756051007,8.164300848e-05,10.54387782524054,0.0003400451807,4.63,0.96,1.156307249e-07,8.180426369e-05,6547.8,2046.04,0.02250992354,17832.99,2058.2,0.02998287110122845,0.17315562682520153,-0.006982391719761722,4.875379412819705e-05,0.2275541624167614
LSTM,5,2015-01-02,2015-01-23,14,0.015109001460262648,0.00868529015347653,/content/daily_h22_run/results/models/lstm/lstm_window_05.pt,20.08802242630293,1.67,-0.4814,17.79,5.892520251e-05,26.32,143536082.2,121465865,0.06756051007,8.164300848e-05,10.54387782524054,0.0003400451807,4.63,0.96,1.156307249e-07,8.180426369e-05,6547.8,2046.04,0.02250992354,17832.99,2058.2,0.02998287110122845,0.17315562682520153,-0.006423711306786118,4.126406695293181e-05,0.18594825957209915
LSTM,5,2015-01-02,2015-01-26,15,0.015453018148703278,0.012765937292562958,/content/daily_h22_run/results/models/lstm/lstm_window_05.pt,20.08802242630293,1.67,-0.4814,17.79,5.892520251e-05,26.32,143536082.2,121465865,0.06756051007,8.164300848e-05,10.54387782524054,0.0003400451807,4.63,0.96,1.156307249e-07,8.180426369e-05,6547.8,2046.04,0.02250992354,17832.99,2058.2,0.02998287110122845,0.17315562682520153,-0.0026870808561403198,7.2204035274357935e-06,0.01946447376538729
LSTM,5,2015-01-02,2015-01-27,16,0.016380598538715242,0.013202554748699661,/content/daily_h22_run/results/models/lstm/lstm_window_05.pt,20.08802242630293,1.67,-0.4814,17.79,5.892520251e-05,26.32,143536082.2,121465865,0.06756051007,8.164300848e-05,10.54387782524054,0.0003400451807,4.63,0.96,1.156307249e-07,8.180426369e-05,6547.8,2046.04,0.02250992354,17832.99,2058.2,0.02998287110122845,0.17315562682520153,-0.003178043790015581,1.0099962331256597e-05,0.02502703881023738
LSTM,5,2015-01-02,2015-01-28,17,0.01767451707054977,0.012616109907027707,/content/daily_h22_run/results/models/lstm/lstm_window_05.pt,20.08802242630293,1.67,-0.4814,17.79,5.892520251e-05,26.32,143536082.2,121465865,0.06756051007,8.164300848e-05,10.54387782524054,0.0003400451807,4.63,0.96,1.156307249e-07,8.180426369e-05,6547.8,2046.04,0.02250992354,17832.99,2058.2,0.02998287110122845,0.17315562682520153,-0.005058407163522065,2.5587483031971342e-05,0.06379892065019033
LSTM,5,2015-01-02,2015-01-29,18,0.01899439366262889,0.012234855685046423,/content/daily_h22_run/results/models/lstm/lstm_window_05.pt,20.08802242630293,1.67,-0.4814,17.79,5.892520251e-05,26.32,143536082.2,121465865,0.06756051007,8.164300848e-05,10.54387782524054,0.0003400451807,4.63,0.96,1.156307249e-07,8.180426369e-05,6547.8,2046.04,0.02250992354,17832.99,2058.2,0.02998287110122845,0.17315562682520153,-0.006759537977582468,4.569135367037968e-05,0.11262707221352786
LSTM,5,2015-01-02,2015-01-30,19,0.01947790043034146,0.014760473164968141,/content/daily_h22_run/results/models/lstm/lstm_window_05.pt,20.08802242630293,1.67,-0.4814,17.79,5.892520251e-05,26.32,143536082.2,121465865,0.06756051007,8.164300848e-05,10.54387782524054,0.0003400451807,4.63,0.96,1.156307249e-07,8.180426369e-05,6547.8,2046.04,0.02250992354,17832.99,2058.2,0.02998287110122845,0.17315562682520153,-0.0047174272653733185,2.2254120004087587e-05,0.04227101214846507
LSTM,5,2015-01-02,2015-02-02,20,0.02137700133561727,0.009554926815256212,/content/daily_h22_run/results/models/lstm/lstm_window_05.pt,20.08802242630293,1.67,-0.4814,17.79,5.892520251e-05,26.32,143536082.2,121465865,0.06756051007,8.164300848e-05,10.54387782524054,0.0003400451807,4.63,0.96,1.156307249e-07,8.180426369e-05,6547.8,2046.04,0.02250992354,17832.99,2058.2,0.02998287110122845,0.17315562682520153,-0.011822074520361058,0.00013976144596497013,0.43201653406323715
LSTM,5,2015-01-02,2015-02-03,21,0.021292055817805845,0.0072825645574040474,/content/daily_h22_run/results/models/lstm/lstm_window_05.pt,20.08802242630293,1.67,-0.4814,17.79,5.892520251e-05,26.32,143536082.2,121465865,0.06756051007,8.164300848e-05,10.54387782524054,0.0003400451807,4.63,0.96,1.156307249e-07,8.180426369e-05,6547.8,2046.04,0.02250992354,17832.99,2058.2,0.02998287110122845,0.17315562682520153,-0.014009491260401796,0.0001962658453752743,0.8508520340762971
