step,train_loss,validation_qlike,validation_qlike_h22,validation_mse,best_so_far,is_best,bad_checks,learning_rate,stopped_early,trial_number
20,0.3718147277832031,0.7338242018948723,1.0589879821370565,0.008550582478157822,0.7338242018948723,True,0,0.001,False,24
40,0.26674318313598633,0.46701590337438037,0.8062486487527525,0.007461349722307421,0.46701590337438037,True,0,0.001,False,24
60,0.2672269940376282,0.3470427044223436,0.6334433281486284,0.006592926185130798,0.3470427044223436,True,0,0.001,False,24
80,0.21913489699363708,0.3952811340424425,0.6978550697809935,0.006774818178394177,0.3470427044223436,False,1,0.001,False,24
100,0.22090624272823334,0.3357663735318374,0.5887717344924105,0.006581502937932733,0.3357663735318374,True,0,0.001,False,24
120,0.21636933088302612,0.3377164734492456,0.7072570458527203,0.006558650589717066,0.3357663735318374,False,1,0.001,False,24
