step,train_loss,validation_qlike,validation_qlike_h22,validation_mse,best_so_far,is_best,bad_checks,learning_rate,stopped_early,trial_number
20,0.11080648750066757,0.7149333397025516,1.287122785852432,0.008570951233966178,0.7149333397025516,True,0,0.001,False,8
40,0.06309040635824203,0.33508413837707685,0.7443244526641721,0.0068339475229202236,0.33508413837707685,True,0,0.001,False,8
60,0.04105440899729729,0.2959498326101165,0.6369608662533474,0.00631648525898719,0.2959498326101165,True,0,0.001,False,8
80,0.03927980363368988,0.2890111591094786,0.6215627779505717,0.0064216975787401475,0.2890111591094786,True,0,0.001,False,8
100,0.0390724278986454,0.26971884850129274,0.5435823694718608,0.006360643632231887,0.26971884850129274,True,0,0.001,False,8
120,0.038700003176927567,0.2978486837423234,0.5913676132290631,0.00642777935181121,0.26971884850129274,False,1,0.001,False,8
140,0.03670332208275795,0.2724760144465863,0.5541106825495337,0.006303775292148429,0.26971884850129274,False,2,0.001,False,8
160,0.032791052013635635,0.29987618643854336,0.5704917416427069,0.006456966053436218,0.26971884850129274,False,3,0.001,False,8
180,0.0327761247754097,0.3203537904095072,0.6087951524012851,0.006424343815038994,0.26971884850129274,False,4,0.001,False,8
200,0.02808881178498268,0.3210309178748918,0.5952952363523384,0.006342455195149087,0.26971884850129274,False,5,0.001,False,8
220,0.021431397646665573,0.39630805909189293,0.8800175900614623,0.0066768551587054175,0.26971884850129274,False,6,0.001,False,8
240,0.024016093462705612,0.4129579537957403,0.7159016670301082,0.006704910166942009,0.26971884850129274,False,7,0.001,False,8
260,0.022061871364712715,0.44490384600769933,0.8749674563301186,0.00675321776336627,0.26971884850129274,False,8,0.001,False,8
280,0.017967579886317253,0.5157332230607272,1.1017630431841214,0.006979746250649961,0.26971884850129274,False,9,0.001,False,8
300,0.016053583472967148,0.44131050155408746,0.9484296923582693,0.006838435010383742,0.26971884850129274,False,10,0.001,True,8
