step,train_loss,validation_qlike,validation_qlike_h22,validation_mse,best_so_far,is_best,bad_checks,learning_rate,stopped_early,trial_number
20,0.34439587593078613,0.4814301778752244,0.791666536379315,0.00724582615438739,0.4814301778752244,True,0,0.003,False,6
40,0.254411518573761,0.3446109143920427,0.5760725950493996,0.006697554551659978,0.3446109143920427,True,0,0.003,False,6
60,0.2762439250946045,0.38723763671987554,0.7370830945483345,0.006532145079179873,0.3446109143920427,False,1,0.003,False,6
80,0.18451045453548431,0.2939114707761287,0.5575892280333568,0.00633042757269454,0.2939114707761287,True,0,0.003,False,6
100,0.2479005753993988,0.2567013566673848,0.49636754589799575,0.006132719562683482,0.2567013566673848,True,0,0.003,False,6
120,0.18962566554546356,0.2931212488507803,0.5411402140870587,0.006273766431173849,0.2567013566673848,False,1,0.003,False,6
140,0.21914947032928467,0.2967080400003122,0.5905738097393309,0.0059768382007216085,0.2567013566673848,False,2,0.003,False,6
160,0.19789500534534454,0.3208841429851734,0.7113986315703665,0.006193896962326779,0.2567013566673848,False,3,0.003,False,6
180,0.18338407576084137,0.31855228410396597,0.5532851022792333,0.006246771384625831,0.2567013566673848,False,4,0.003,False,6
200,0.1618453711271286,0.3162428283074032,0.5051903241425166,0.006464095024277835,0.2567013566673848,False,5,0.003,False,6
220,0.1516028791666031,0.3423569756133923,0.5899181076677256,0.006574547064428237,0.2567013566673848,False,6,0.003,False,6
240,0.15518680214881897,0.3270240506736633,0.6351115357414284,0.006114214264775313,0.2567013566673848,False,7,0.003,False,6
260,0.15005719661712646,0.33818239441570147,0.7114554510518013,0.006224620789623644,0.2567013566673848,False,8,0.003,False,6
280,0.18518559634685516,0.3366681813678547,0.6325490067754044,0.006324922463588007,0.2567013566673848,False,9,0.003,False,6
300,0.15392601490020752,0.3272092053231717,0.7394964458018973,0.006426559929485284,0.2567013566673848,False,10,0.003,True,6
