step,train_loss,validation_qlike,validation_qlike_h22,validation_mse,best_so_far,is_best,bad_checks,learning_rate,stopped_early,trial_number
20,0.3766263723373413,0.8529085943944664,1.2755130108778105,0.008969106338209621,0.8529085943944664,True,0,0.001,False,13
40,0.293702095746994,0.5310929172590494,0.7430074890682677,0.008164274456930992,0.5310929172590494,True,0,0.001,False,13
60,0.2773146331310272,0.4566130465596515,0.6802156297037305,0.00768001874832938,0.4566130465596515,True,0,0.001,False,13
80,0.22383873164653778,0.4265724842256296,0.604857343924856,0.00741727571979524,0.4265724842256296,True,0,0.001,False,13
100,0.22033809125423431,0.3425217761938208,0.6466072710798224,0.007010583208826137,0.3425217761938208,True,0,0.001,False,13
120,0.20198267698287964,0.32630622669046166,0.5198099508464399,0.00687929477093643,0.32630622669046166,True,0,0.001,False,13
140,0.22290386259555817,0.28413431720305177,0.4846036964016629,0.006595680018955141,0.28413431720305177,True,0,0.001,False,13
160,0.20951969921588898,0.2739629004810261,0.4573280869142638,0.006474311843646146,0.2739629004810261,True,0,0.001,False,13
180,0.18914249539375305,0.28006544172517506,0.4323791324602844,0.006354277548506711,0.2739629004810261,False,1,0.001,False,13
200,0.17993877828121185,0.25413947351741834,0.47500113144190964,0.006146693649005712,0.25413947351741834,True,0,0.001,False,13
220,0.16561450064182281,0.2992768649858408,0.5736954279917768,0.006291145278514366,0.25413947351741834,False,1,0.001,False,13
240,0.1854007989168167,0.28527499257243955,0.49460511988323985,0.0062429182061235575,0.25413947351741834,False,2,0.001,False,13
260,0.16843512654304504,0.31106105003267714,0.5402551685402107,0.006376908196577676,0.25413947351741834,False,3,0.001,False,13
280,0.1887955218553543,0.3066900525787095,0.5786307381948664,0.006332479867423317,0.25413947351741834,False,4,0.001,False,13
300,0.17066530883312225,0.2985774920868932,0.6434343359062887,0.006300911282833937,0.25413947351741834,False,5,0.001,False,13
320,0.15038684010505676,0.30913987187321773,0.5620167967948009,0.006390172419668669,0.25413947351741834,False,6,0.001,False,13
340,0.15955933928489685,0.30228900724284763,0.5640410626313712,0.006425978053524623,0.25413947351741834,False,7,0.001,False,13
360,0.14071372151374817,0.2590060379984338,0.45165363555942173,0.005772621367454495,0.25413947351741834,False,8,0.001,False,13
380,0.16799335181713104,0.33093916095642095,0.6711484787934934,0.006177828434743758,0.25413947351741834,False,9,0.001,False,13
400,0.14998620748519897,0.34527384991432597,0.7017621251282175,0.00648785065317398,0.25413947351741834,False,10,0.001,True,13
