step,train_loss,validation_qlike,validation_qlike_h22,validation_mse,best_so_far,is_best,bad_checks,learning_rate,stopped_early,trial_number
20,0.25906744599342346,2.3288434678162018,3.7261279250140364,0.011202827962072198,2.3288434678162018,True,0,0.0001,False,5
40,0.16147319972515106,1.431463774454266,2.6745934414538977,0.01029293794985047,1.431463774454266,True,0,0.0001,False,5
60,0.14092138409614563,0.921973420758232,1.9341373403402222,0.009530479741226838,0.921973420758232,True,0,0.0001,False,5
80,0.11525136977434158,0.7695493062050112,1.7285399026824808,0.009119249555452982,0.7695493062050112,True,0,0.0001,False,5
100,0.10887142270803452,0.7009726427355093,1.5727664873976446,0.008934043846647713,0.7009726427355093,True,0,0.0001,False,5
120,0.11365105956792831,0.6340948732139343,1.4367946144193975,0.008706958989405158,0.6340948732139343,True,0,0.0001,False,5
140,0.10533271729946136,0.5789432336695408,1.291761897702461,0.008515105984133912,0.5789432336695408,True,0,0.0001,False,5
160,0.08275727182626724,0.5171954819401675,1.1676038484186064,0.008284019826153663,0.5171954819401675,True,0,0.0001,False,5
180,0.07178765535354614,0.5121743427269778,1.0782776698711154,0.008217506337468707,0.5121743427269778,True,0,0.0001,False,5
200,0.06941662728786469,0.4914813596802464,1.012690509626351,0.008123251466183007,0.4914813596802464,True,0,0.0001,False,5
220,0.0637819692492485,0.4817839253031431,0.9587475170417791,0.00806840844821098,0.4817839253031431,True,0,0.0001,False,5
240,0.06396837532520294,0.4671956609753178,0.9381193348393174,0.00798272996871522,0.4671956609753178,True,0,0.0001,False,5
260,0.08203431218862534,0.4460287295110821,0.9307710296542695,0.007854448047355758,0.4460287295110821,True,0,0.0001,False,5
280,0.06985633820295334,0.43710218294631775,0.9514651763449983,0.007795407742211094,0.43710218294631775,True,0,0.0001,False,5
300,0.0584346167743206,0.40976150249907534,0.8350020493159642,0.007680995604961978,0.40976150249907534,True,0,0.0001,False,5
320,0.04981077462434769,0.3887686224903862,0.7961197612041743,0.007543702855055299,0.3887686224903862,True,0,0.0001,False,5
340,0.04671921581029892,0.3916288785192016,0.8346973624764888,0.0074935768753661754,0.3887686224903862,False,1,0.0001,False,5
360,0.05174444615840912,0.3802939681126126,0.8237632706646298,0.007395510320515899,0.3802939681126126,True,0,0.0001,False,5
380,0.04602508619427681,0.37329718377487725,0.7743830741613857,0.007375044355112034,0.37329718377487725,True,0,0.0001,False,5
400,0.05416848510503769,0.3660867143162898,0.7246536999450715,0.007371021343988375,0.3660867143162898,True,0,0.0001,False,5
