step,train_loss,validation_qlike,validation_qlike_h22,validation_mse,best_so_far,is_best,bad_checks,learning_rate,stopped_early,trial_number
20,0.4963817298412323,0.8054991839815304,0.8563820752936634,0.009245766706411423,0.8054991839815304,True,0,0.001,False,15
40,0.401396244764328,0.8318662750805601,1.10510252740084,0.00917262079091389,0.8054991839815304,False,1,0.001,False,15
60,0.3544706404209137,0.7398282321008913,1.0005559911680357,0.008955370757617424,0.7398282321008913,True,0,0.001,False,15
80,0.3345632255077362,0.8430570638432989,1.809711822281269,0.009058760000832536,0.7398282321008913,False,1,0.001,False,15
100,0.300325870513916,0.7789310325776925,1.2368519264098479,0.008836107528049744,0.7398282321008913,False,2,0.001,False,15
