step,train_loss,validation_qlike,validation_qlike_h22,validation_mse,best_so_far,is_best,bad_checks,learning_rate,stopped_early,trial_number
20,0.3776310682296753,0.7246308724389915,1.0756249622214882,0.008465309809283525,0.7246308724389915,True,0,0.001,False,11
40,0.2799926996231079,0.47938206141868195,0.8329862382955937,0.007560753736370755,0.47938206141868195,True,0,0.001,False,11
60,0.2847573757171631,0.3449206474333603,0.5912855242179507,0.006640511012302036,0.3449206474333603,True,0,0.001,False,11
80,0.22105538845062256,0.39222406981132457,0.7668626403654705,0.0067832278516363155,0.3449206474333603,False,1,0.001,False,11
100,0.2320062518119812,0.3233746333440166,0.5526998658191109,0.006475624642106979,0.3233746333440166,True,0,0.001,False,11
120,0.2244935929775238,0.3316210904414611,0.7701273939669526,0.006499677027760205,0.3233746333440166,False,1,0.001,False,11
140,0.24329335987567902,0.31892734221660773,0.5974513937344667,0.006382260809039925,0.31892734221660773,True,0,0.001,False,11
160,0.2223322093486786,0.3339167753811691,0.6128654320419201,0.00649318361308199,0.31892734221660773,False,1,0.001,False,11
180,0.19738821685314178,0.3583644649153767,0.6207508473203962,0.006454353954622199,0.31892734221660773,False,2,0.001,False,11
200,0.1843353509902954,0.30691252577420075,0.5959603245252958,0.0062164807958228156,0.30691252577420075,True,0,0.001,False,11
220,0.18115822970867157,0.3811265224074285,0.8525176573192218,0.00630315311265079,0.30691252577420075,False,1,0.001,False,11
240,0.18704909086227417,0.35201449411882835,0.6142134795814328,0.006446242654010561,0.30691252577420075,False,2,0.001,False,11
260,0.18638963997364044,0.37024616094784374,0.7092070353131302,0.0064305517534187576,0.30691252577420075,False,3,0.001,False,11
280,0.2118837684392929,0.3702239401436268,0.7822862693201106,0.0065626479859560724,0.30691252577420075,False,4,0.001,False,11
300,0.16713972389698029,0.4088232194627585,0.8703403873511701,0.006599219585630569,0.30691252577420075,False,5,0.001,False,11
320,0.15399451553821564,0.37115488767306937,0.7132161522779106,0.006605803230682454,0.30691252577420075,False,6,0.001,False,11
340,0.16513480246067047,0.3552569602139608,0.7388454297253759,0.00640576588229972,0.30691252577420075,False,7,0.001,False,11
360,0.15705206990242004,0.35622387252890425,0.741976160580068,0.006191288805959928,0.30691252577420075,False,8,0.001,False,11
380,0.17391477525234222,0.38925595103971794,0.8369716348805872,0.0065246206148906,0.30691252577420075,False,9,0.001,False,11
400,0.1667211800813675,0.42642137106813977,0.9578766727229577,0.00677098472849928,0.30691252577420075,False,10,0.001,True,11
