step,train_loss,validation_qlike,validation_qlike_h22,validation_mse,best_so_far,is_best,bad_checks,learning_rate,stopped_early,trial_number
20,1.5488166809082031,4.315968834208625,3.683079264507823,0.021564037505535774,4.315968834208625,True,0,0.003,False,10
40,1.1360429525375366,19.905970681276166,42.90197518824897,0.013693093691643704,4.315968834208625,False,1,0.003,False,10
60,1.298314094543457,7.627513576907981,5.5619555626404615,0.0115729738414716,4.315968834208625,False,2,0.003,False,10
80,1.4347198009490967,5.94356066558039,17.645723220144465,0.03131099424818496,4.315968834208625,False,3,0.003,False,10
100,1.29318368434906,2.659949714286439,1.9758834939973382,0.021445016635537842,2.659949714286439,True,0,0.003,False,10
