step,train_loss,validation_qlike,validation_qlike_h22,validation_mse,best_so_far,is_best,bad_checks,learning_rate,stopped_early,trial_number
20,0.443868488073349,0.8170716942894317,1.0817834694220776,0.008547301788693127,0.8170716942894317,True,0,0.001,False,16
40,0.3255789875984192,0.5978106533996735,0.9868379054228402,0.008050055338187947,0.5978106533996735,True,0,0.001,False,16
60,0.2997249364852905,0.4208563485542527,0.8352911097743249,0.007372188062980268,0.4208563485542527,True,0,0.001,False,16
80,0.24422404170036316,0.38691894285524353,0.7366512322062778,0.007119113956399013,0.38691894285524353,True,0,0.001,False,16
100,0.2417476922273636,0.3173751041447335,0.6859449233091737,0.0066052341007028365,0.3173751041447335,True,0,0.001,False,16
120,0.2288006991147995,0.34787670452372593,0.756611299512213,0.006900426103155193,0.3173751041447335,False,1,0.001,False,16
140,0.25491148233413696,0.3039760195520522,0.6339848869645223,0.006440429874656229,0.3039760195520522,True,0,0.001,False,16
160,0.2263849675655365,0.26726964788748003,0.6075729315606051,0.006390672203620459,0.26726964788748003,True,0,0.001,False,16
180,0.22869610786437988,0.28775453536688084,0.636457221045068,0.0063932143783273585,0.26726964788748003,False,1,0.001,False,16
200,0.2105613648891449,0.28848417458659975,0.659508415477183,0.006370474297706282,0.26726964788748003,False,2,0.001,False,16
220,0.2081185132265091,0.3071329479811356,0.6892836611164626,0.0063896264543198454,0.26726964788748003,False,3,0.001,False,16
240,0.20702865719795227,0.27341730427913513,0.6506299129677191,0.006185598171377628,0.26726964788748003,False,4,0.001,False,16
260,0.205386683344841,0.3024768184079942,0.7148624570255487,0.006323040231271821,0.26726964788748003,False,5,0.001,False,16
280,0.20688912272453308,0.2972063429102273,0.7211093864028805,0.006267676240415426,0.26726964788748003,False,6,0.001,False,16
300,0.18731240928173065,0.30983114843417364,0.7973770759663339,0.006311051134422818,0.26726964788748003,False,7,0.001,False,16
320,0.17281068861484528,0.2906260738503736,0.708729898217205,0.00621336735176434,0.26726964788748003,False,8,0.001,False,16
340,0.16485662758350372,0.3309774472611766,0.8986524279004245,0.006158050441472175,0.26726964788748003,False,9,0.001,False,16
360,0.16263999044895172,0.2727472315397876,0.686517971065513,0.005942693565912301,0.26726964788748003,False,10,0.001,True,16
