step,train_loss,validation_qlike,validation_qlike_h22,validation_mse,best_so_far,is_best,bad_checks,learning_rate,stopped_early,trial_number
20,0.46884220838546753,3.0657189720167177,2.983887036489987,0.011567412444809438,3.0657189720167177,True,0,0.0001,False,4
40,0.4593556225299835,1.6918489114243866,1.5033006424043498,0.010707076821016025,1.6918489114243866,True,0,0.0001,False,4
60,0.38290390372276306,1.181877227635493,1.3090799793029058,0.010036104778461613,1.181877227635493,True,0,0.0001,False,4
80,0.35691866278648376,1.0482795746634137,1.4078560946981662,0.009811341858325258,1.0482795746634137,True,0,0.0001,False,4
100,0.3359310030937195,0.9630916862832174,1.36726999779408,0.00965425256194538,0.9630916862832174,True,0,0.0001,False,4
120,0.31642627716064453,0.8432150776417523,1.3035437855672534,0.009382273496740402,0.8432150776417523,True,0,0.0001,False,4
140,0.27772167325019836,0.8667919493284486,1.436515256210068,0.009345582712052622,0.8432150776417523,False,1,0.0001,False,4
160,0.3289840817451477,0.8170864603559574,1.4673181848371877,0.009193409633174792,0.8170864603559574,True,0,0.0001,False,4
180,0.29992467164993286,0.7176419610126569,1.4069257507966657,0.0089041345929778,0.7176419610126569,True,0,0.0001,False,4
200,0.24534906446933746,0.6792389015464224,1.1555116045984528,0.008834840474361984,0.6792389015464224,True,0,0.0001,False,4
220,0.22508281469345093,0.6564045335529763,1.1326940665707912,0.00872982784187596,0.6564045335529763,True,0,0.0001,False,4
240,0.23100650310516357,0.6565717660478717,1.2811380681352427,0.008716143759232284,0.6564045335529763,False,1,0.0001,False,4
260,0.2832273542881012,0.661262265915051,1.2660951969166763,0.008659735147663607,0.6564045335529763,False,2,0.0001,False,4
280,0.22269444167613983,0.6400717552418584,1.103166869520044,0.008631412604815564,0.6400717552418584,True,0,0.0001,False,4
300,0.22617310285568237,0.6088642187280162,1.261244693784078,0.008455406515295943,0.6088642187280162,True,0,0.0001,False,4
320,0.22355054318904877,0.5860531270681423,1.2022291697267382,0.008377239939199596,0.5860531270681423,True,0,0.0001,False,4
340,0.22364309430122375,0.5834684869174838,1.2568011143845383,0.008340830612884202,0.5834684869174838,True,0,0.0001,False,4
360,0.1940402388572693,0.54279842060967,1.1311662791883805,0.008168048671894015,0.54279842060967,True,0,0.0001,False,4
380,0.2137172520160675,0.5512486717518648,1.1551796895067519,0.008194443536456965,0.54279842060967,False,1,0.0001,False,4
400,0.18507297337055206,0.5511460483981778,1.2458740414405651,0.00812589731272724,0.54279842060967,False,2,0.0001,False,4
